Profile 1             
x       y           
[m]     [m]         
0  1.2081909e-006            
3.1282266e-008  1.2181091e-006            
6.2564533e-008  1.2496393e-006            
9.3846799e-008  1.2614857e-006            
1.2512907e-007  1.2324108e-006            
1.5641133e-007  1.2595576e-006            
1.876936e-007  1.2605424e-006            
2.1897586e-007  1.31073e-006            
2.5025813e-007  1.3148082e-006            
2.815404e-007  1.3563121e-006            
3.1282266e-007  1.3809759e-006            
3.4410493e-007  1.444397e-006            
3.753872e-007  1.4968317e-006            
4.0666946e-007  1.5109669e-006            
4.3795173e-007  1.5392512e-006            
4.69234e-007  1.5481845e-006            
5.0051626e-007  1.5486839e-006            
5.3179853e-007  1.5452714e-006            
5.630808e-007  1.5586714e-006            
5.9436306e-007  1.5586853e-006            
6.2564533e-007  1.5722656e-006            
6.5692759e-007  1.5790211e-006            
6.8820986e-007  1.5789795e-006            
7.1949213e-007  1.5841259e-006            
7.5077439e-007  1.5643588e-006            
7.8205666e-007  1.5651079e-006            
8.1333893e-007  1.5487116e-006            
8.4462119e-007  1.5814209e-006            
8.7590346e-007  1.5962913e-006            
9.0718573e-007  1.5582137e-006            
9.3846799e-007  1.5508201e-006            
9.6975026e-007  1.4782021e-006            
1.0010325e-006  1.4896185e-006            
1.0323148e-006  1.431427e-006            
1.0635971e-006  1.3853871e-006            
1.0948793e-006  1.3588507e-006            
1.1261616e-006  1.3217718e-006            
1.1574439e-006  1.2790888e-006            
1.1887261e-006  1.234769e-006            
1.2200084e-006  1.2136841e-006            
1.2512907e-006  1.1833607e-006            
1.2825729e-006  1.1526489e-006            
1.3138552e-006  1.1525102e-006            
1.3451375e-006  1.1514837e-006            
1.3764197e-006  1.1477661e-006            
