C1;C2;C3;C4;C5;C6;C7;C8;C9;C10;C11;C12;C13;C14;C15
0;0;1,20819e-06;0;0;0;0;0;0;0;0;0;0;0;0
3,12823e-08;0;1,21811e-06;0;0;0;0;0;0;0;0;0;0;0;0
6,25645e-08;0;1,24964e-06;0;0;0;0;0;0;0;0;0;0;0;0
9,38468e-08;0;1,26149e-06;0;0;0;0;0;0;0;0;0;0;0;0
1,25129e-07;0;1,23241e-06;0;0;0;0;0;0;0;0;0;0;0;0
1,56411e-07;0;1,25956e-06;0;0;0;0;0;0;0;0;0;0;0;0
1,87694e-07;0;1,26054e-06;0;0;0;0;0;0;0;0;0;0;0;0
2,18976e-07;0;1,31073e-06;0;0;0;0;0;0;0;0;0;0;0;0
2,50258e-07;0;1,31481e-06;0;0;0;0;0;0;0;0;0;0;0;0
2,8154e-07;0;1,35631e-06;0;0;0;0;0;0;0;0;0;0;0;0
3,12823e-07;0;1,38098e-06;0;0;0;0;0;0;0;0;0;0;0;0
3,44105e-07;0;1,4444e-06;0;0;0;0;0;0;0;0;0;0;0;0
3,75387e-07;0;1,49683e-06;0;0;0;0;0;0;0;0;0;0;0;0
4,06669e-07;0;1,51097e-06;0;0;0;0;0;0;0;0;0;0;0;0
4,37952e-07;0;1,53925e-06;0;0;0;0;0;0;0;0;0;0;0;0
4,69234e-07;0;1,54818e-06;0;0;0;0;0;0;0;0;0;0;0;0
5,00516e-07;0;1,54868e-06;0;0;0;0;0;0;0;0;0;0;0;0
5,31799e-07;0;1,54527e-06;0;0;0;0;0;0;0;0;0;0;0;0
5,63081e-07;0;1,55867e-06;0;0;0;0;0;0;0;0;0;0;0;0
5,94363e-07;0;1,55869e-06;0;0;0;0;0;0;0;0;0;0;0;0
6,25645e-07;0;1,57227e-06;0;0;0;0;0;0;0;0;0;0;0;0
6,56928e-07;0;1,57902e-06;0;0;0;0;0;0;0;0;0;0;0;0
6,8821e-07;0;1,57898e-06;0;0;0;0;0;0;0;0;0;0;0;0
7,19492e-07;0;1,58413e-06;0;0;0;0;0;0;0;0;0;0;0;0
7,50774e-07;0;1,56436e-06;0;0;0;0;0;0;0;0;0;0;0;0
7,82057e-07;0;1,56511e-06;0;0;0;0;0;0;0;0;0;0;0;0
8,13339e-07;0;1,54871e-06;0;0;0;0;0;0;0;0;0;0;0;0
8,44621e-07;0;1,58142e-06;0;0;0;0;0;0;0;0;0;0;0;0
8,75903e-07;0;1,59629e-06;0;0;0;0;0;0;0;0;0;0;0;0
9,07186e-07;0;1,55821e-06;0;0;0;0;0;0;0;0;0;0;0;0
9,38468e-07;0;1,55082e-06;0;0;0;0;0;0;0;0;0;0;0;0
9,6975e-07;0;1,4782e-06;0;0;0;0;0;0;0;0;0;0;0;0
1,00103e-06;0;1,48962e-06;0;0;0;0;0;0;0;0;0;0;0;0
1,03231e-06;0;1,43143e-06;0;0;0;0;0;0;0;0;0;0;0;0
1,0636e-06;0;1,38539e-06;0;0;0;0;0;0;0;0;0;0;0;0
1,09488e-06;0;1,35885e-06;0;0;0;0;0;0;0;0;0;0;0;0
1,12616e-06;0;1,32177e-06;0;0;0;0;0;0;0;0;0;0;0;0
1,15744e-06;0;1,27909e-06;0;0;0;0;0;0;0;0;0;0;0;0
1,18873e-06;0;1,23477e-06;0;0;0;0;0;0;0;0;0;0;0;0
1,22001e-06;0;1,21368e-06;0;0;0;0;0;0;0;0;0;0;0;0
1,25129e-06;0;1,18336e-06;0;0;0;0;0;0;0;0;0;0;0;0
1,28257e-06;0;1,15265e-06;0;0;0;0;0;0;0;0;0;0;0;0
1,31386e-06;0;1,15251e-06;0;0;0;0;0;0;0;0;0;0;0;0
1,34514e-06;0;1,15148e-06;0;0;0;0;0;0;0;0;0;0;0;0
1,37642e-06;0;1,14777e-06;0;0;0;0;0;0;0;0;0;0;0;0
0;;;;;;;;;;;;;;
