# exported by fityk 0.8.7
#1-Zn:x	1-Zn:y	1-Zn:s	1-Zn:F(x)	1-Zn:%_1(x)	1-Zn:%_2(x)	1-Zn:%_3(x)	1-Zn:a
0.79	0	1	2.59636e-085	9.32412e-240	0	2.59636e-085	1
0.81	0	1	1.09091e-084	1.63334e-238	0	1.09091e-084	1
0.82	0	1	2.23185e-084	6.81732e-238	0	2.23185e-084	1
0.84	0	1	9.30544e-084	1.18112e-236	0	9.30544e-084	1
0.86	0	1	3.85989e-083	2.03132e-235	0	3.85989e-083	1
0.87	0	1	7.84615e-083	8.40085e-235	0	7.84615e-083	1
0.89	0	1	3.22956e-082	1.42896e-233	0	3.22956e-082	1
0.9	0	1	6.53957e-082	5.87719e-233	0	6.53957e-082	1
0.92	0	1	2.67107e-081	9.88725e-232	0	2.67107e-081	1
0.93	0	1	5.38784e-081	4.04418e-231	0	5.38784e-081	1
0.95	0	1	2.18373e-080	6.72894e-230	0	2.18373e-080	1
0.97	0	1	8.80537e-080	1.1114e-228	0	8.80537e-080	1
0.98	0	1	1.76475e-079	4.50436e-228	0	1.76475e-079	1
1	0	1	7.06126e-079	7.3581e-227	3.56617e-320	7.06126e-079	1
1.01	0	1	1.40975e-078	2.96575e-226	2.10017e-319	1.40975e-078	1
1.03	0	1	5.59744e-078	4.79157e-225	6.76014e-318	5.59744e-078	1
1.05	0	1	2.21107e-077	7.6847e-224	2.15789e-316	2.21107e-077	1
1.06	0	1	4.38601e-077	3.06905e-223	1.21528e-315	4.38601e-077	1
1.08	0	1	1.71922e-076	4.86815e-222	3.8309e-314	1.71922e-076	1
1.09	0	1	3.39721e-076	1.93351e-221	2.1443e-313	3.39721e-076	1
1.11	0	1	1.32139e-075	3.0333e-220	6.67724e-312	1.32139e-075	1
1.12	0	1	2.60105e-075	1.19813e-219	3.71471e-311	2.60105e-075	1
1.14	0	1	1.00393e-074	1.85901e-218	1.14268e-309	1.00393e-074	1
1.16	0	1	3.85504e-074	2.86332e-217	3.48643e-308	3.85504e-074	1
1.17	0	1	7.53967e-074	1.12064e-216	1.91992e-307	7.53967e-074	1
1.19	0	1	2.87292e-073	1.70711e-215	5.78665e-306	2.87292e-073	1
1.2	7	2.64575	5.59721e-073	6.6445e-215	3.16718e-305	5.59721e-073	1
1.22	14	3.74166	2.11637e-072	1.00108e-213	9.42985e-304	2.11637e-072	1
1.24	25	5	7.96117e-072	1.49721e-212	2.78481e-302	7.96117e-072	1
1.25	41	6.40312	1.5411e-071	5.7742e-212	1.50874e-301	1.5411e-071	1
1.27	48	6.9282	5.75262e-071	8.54112e-211	4.40142e-300	5.75262e-071	1
1.28	45	6.7082	1.10929e-070	3.27589e-210	2.37003e-299	1.10929e-070	1
1.3	46	6.78233	4.10892e-070	4.79251e-209	6.83e-298	4.10892e-070	1
1.31	44	6.63325	7.8928e-070	1.82802e-208	3.65532e-297	7.8928e-070	1
1.33	46	6.78233	2.90109e-069	2.645e-207	1.04059e-295	2.90109e-069	1
1.35	52	7.2111	1.06086e-068	3.79906e-206	2.93827e-294	1.06086e-068	1
1.36	57	7.54983	2.02474e-068	1.43583e-205	1.55658e-293	2.02474e-068	1
1.38	34	5.83095	7.34707e-068	2.03969e-204	4.3418e-292	7.34707e-068	1
1.39	39	6.245	1.39685e-067	7.66649e-204	2.28608e-291	1.39685e-067	1
1.41	47	6.85565	5.0297e-067	1.07713e-202	6.29912e-290	5.0297e-067	1
1.42	39	6.245	9.52579e-067	4.02629e-202	3.29644e-289	9.52579e-067	1
1.44	45	6.7082	3.40364e-066	5.59481e-201	8.97265e-288	3.40364e-066	1
1.46	46	6.78233	1.2099e-065	7.71743e-200	2.42245e-286	1.2099e-065	1
1.47	45	6.7082	2.27676e-065	2.85837e-199	1.25485e-285	2.27676e-065	1
1.49	34	5.83095	8.03106e-065	3.89957e-198	3.34668e-284	8.03106e-065	1
1.5	54	7.34847	1.50544e-064	1.43637e-197	1.72304e-283	1.50544e-064	1
1.52	47	6.85565	5.26948e-064	1.93809e-196	4.53947e-282	5.26948e-064	1
1.54	52	7.2111	1.83501e-063	2.59591e-195	1.18624e-280	1.83501e-063	1
1.55	35	5.91608	3.41771e-063	9.47434e-195	6.04544e-280	3.41771e-063	1
1.57	30	5.47723	1.18101e-062	1.25508e-193	1.56057e-278	1.18101e-062	1
1.58	37	6.08276	2.19116e-062	4.55552e-193	7.90463e-278	2.19116e-062	1
1.6	40	6.32456	7.5135e-062	5.96859e-192	2.01569e-276	7.5135e-062	1
1.61	35	5.91608	1.38863e-061	2.15448e-191	1.01477e-275	1.38863e-061	1
1.63	41	6.40312	4.72502e-061	2.79181e-190	2.55621e-274	4.72502e-061	1
1.65	35	5.91608	1.5995e-060	3.59118e-189	6.38683e-273	1.5995e-060	1
1.66	48	6.9282	2.93723e-060	1.28444e-188	3.18274e-272	2.93723e-060	1
1.68	36	6	9.86659e-060	1.63409e-187	7.85556e-271	9.86659e-060	1
1.69	39	6.245	1.80486e-059	5.81246e-187	3.89078e-270	1.80486e-059	1
1.71	38	6.16441	6.0162e-059	7.3136e-186	9.48638e-269	6.0162e-059	1
1.73	33	5.74456	1.99511e-058	9.13501e-185	2.29415e-267	1.99511e-058	1
1.74	40	6.32456	3.62618e-058	3.21959e-184	1.12475e-266	3.62618e-058	1
1.76	36	6	1.19328e-057	3.9773e-183	2.68698e-265	1.19328e-057	1
1.77	41	6.40312	2.16048e-057	1.39407e-182	1.30931e-264	2.16048e-057	1
1.79	40	6.32456	7.0549e-057	1.70327e-181	3.08986e-263	7.0549e-057	1
1.8	31	5.56776	1.2724e-056	5.93724e-181	1.49644e-262	1.2724e-056	1
1.82	23	4.79583	4.12299e-056	7.17453e-180	3.48854e-261	4.12299e-056	1
1.84	36	6	1.32913e-055	8.60614e-179	8.06652e-260	1.32913e-055	1
1.85	40	6.32456	2.38181e-055	2.97247e-178	3.86705e-259	2.38181e-055	1
1.87	40	6.32456	7.61922e-055	3.52649e-177	8.83304e-258	7.61922e-055	1
1.88	26	5.09902	1.36011e-054	1.21132e-176	4.2087e-257	1.36011e-054	1
1.9	28	5.2915	4.31743e-054	1.42133e-175	9.49655e-256	4.31743e-054	1
1.92	38	6.16441	1.36346e-053	1.65552e-174	2.12541e-254	1.36346e-053	1
1.93	37	6.08276	2.41832e-053	5.63454e-174	1.00243e-253	2.41832e-053	1
1.95	30	5.47723	7.57844e-053	6.49099e-173	2.21624e-252	7.57844e-053	1
1.96	40	6.32456	1.33898e-052	2.19705e-172	1.03889e-251	1.33898e-052	1
1.98	48	6.9282	4.16379e-052	2.50323e-171	2.26894e-250	4.16379e-052	1
1.99	33	5.74456	7.32839e-052	8.42626e-171	1.05711e-249	7.32839e-052	1
2.01	34	5.83095	2.26137e-051	9.49526e-170	2.28065e-248	2.26137e-051	1
2.03	26	5.09902	6.94224e-051	1.06215e-168	4.88042e-247	6.94224e-051	1
