# exported by fityk 0.8.7
#10-X:x	10-X:y	10-X:s	10-X:F(x)	10-X:%_1(x)	10-X:%_5(x)	10-X:a
0.79	0	1	4.91592e-159	4.91592e-159	4.77129e-264	1
0.81	0	1	4.63554e-158	4.63554e-158	1.27667e-262	1
0.82	0	1	1.41986e-157	1.41986e-157	6.58202e-262	1
0.84	0	1	1.32534e-156	1.32534e-156	1.73798e-260	1
0.86	0	1	1.22877e-155	1.22877e-155	4.54872e-259	1
0.87	0	1	3.73195e-155	3.73195e-155	2.31938e-258	1
0.89	0	1	3.42503e-154	3.42503e-154	5.99045e-257	1
0.9	0	1	1.03497e-153	1.03497e-153	3.03434e-256	1
0.92	0	1	9.40246e-153	9.40246e-153	7.73381e-255	1
0.93	0	1	2.82681e-152	2.82681e-152	3.89152e-254	1
0.95	0	1	2.54214e-151	2.54214e-151	9.78792e-253	1
0.97	0	1	2.2707e-150	2.2707e-150	2.44019e-251	1
0.98	0	1	6.7692e-150	6.7692e-150	1.21437e-250	1
1	0	1	5.9853e-149	5.9853e-149	2.98762e-249	1
1.01	0	1	1.77524e-148	1.77524e-148	1.47697e-248	1
1.03	0	1	1.55379e-147	1.55379e-147	3.58583e-247	1
1.05	0	1	1.35078e-146	1.35078e-146	8.62914e-246	1
1.06	0	1	3.97265e-146	3.97265e-146	4.21908e-245	1
1.08	0	1	3.4187e-145	3.4187e-145	1.00193e-243	1
1.09	0	1	1.00034e-144	1.00034e-144	4.8664e-243	1
1.11	0	1	8.52151e-144	8.52151e-144	1.14043e-241	1
1.12	0	1	2.48083e-143	2.48083e-143	5.50252e-241	1
1.14	2	1.41421	2.09196e-142	2.09196e-142	1.27252e-239	1
1.16	0	1	1.75213e-141	1.75213e-141	2.91697e-238	1
1.17	1	1	5.0579e-141	5.0579e-141	1.39195e-237	1
1.19	2	1.41421	4.19345e-140	4.19345e-140	3.14871e-236	1
1.2	3	1.73205	1.20439e-139	1.20439e-139	1.49261e-235	1
1.22	5	2.23607	9.88455e-139	9.88455e-139	3.33193e-234	1
1.24	11	3.31662	8.05756e-138	8.05756e-138	7.37236e-233	1
1.25	24	4.89898	2.29469e-137	2.29469e-137	3.45639e-232	1
1.27	25	5	1.85164e-136	1.85164e-136	7.54702e-231	1
1.28	31	5.56776	5.24651e-136	5.24651e-136	3.51489e-230	1
1.3	15	3.87298	4.19075e-135	4.19075e-135	7.57368e-229	1
1.31	22	4.69042	1.18141e-134	1.18141e-134	3.50401e-228	1
1.33	20	4.47214	9.34129e-134	9.34129e-134	7.45078e-227	1
1.35	32	5.65685	7.33624e-133	7.33624e-133	1.57036e-225	1
1.36	25	5	2.05071e-132	2.05071e-132	7.18554e-225	1
1.38	24	4.89898	1.59425e-131	1.59425e-131	1.49451e-223	1
1.39	17	4.12311	4.43385e-131	4.43385e-131	6.79329e-223	1
1.41	19	4.3589	3.4121e-130	3.4121e-130	1.39432e-221	1
1.42	19	4.3589	9.44145e-130	9.44145e-130	6.29598e-221	1
1.44	28	5.2915	7.19228e-129	7.19228e-129	1.27523e-219	1
1.46	25	5	5.44193e-128	5.44193e-128	2.5602e-218	1
1.47	24	4.89898	1.49311e-127	1.49311e-127	1.14334e-217	1
1.49	18	4.24264	1.11832e-126	1.11832e-126	2.26519e-216	1
1.5	18	4.24264	3.05281e-126	3.05281e-126	1.00491e-215	1
1.52	23	4.79583	2.2634e-125	2.2634e-125	1.96471e-214	1
1.54	18	4.24264	1.66679e-124	1.66679e-124	3.8074e-213	1
1.55	29	5.38516	4.51166e-124	4.51166e-124	1.67053e-212	1
1.57	17	4.12311	3.28884e-123	3.28884e-123	3.19468e-211	1
1.58	31	5.56776	8.85711e-123	8.85711e-123	1.39243e-210	1
1.6	14	3.74166	6.39125e-122	6.39125e-122	2.62778e-209	1
1.61	28	5.2915	1.71249e-121	1.71249e-121	1.13777e-208	1
1.63	17	4.12311	1.22324e-120	1.22324e-120	2.11891e-207	1
1.65	26	5.09902	8.67859e-120	8.67859e-120	3.91139e-206	1
1.66	30	5.47723	2.30577e-119	2.30577e-119	1.67495e-205	1
1.68	24	4.89898	1.61935e-118	1.61935e-118	3.05113e-204	1
1.69	24	4.89898	4.28057e-118	4.28057e-118	1.29793e-203	1
1.71	29	5.38516	2.97587e-117	2.97587e-117	2.33321e-202	1
1.73	25	5	2.05488e-116	2.05488e-116	4.15735e-201	1
1.74	20	4.47214	5.38603e-116	5.38603e-116	1.74908e-200	1
