# exported by fityk 0.8.7
#11-X:x	11-X:y	11-X:s	11-X:F(x)	11-X:%_1(x)	11-X:%_2(x)	11-X:%_4(x)	11-X:a
0.79	0	1	1.8271e-026	2.45417e-062	0	1.8271e-026	1
0.81	0	1	2.99365e-026	5.76321e-062	0	2.99365e-026	1
0.82	0	1	3.8292e-026	8.82361e-062	0	3.8292e-026	1
0.84	0	1	6.25593e-026	2.06451e-061	0	6.25593e-026	1
0.86	0	1	1.0201e-025	4.81866e-061	0	1.0201e-025	1
0.87	0	1	1.30167e-025	7.35502e-061	0	1.30167e-025	1
0.89	0	1	2.11639e-025	1.71042e-060	0	2.11639e-025	1
0.9	0	1	2.69668e-025	2.60595e-060	0	2.69668e-025	1
0.92	0	1	4.37189e-025	6.03806e-060	0	4.37189e-025	1
0.93	0	1	5.56258e-025	9.1826e-060	0	5.56258e-025	1
0.95	0	1	8.99211e-025	2.11986e-059	0	8.99211e-025	1
0.97	0	1	1.45081e-024	4.88189e-059	0	1.45081e-024	1
0.98	0	1	1.84151e-024	7.4017e-059	0	1.84151e-024	1
1	0	1	2.96257e-024	1.69834e-058	0	2.96257e-024	1
1.01	0	1	3.75494e-024	2.57023e-058	0	3.75494e-024	1
1.03	0	1	6.02343e-024	5.8759e-058	0	6.02343e-024	1
1.05	0	1	9.64383e-024	1.34004e-057	0	9.64383e-024	1
1.06	0	1	1.21938e-023	2.02181e-057	0	1.21938e-023	1
1.08	0	1	1.94666e-023	4.59403e-057	0	1.94666e-023	1
1.09	0	1	2.45783e-023	6.91868e-057	0	2.45783e-023	1
1.11	0	1	3.91244e-023	1.56634e-056	0	3.91244e-023	1
1.12	0	1	4.93268e-023	2.35462e-056	0	4.93268e-023	1
1.14	1	1	7.82935e-023	5.31123e-056	0	7.82935e-023	1
1.16	1	1	1.24032e-022	1.19511e-055	0	1.24032e-022	1
1.17	1	1	1.55999e-022	1.7911e-055	0	1.55999e-022	1
1.19	2	1.41421	2.46419e-022	4.01554e-055	0	2.46419e-022	1
1.2	4	2	3.09483e-022	6.00702e-055	0	3.09483e-022	1
1.22	4	2	4.87455e-022	1.34182e-054	0	4.87455e-022	1
1.24	11	3.31662	7.66296e-022	2.98999e-054	0	7.66296e-022	1
1.25	30	5.47723	9.60095e-022	4.45923e-054	0	9.60095e-022	1
1.27	28	5.2915	1.50495e-021	9.90023e-054	0	1.50495e-021	1
1.28	36	6	1.88283e-021	1.47381e-053	0	1.88283e-021	1
1.3	21	4.58258	2.94283e-021	3.26015e-053	0	2.94283e-021	1
1.31	29	5.38516	3.67645e-021	4.84438e-053	0	3.67645e-021	1
1.33	18	4.24264	5.72965e-021	1.06769e-052	0	5.72965e-021	1
1.35	24	4.89898	8.91233e-021	2.34742e-052	0	8.91233e-021	1
1.36	26	5.09902	1.11073e-020	3.4775e-052	0	1.11073e-020	1
1.38	40	6.32456	1.72273e-020	7.61772e-052	0	1.72273e-020	1
1.39	29	5.38516	2.14392e-020	1.12644e-051	0	2.14392e-020	1
1.41	26	5.09902	3.31561e-020	2.45852e-051	0	3.31561e-020	1
1.42	26	5.09902	4.12029e-020	3.62878e-051	0	4.12029e-020	1
1.44	20	4.47214	6.35373e-020	7.89113e-051	0	6.35373e-020	1
1.46	35	5.91608	9.77897e-020	1.71182e-050	0	9.77897e-020	1
1.47	37	6.08276	1.2123e-019	2.51895e-050	0	1.2123e-019	1
1.49	27	5.19615	1.86047e-019	5.44438e-050	0	1.86047e-019	1
1.5	23	4.79583	2.3031e-019	7.99679e-050	0	2.3031e-019	1
1.52	21	4.58258	3.52427e-019	1.72209e-049	0	3.52427e-019	1
1.54	40	6.32456	5.38256e-019	3.69943e-049	0	5.38256e-019	1
1.55	19	4.3589	6.64715e-019	5.41723e-049	0	6.64715e-019	1
1.57	14	3.74166	1.01228e-018	1.15949e-048	0	1.01228e-018	1
1.58	30	5.47723	1.2483e-018	1.69479e-048	0	1.2483e-018	1
1.6	29	5.38516	1.89554e-018	3.61423e-048	0	1.89554e-018	1
1.61	25	5	2.33413e-018	5.27313e-048	0	2.33413e-018	1
1.63	31	5.56776	3.53412e-018	1.12042e-047	0	3.53412e-018	1
1.65	23	4.79583	5.34076e-018	2.37482e-047	0	5.34076e-018	1
1.66	30	5.47723	6.56069e-018	3.45429e-047	0	6.56069e-018	1
1.68	30	5.47723	9.88591e-018	7.29492e-047	0	9.88591e-018	1
1.69	26	5.09902	1.21265e-017	1.05914e-046	0	1.21265e-017	1
1.71	33	5.74456	1.822e-017	2.22857e-046	0	1.822e-017	1
1.73	24	4.89898	2.73228e-017	4.67777e-046	0	2.73228e-017	1
1.74	25	5	3.34349e-017	6.77092e-046	0	3.34349e-017	1
1.76	30	5.47723	4.99946e-017	1.41602e-045	0	4.99946e-017	1
1.77	32	5.65685	6.10901e-017	2.0459e-045	0	6.10901e-017	1
1.79	27	5.19615	9.10833e-017	4.26303e-045	0	9.10833e-017	1
1.8	19	4.3589	1.11137e-016	6.14805e-045	0	1.11137e-016	1
1.82	28	5.2915	1.65224e-016	1.27638e-044	0	1.65224e-016	1
1.84	17	4.12311	2.45161e-016	2.64341e-044	0	2.45161e-016	1
1.85	20	4.47214	2.98419e-016	3.80066e-044	0	2.98419e-016	1
1.87	30	5.47723	4.4152e-016	7.84249e-044	0	4.4152e-016	1
1.88	27	5.19615	5.36659e-016	1.12552e-043	0	5.36659e-016	1
1.9	27	5.19615	7.91713e-016	2.31398e-043	0	7.91713e-016	1
1.92	19	4.3589	1.16574e-015	4.74574e-043	0	1.16574e-015	1
1.93	13	3.60555	1.41353e-015	6.79015e-043	0	1.41353e-015	1
1.95	22	4.69042	2.07531e-015	1.38751e-042	0	2.07531e-015	1
1.96	20	4.47214	2.51281e-015	1.9816e-042	0	2.51281e-015	1
1.98	23	4.79583	3.67861e-015	4.03442e-042	0	3.67861e-015	1
1.99	16	4	4.44768e-015	5.75131e-042	0	4.44768e-015	1
2.01	23	4.79583	6.49238e-015	1.16666e-041	0	6.49238e-015	1
2.03	22	4.69042	9.45885e-015	2.3608e-041	0	9.45885e-015	1
2.04	29	5.38516	1.14089e-014	3.35522e-041	0	1.14089e-014	1
2.06	24	4.89898	1.65738e-014	6.7647e-041	0	1.65738e-014	1
2.07	23	4.79583	1.99618e-014	9.59654e-041	0	1.99618e-014	1
2.09	19	4.3589	2.89151e-014	1.92776e-040	0	2.89151e-014	1
2.11	10	3.16228	4.18038e-014	3.86305e-040	0	4.18038e-014	1
2.12	17	4.12311	5.02281e-014	5.46351e-040	0	5.02281e-014	1
2.14	14	3.74166	7.24073e-014	1.09084e-039	0	7.24073e-014	1
2.15	23	4.79583	8.68734e-014	1.53995e-039	0	8.68734e-014	1
2.17	17	4.12311	1.24873e-013	3.06341e-039	0	1.24873e-013	1
2.18	24	4.89898	1.49605e-013	4.31676e-039	0	1.49605e-013	1
2.2	27	5.19615	2.14424e-013	8.55592e-039	0	2.14424e-013	1
2.22	18	4.24264	3.06736e-013	1.69167e-038	0	3.06736e-013	1
2.23	21	4.58258	3.66603e-013	2.37653e-038	0	3.66603e-013	1
2.25	12	3.4641	5.22918e-013	4.6817e-038	0	5.22918e-013	1
2.26	22	4.69042	6.24077e-013	6.56502e-038	0	6.24077e-013	1
