# exported by fityk 0.8.7
#13-X:x	13-X:y	13-X:s	13-X:F(x)	13-X:%_1(x)	13-X:%_2(x)	13-X:%_3(x)	13-X:%_4(x)	13-X:%_6(x)	13-X:a
0.79	0	1	2.94291e-013	1.00525e-174	0	2.94291e-013	5.89593e-232	0	1
0.81	0	1	4.14192e-013	9.59954e-174	0	4.14192e-013	8.36102e-231	0	1
0.82	0	1	4.91057e-013	2.9595e-173	0	4.91057e-013	3.14083e-230	0	1
0.84	0	1	6.89331e-013	2.79972e-172	0	6.89331e-013	4.4104e-229	0	1
0.86	0	1	9.65986e-013	2.63201e-171	0	9.65986e-013	6.15265e-228	0	1
0.87	0	1	1.14277e-012	8.05107e-171	0	1.14277e-012	2.29238e-227	0	1
0.89	0	1	1.59726e-012	7.49797e-170	0	1.59726e-012	3.16663e-226	0	1
0.9	0	1	1.88712e-012	2.2828e-169	0	1.88712e-012	1.17404e-225	0	1
0.92	0	1	2.63079e-012	2.10608e-168	0	2.63079e-012	1.60591e-224	0	1
0.93	0	1	3.10418e-012	6.38203e-168	0	3.10418e-012	5.92479e-224	0	1
0.95	0	1	4.31624e-012	5.83288e-167	0	4.31624e-012	8.02486e-223	0	1
0.97	0	1	5.99115e-012	5.29768e-166	0	5.99115e-012	1.07982e-221	0	1
0.98	0	1	7.05393e-012	1.59282e-165	0	7.05393e-012	3.95132e-221	0	1
1	0	1	9.76579e-012	1.43313e-164	0	9.76579e-012	5.26483e-220	0	1
1.01	0	1	1.14832e-011	4.2887e-164	0	1.14832e-011	1.91707e-219	0	1
1.03	0	1	1.58567e-011	3.82263e-163	0	1.58567e-011	2.52934e-218	0	1
1.05	0	1	2.18578e-011	3.38592e-162	0	2.18578e-011	3.31533e-217	0	1
1.06	0	1	2.56462e-011	1.00534e-161	0	2.56462e-011	1.19734e-216	0	1
1.08	0	1	3.52606e-011	8.82155e-161	0	3.52606e-011	1.55405e-215	0	1
1.09	0	1	4.13182e-011	2.60699e-160	0	4.13182e-011	5.58496e-215	0	1
1.11	0	1	5.66604e-011	2.26615e-159	0	5.66604e-011	7.17783e-214	0	1
1.12	2	1.41421	6.63082e-011	6.66565e-159	0	6.63082e-011	2.56692e-213	0	1
1.14	1	1	9.06936e-011	5.73995e-158	0	9.06936e-011	3.26672e-212	0	1
1.16	1	1	1.23832e-010	4.91193e-157	0	1.23832e-010	4.13012e-211	0	1
1.17	0	1	1.44604e-010	1.43352e-156	0	1.44604e-010	1.46494e-210	0	1
1.19	0	1	1.96929e-010	1.21525e-155	0	1.96929e-010	1.834e-209	0	1
1.2	0	1	2.29664e-010	3.52999e-155	0	2.29664e-010	6.4732e-209	0	1
1.22	5	2.23607	3.11955e-010	2.9645e-154	0	3.11955e-010	8.0246e-208	0	1
1.24	16	4	4.23e-010	2.47405e-153	0	4.23e-010	9.88278e-207	0	1
1.25	16	4	4.92246e-010	7.13042e-153	0	4.92246e-010	3.4597e-206	0	1
1.27	15	3.87298	6.65735e-010	5.89506e-152	0	6.65735e-010	4.21911e-205	0	1
1.28	35	5.91608	7.73712e-010	1.69104e-151	0	7.73712e-010	1.46975e-204	0	1
1.3	19	4.3589	1.04369e-009	1.38498e-150	0	1.04369e-009	1.77481e-203	0	1
1.31	16	4	1.21139e-009	3.95429e-150	0	1.21139e-009	6.15232e-203	0	1
1.33	22	4.69042	1.62984e-009	3.20831e-149	0	1.62984e-009	7.35656e-202	0	1
1.35	18	4.24264	2.18905e-009	2.58679e-148	0	2.18905e-009	8.73899e-201	0	1
1.36	22	4.69042	2.53529e-009	7.32795e-148	0	2.53529e-009	3.0046e-200	0	1
1.38	11	3.31662	3.39632e-009	5.85309e-147	0	3.39632e-009	3.53427e-199	0	1
1.39	18	4.24264	3.92842e-009	1.65031e-146	0	3.92842e-009	1.20917e-198	0	1
1.41	15	3.87298	5.24892e-009	1.30582e-145	0	5.24892e-009	1.40841e-197	0	1
1.42	19	4.3589	6.06337e-009	3.66457e-145	0	6.06337e-009	4.79491e-197	0	1
1.44	15	3.87298	8.0805e-009	2.8725e-144	0	8.0805e-009	5.53028e-196	0	1
1.46	23	4.79583	1.075e-008	2.23756e-143	0	1.075e-008	6.33672e-195	0	1
1.47	9	3	1.23912e-008	6.23033e-143	0	1.23912e-008	2.13971e-194	0	1
1.49	18	4.24264	1.64421e-008	4.80775e-142	0	1.64421e-008	2.42773e-193	0	1
1.5	20	4.47214	1.89276e-008	1.33241e-141	0	1.89276e-008	8.15744e-193	0	1
1.52	15	3.87298	2.50501e-008	1.01856e-140	0	2.50501e-008	9.16485e-192	0	1
1.54	18	4.24264	3.30958e-008	7.7377e-140	0	3.30958e-008	1.02293e-190	0	1
1.55	19	4.3589	3.80164e-008	2.12767e-139	0	3.80164e-008	3.40911e-190	0	1
1.57	18	4.24264	5.00962e-008	1.60121e-138	0	5.00962e-008	3.76781e-189	0	1
1.58	18	4.24264	5.74698e-008	4.38227e-138	0	5.74698e-008	1.24953e-188	0	1
1.6	11	3.31662	7.55343e-008	3.26708e-137	0	7.55343e-008	1.36748e-187	0	1
1.61	11	3.31662	8.65395e-008	8.89958e-137	0	8.65395e-008	4.51275e-187	0	1
1.63	12	3.4641	1.13446e-007	6.57275e-136	0	1.13446e-007	4.89039e-186	0	1
1.65	20	4.47214	1.48462e-007	4.82395e-135	0	1.48462e-007	5.26498e-185	0	1
1.66	18	4.24264	1.69725e-007	1.3038e-134	0	1.69725e-007	1.72328e-184	0	1
1.68	9	3	2.21534e-007	9.47944e-134	0	2.21534e-007	1.83711e-183	0	1
1.69	21	4.58258	2.52933e-007	2.55005e-133	0	2.52933e-007	5.98353e-183	0	1
1.71	9	3	3.29285e-007	1.8367e-132	0	3.29285e-007	6.31632e-182	0	1
1.73	24	4.89898	4.27944e-007	1.31464e-131	0	4.27944e-007	6.62402e-181	0	1
1.74	10	3.16228	4.87541e-007	3.50888e-131	0	4.87541e-007	2.13985e-180	0	1
1.76	11	3.31662	6.31971e-007	2.48802e-130	0	6.31971e-007	2.22212e-179	0	1
1.77	14	3.74166	7.19048e-007	6.60961e-130	0	7.19048e-007	7.14317e-179	0	1
1.79	16	4	9.29641e-007	4.64277e-129	0	9.29641e-007	7.34518e-178	0	1
1.8	13	3.60555	1.05636e-006	1.2276e-128	0	1.05636e-006	2.34958e-177	0	1
1.82	24	4.89898	1.3622e-006	8.54234e-128	0	1.3622e-006	2.39237e-176	0	1
1.84	22	4.69042	1.75354e-006	5.90709e-127	0	1.75354e-006	2.42001e-175	0	1
1.85	19	4.3589	1.98826e-006	1.54971e-126	0	1.98826e-006	7.67791e-175	0	1
1.87	18	4.24264	2.55282e-006	1.06161e-125	0	2.55282e-006	7.69058e-174	0	1
1.88	10	3.16228	2.89076e-006	2.77205e-125	0	2.89076e-006	2.428e-173	0	1
1.9	17	4.12311	3.70195e-006	1.88119e-124	0	3.70195e-006	2.40819e-172	0	1
1.92	11	3.31662	4.73257e-006	1.26865e-123	0	4.73257e-006	2.37293e-171	0	1
1.93	7	2.64575	5.34747e-006	3.28682e-123	0	5.34747e-006	7.43041e-171	0	1
1.95	11	3.31662	6.81846e-006	2.19585e-122	0	6.81846e-006	7.24992e-170	0	1
1.96	15	3.87298	7.69438e-006	5.66232e-122	0	7.69438e-006	2.25904e-169	0	1
1.98	17	4.12311	9.7855e-006	3.74746e-121	0	9.7855e-006	2.18259e-168	0	1
1.99	10	3.16228	1.10282e-005	9.61808e-121	0	1.10282e-005	6.76748e-168	0	1
2.01	16	4	1.3989e-005	6.30592e-120	0	1.3989e-005	6.47441e-167	0	1
2.03	11	3.31662	1.77139e-005	4.10854e-119	0	1.77139e-005	6.15354e-166	0	1
2.04	11	3.31662	1.99203e-005	1.04625e-118	0	1.99203e-005	1.89243e-165	0	1
2.06	10	3.16228	2.51592e-005	6.75291e-118	0	2.51592e-005	1.78103e-164	0	1
2.07	9	3	2.82563e-005	1.71158e-117	0	2.82563e-005	5.45039e-164	0	1
2.09	14	3.74166	3.55948e-005	1.09439e-116	0	3.55948e-005	5.07932e-163	0	1
2.11	13	3.60555	4.47615e-005	6.95378e-116	0	4.47615e-005	4.70257e-162	0	1
2.12	10	3.16228	5.01628e-005	1.74874e-115	0	5.01628e-005	1.42735e-161	0	1
2.14	16	4	6.29177e-005	1.10076e-114	0	6.29177e-005	1.30854e-160	0	1
2.15	12	3.4641	7.04183e-005	2.75522e-114	0	7.04183e-005	3.95227e-160	0	1
2.17	16	4	8.80942e-005	1.71807e-113	0	8.80942e-005	3.58781e-159	0	1
2.18	8	2.82843	9.84682e-005	4.28018e-113	0	9.84682e-005	1.07833e-158	0	1
2.2	22	4.69042	0.000122865	2.64401e-112	0	0.000122865	9.69306e-158	0	1
2.22	17	4.12311	0.000153042	1.62309e-111	0	0.000153042	8.65608e-157	0	1
2.23	21	4.58258	0.000170694	4.01201e-111	0	0.000170694	2.58038e-156	0	1
2.25	12	3.4641	0.000212066	2.43983e-110	0	0.000212066	2.28176e-155	0	1
2.26	9	3	0.000236219	6.00256e-110	0	0.000236219	6.76854e-155	0	1
2.28	17	4.12311	0.00029271	3.61618e-109	0	0.00029271	5.92664e-154	0	1
2.3	15	3.87298	0.000362084	2.16492e-108	0	0.000362084	5.15553e-153	0	1
2.31	12	3.4641	0.000402451	5.28466e-108	0	0.000402451	1.51683e-152	0	1
2.33	11	3.31662	0.000496541	3.13419e-107	0	0.000496541	1.30656e-151	0	1
2.34	16	4	0.000551181	7.61482e-107	0	0.000551181	3.82522e-151	0	1
2.36	18	4.24264	0.000678279	4.47389e-106	0	0.000678279	3.26268e-150	0	1
2.37	19	4.3589	0.00075194	1.08188e-105	0	0.00075194	9.50528e-150	0	1
2.39	15	3.87298	0.00092293	6.29681e-105	0	0.00092293	8.02804e-149	0	1
2.41	10	3.16228	0.00113084	3.64201e-104	0	0.00113084	6.73605e-148	0	1
2.42	17	4.12311	0.00125094	8.73838e-104	0	0.00125094	1.94641e-147	0	1
2.44	8	2.82843	0.00152876	5.0069e-103	0	0.00152876	1.61718e-146	0	1
2.45	10	3.16228	0.00168893	1.19569e-102	0	0.00168893	4.64997e-146	0	1
2.47	13	3.60555	0.00205867	6.78691e-102	0	0.00205867	3.8256e-145	0	1
2.48	14	3.74166	0.00227139	1.61317e-101	0	0.00227139	1.0946e-144	0	1
2.5	13	3.60555	0.00276147	9.07092e-101	0	0.00276147	8.91727e-144	0	1
2.52	15	3.87298	0.00335147	5.06876e-100	0	0.00335147	7.21703e-143	0	1
2.53	19	4.3589	0.00368978	1.19538e-099	0	0.00368978	2.04811e-142	0	1
2.55	19	4.3589	0.00446649	6.61718e-099	0	0.00446649	1.64137e-141	0	1
2.56	19	4.3589	0.00491097	1.55323e-098	0	0.00491097	4.63517e-141	0	1
