# exported by fityk 0.8.7
#14-X:x	14-X:y	14-X:s	14-X:F(x)	14-X:%_1(x)	14-X:%_10(x)	14-X:%_12(x)	14-X:%_13(x)	14-X:%_14(x)	14-X:%_15(x)	14-X:%_16(x)	14-X:a
0.79	0	1	8.44116e-010	0	0	2.21161e-117	4.20148e-109	8.44116e-010	4.31643e-083	3.86448e-037	1
0.81	0	1	1.29198e-009	0	0	5.88519e-117	8.50147e-109	1.29198e-009	6.71489e-083	6.36842e-037	1
0.82	0	1	1.59615e-009	0	0	9.59401e-117	1.20887e-108	1.59615e-009	8.37361e-083	8.17084e-037	1
0.84	0	1	2.42937e-009	0	0	2.54627e-116	2.44246e-108	2.42937e-009	1.30165e-082	1.34359e-036	1
0.86	0	1	3.68374e-009	0	0	6.74592e-116	4.93002e-108	3.68374e-009	2.02235e-082	2.20619e-036	1
0.87	0	1	4.52979e-009	0	0	1.09729e-115	7.00162e-108	4.52979e-009	2.52031e-082	2.8255e-036	1
0.89	0	1	6.83027e-009	0	0	2.89942e-115	1.41116e-107	6.83027e-009	3.91276e-082	4.62946e-036	1
0.9	0	1	8.37547e-009	0	0	4.70996e-115	2.00265e-107	8.37547e-009	4.87433e-082	5.92261e-036	1
0.92	0	1	1.25584e-008	0	0	1.24124e-114	4.03033e-107	1.25584e-008	7.56158e-082	9.68299e-036	1
0.93	0	1	1.53564e-008	0	0	2.01367e-114	5.71542e-107	1.53564e-008	9.41625e-082	1.23744e-035	1
0.95	0	1	2.2897e-008	0	0	5.29269e-114	1.14853e-106	2.2897e-008	1.45963e-081	2.01873e-035	1
0.97	0	1	3.4013e-008	0	0	1.38867e-113	2.30571e-106	3.4013e-008	2.26146e-081	3.28859e-035	1
0.98	0	1	4.1397e-008	0	0	2.24788e-113	3.26571e-106	4.1397e-008	2.81434e-081	4.19507e-035	1
1	0	1	6.11505e-008	0	0	5.88229e-113	6.54636e-106	6.11505e-008	4.35702e-081	6.81915e-035	1
1.01	0	1	7.42176e-008	0	0	9.50924e-113	9.2651e-106	7.42176e-008	5.42017e-081	8.68942e-035	1
1.03	0	1	1.09019e-007	0	0	2.48182e-112	1.85451e-105	1.09019e-007	8.38482e-081	1.40942e-034	1
1.05	0	1	1.59542e-007	0	0	6.46588e-112	3.70835e-105	1.59542e-007	1.29644e-080	2.28279e-034	1
1.06	0	1	1.92732e-007	0	0	1.04296e-111	5.24199e-105	1.92732e-007	1.61176e-080	2.90365e-034	1
1.08	0	1	2.80473e-007	0	0	2.71005e-111	1.04666e-104	2.80473e-007	2.49016e-080	4.69278e-034	1
1.09	0	1	3.37871e-007	0	0	4.3656e-111	1.47842e-104	3.37871e-007	3.09463e-080	5.96263e-034	1
1.11	0	1	4.88937e-007	0	0	1.13137e-110	2.94758e-104	4.88937e-007	4.77754e-080	9.61577e-034	1
1.12	0	1	5.87347e-007	0	0	1.8201e-110	4.16042e-104	5.87347e-007	5.93497e-080	1.22046e-033	1
1.14	0	1	8.45205e-007	0	0	4.7044e-110	8.2825e-104	8.45205e-007	9.15551e-080	1.96394e-033	1
1.16	1	1	1.21173e-006	0	0	1.2138e-109	1.64724e-103	1.21173e-006	1.41164e-079	3.1558e-033	1
1.17	1	1	1.44883e-006	0	0	1.94841e-109	2.32217e-103	1.44883e-006	1.75252e-079	3.9982e-033	1
1.19	6	2.44949	2.06551e-006	0	0	5.01389e-109	4.61155e-103	2.06551e-006	2.70007e-079	6.4107e-033	1
1.2	12	3.4641	2.46276e-006	0	0	8.03775e-109	6.49625e-103	2.46276e-006	3.35079e-079	8.11317e-033	1
1.22	25	5	3.49137e-006	0	0	2.0629e-108	1.28817e-102	3.49137e-006	5.15853e-079	1.29805e-032	1
1.24	20	4.47214	4.93112e-006	0	0	5.28514e-108	2.55185e-102	4.93112e-006	7.9375e-079	2.0738e-032	1
1.25	18	4.24264	5.8521e-006	0	0	8.45392e-108	3.59034e-102	5.8521e-006	9.84418e-079	2.61981e-032	1
1.27	35	5.91608	8.21914e-006	0	0	2.16016e-107	7.10191e-102	8.21914e-006	1.51358e-078	4.17643e-032	1
1.28	38	6.16441	9.72691e-006	0	0	3.45075e-107	9.98469e-102	9.72691e-006	1.87644e-078	5.27034e-032	1
1.3	28	5.2915	1.35848e-005	0	0	8.79412e-107	1.97211e-101	1.35848e-005	2.8829e-078	8.38368e-032	1
1.31	29	5.38516	1.60319e-005	0	0	1.40296e-106	2.77057e-101	1.60319e-005	3.57267e-078	1.05681e-031	1
1.33	36	6	2.22653e-005	0	0	3.56594e-106	5.46417e-101	2.22653e-005	5.48473e-078	1.67747e-031	1
1.35	28	5.2915	3.08071e-005	0	0	9.04768e-106	1.07659e-100	3.08071e-005	8.41582e-078	2.6588e-031	1
1.36	32	5.65685	3.61869e-005	0	0	1.44023e-105	1.51061e-100	3.61869e-005	1.04228e-077	3.34554e-031	1
1.38	23	4.79583	4.97895e-005	0	0	3.64456e-105	2.97191e-100	4.97895e-005	1.59806e-077	5.29123e-031	1
1.39	31	5.56776	5.83205e-005	0	0	5.79382e-105	4.16694e-100	5.83205e-005	1.9784e-077	6.6507e-031	1
1.41	27	5.19615	7.97943e-005	0	0	1.46228e-104	8.18575e-100	7.97943e-005	3.03104e-077	1.04959e-030	1
1.42	24	4.89898	9.32048e-005	0	0	2.32153e-104	1.14688e-099	9.32048e-005	3.751e-077	1.31783e-030	1
1.44	19	4.3589	0.00012681	0	0	5.84372e-104	2.24966e-099	0.00012681	5.74239e-077	2.07526e-030	1
1.46	21	4.58258	0.000171888	0	0	1.46838e-103	4.40846e-099	0.000171888	8.78652e-077	3.26331e-030	1
1.47	21	4.58258	0.00019984	0	0	2.32608e-103	6.16896e-099	0.00019984	1.08667e-076	4.08993e-030	1
1.49	29	5.38516	0.000269364	0	0	5.8294e-103	1.20709e-098	0.000269364	1.66145e-076	6.41745e-030	1
1.5	16	4	0.00031229	0	0	9.22224e-103	1.68789e-098	0.00031229	2.05401e-076	8.03435e-030	1
1.52	25	5	0.000418582	0	0	2.30508e-102	3.29783e-098	0.000418582	3.13807e-076	1.25793e-029	1
1.54	23	4.79583	0.000558957	0	0	5.75135e-102	6.43702e-098	0.000558957	4.79183e-076	1.9667e-029	1
1.55	17	4.12311	0.000645013	0	0	9.07871e-102	8.98986e-098	0.000645013	5.92022e-076	2.45778e-029	1
1.57	17	4.12311	0.000856507	0	0	2.25922e-101	1.75213e-097	0.000856507	9.03328e-076	3.83429e-029	1
1.58	17	4.12311	0.000985607	0	0	3.56154e-101	2.4452e-097	0.000985607	1.11562e-075	4.78653e-029	1
1.6	26	5.09902	0.00130146	0	0	8.83939e-101	4.75867e-097	0.00130146	1.70095e-075	7.45113e-029	1
1.61	14	3.74166	0.00149344	0	0	1.39164e-100	6.63607e-097	0.00149344	2.09989e-075	9.29155e-029	1
1.63	20	4.47214	0.00196101	0	0	3.44479e-100	1.28956e-096	0.00196101	3.19919e-075	1.44328e-028	1
1.65	14	3.74166	0.00256536	0	0	8.512e-100	2.50346e-096	0.00256536	4.8715e-075	2.23865e-028	1
1.66	18	4.24264	0.00293004	0	0	1.33714e-099	3.48683e-096	0.00293004	6.01023e-075	2.78657e-028	1
1.68	14	3.74166	0.0038116	0	0	3.29532e-099	6.75911e-096	0.0038116	9.14495e-075	4.31287e-028	1
1.69	23	4.79583	0.00434126	0	0	5.16976e-099	9.40715e-096	0.00434126	1.12783e-074	5.36265e-028	1
1.71	18	4.24264	0.00561583	0	0	1.27069e-098	1.82085e-095	0.00561583	1.71476e-074	8.28203e-028	1
1.73	11	3.31662	0.00723751	0	0	3.11777e-098	3.52097e-095	0.00723751	2.60579e-074	1.27723e-027	1
1.74	12	3.4641	0.0082048	0	0	4.88044e-098	4.89435e-095	0.0082048	3.21163e-074	1.58525e-027	1
1.76	24	4.89898	0.010515	0	0	1.1943e-097	9.45018e-095	0.010515	4.87676e-074	2.43944e-027	1
