# exported by fityk 0.8.7
#21-Ag:x	21-Ag:y	21-Ag:s	21-Ag:F(x)	21-Ag:%_1(x)	21-Ag:%_3(x)	21-Ag:%_4(x)	21-Ag:a
0.79	0	1	1.83353e-010	0	0	1.83353e-010	1
0.81	0	1	2.88454e-010	0	0	2.88454e-010	1
0.82	0	1	3.61257e-010	0	0	3.61257e-010	1
0.84	0	1	5.64919e-010	0	0	5.64919e-010	1
0.86	0	1	8.79851e-010	0	0	8.79851e-010	1
0.87	0	1	1.09639e-009	0	0	1.09639e-009	1
0.89	0	1	1.69734e-009	0	0	1.69734e-009	1
0.9	0	1	2.1087e-009	0	0	2.1087e-009	1
0.92	0	1	3.24488e-009	0	0	3.24488e-009	1
0.93	0	1	4.01916e-009	0	0	4.01916e-009	1
0.95	0	1	6.14751e-009	0	0	6.14751e-009	1
0.97	0	1	9.36519e-009	0	0	9.36519e-009	1
0.98	0	1	1.15417e-008	0	0	1.15417e-008	1
1	0	1	1.7477e-008	0	0	1.7477e-008	1
1.01	0	1	2.14739e-008	0	0	2.14739e-008	1
1.03	0	1	3.23213e-008	0	0	3.23213e-008	1
1.05	0	1	4.8453e-008	0	0	4.8453e-008	1
1.06	0	1	5.92354e-008	0	0	5.92354e-008	1
1.08	0	1	8.82659e-008	0	0	8.82659e-008	1
1.09	0	1	1.07583e-007	0	0	1.07583e-007	1
1.11	0	1	1.59344e-007	0	0	1.59344e-007	1
1.12	0	1	1.93632e-007	0	0	1.93632e-007	1
1.14	0	1	2.85068e-007	0	0	2.85068e-007	1
1.16	1	1	4.17998e-007	0	0	4.17998e-007	1
1.17	0	1	5.05396e-007	0	0	5.05396e-007	1
1.19	2	1.41421	7.36611e-007	0	0	7.36611e-007	1
1.2	1	1	8.87945e-007	0	0	8.87945e-007	1
1.22	3	1.73205	1.28639e-006	0	0	1.28639e-006	1
1.24	7	2.64575	1.85614e-006	0	0	1.85614e-006	1
1.25	17	4.12311	2.22626e-006	0	0	2.22626e-006	1
1.27	13	3.60555	3.19298e-006	0	0	3.19298e-006	1
1.28	12	3.4641	3.81814e-006	0	0	3.81814e-006	1
1.3	15	3.87298	5.44317e-006	0	0	5.44317e-006	1
1.31	17	4.12311	6.48928e-006	0	0	6.48928e-006	1
1.33	14	3.74166	9.19554e-006	0	0	9.19554e-006	1
1.35	22	4.69042	1.29781e-005	0	0	1.29781e-005	1
1.36	16	4	1.53948e-005	0	0	1.53948e-005	1
1.38	18	4.24264	2.15967e-005	0	0	2.15967e-005	1
1.39	9	3	2.55411e-005	0	0	2.55411e-005	1
1.41	15	3.87298	3.56151e-005	0	0	3.56151e-005	1
1.42	16	4	4.19929e-005	0	0	4.19929e-005	1
1.44	22	4.69042	5.82038e-005	0	0	5.82038e-005	1
1.46	8	2.82843	8.03488e-005	0	0	8.03488e-005	1
1.47	17	4.12311	9.42624e-005	0	0	9.42624e-005	1
1.49	10	3.16228	0.000129344	0	0	0.000129344	1
1.5	8	2.82843	0.000151285	0	0	0.000151285	1
1.52	16	4	0.000206341	0	0	0.000206341	1
1.54	15	3.87298	0.000280303	0	0	0.000280303	1
1.55	11	3.31662	0.000326207	0	0	0.000326207	1
1.57	12	3.4641	0.00044047	0	0	0.00044047	1
1.58	15	3.87298	0.000511061	0	0	0.000511061	1
1.6	19	4.3589	0.000685923	0	0	0.000685923	1
1.61	14	3.74166	0.000793454	0	0	0.000793454	1
1.63	13	3.60555	0.00105853	0	0	0.00105853	1
1.65	16	4	0.00140651	0	0	0.00140651	1
1.66	20	4.47214	0.00161884	0	0	0.00161884	1
1.68	13	3.60555	0.00213807	0	0	0.00213807	1
1.69	14	3.74166	0.00245344	0	0	0.00245344	1
1.71	14	3.74166	0.00322086	0	0	0.00322086	1
1.73	17	4.12311	0.00421136	0	0	0.00421136	1
1.74	17	4.12311	0.00480832	0	0	0.00480832	1
1.76	10	3.16228	0.00624919	0	0	0.00624919	1
1.77	13	3.60555	0.00711352	0	0	0.00711352	1
1.79	16	4	0.00918958	0	0	0.00918958	1
1.8	8	2.82843	0.0104291	0	0	0.0104291	1
1.82	11	3.31662	0.0133918	0	0	0.0133918	1
1.84	15	3.87298	0.0171271	0	0	0.0171271	1
1.85	16	4	0.0193397	0	0	0.0193397	1
1.87	12	3.4641	0.0245853	0	0	0.0245853	1
1.88	11	3.31662	0.0276779	0	0	0.0276779	1
1.9	14	3.74166	0.0349734	0	0	0.0349734	1
1.92	11	3.31662	0.0440147	0	0	0.0440147	1
1.93	11	3.31662	0.0493028	0	0	0.0493028	1
1.95	10	3.16228	0.0616753	0	0	0.0616753	1
1.96	11	3.31662	0.0688772	0	0	0.0688772	1
1.98	16	4	0.0856437	0	0	0.0856437	1
1.99	14	3.74166	0.0953565	0	0	0.0953565	1
2.01	9	3	0.117855	0	0	0.117855	1
2.03	8	2.82843	0.145079	0	0	0.145079	1
2.04	7	2.64575	0.160722	0	0	0.160722	1
2.06	11	3.31662	0.196657	0	0	0.196657	1
2.07	12	3.4641	0.217205	0	0	0.217205	1
2.09	6	2.44949	0.26417	0	0	0.26417	1
2.11	6	2.44949	0.320001	0	0	0.320001	1
2.12	7	2.64575	0.351666	0	0	0.351666	1
2.14	9	3	0.423426	0	0	0.423426	1
2.15	8	2.82843	0.463923	0	0	0.463923	1
2.17	7	2.64575	0.555232	0	0	0.555232	1
2.18	7	2.64575	0.606503	0	0	0.606503	1
2.2	8	2.82843	0.721508	0	0	0.721508	1
2.22	10	3.16228	0.854875	0	0	0.854875	1
2.23	10	3.16228	0.929135	0	0	0.929135	1
2.25	8	2.82843	1.09426	0	0	1.09426	1
2.26	6	2.44949	1.18573	0	0	1.18573	1
2.28	10	3.16228	1.38806	0	0	1.38806	1
2.3	11	3.31662	1.61839	0	0	1.61839	1
2.31	9	3	1.74489	0	0	1.74489	1
2.33	9	3	2.0222	0	0	2.0222	1
2.34	7	2.64575	2.17368	0	0	2.17368	1
2.36	9	3	2.50399	0	0	2.50399	1
2.37	7	2.64575	2.68346	0	0	2.68346	1
2.39	9	3	3.07264	0	0	3.07264	1
2.41	10	3.16228	3.50414	0	0	3.50414	1
2.42	6	2.44949	3.73647	0	0	3.73647	1
2.44	7	2.64575	4.23557	0	0	4.23557	1
2.45	7	2.64575	4.5028	0	0	4.5028	1
2.47	9	3	5.07356	0	0	5.07356	1
2.48	7	2.64575	5.37741	0	0	5.37741	1
2.5	8	2.82843	6.0226	0	0	6.0226	1
2.52	12	3.4641	6.71812	0	0	6.71812	1
2.53	12	3.4641	7.08476	0	0	7.08476	1
2.55	12	3.4641	7.85543	0	0	7.85543	1
2.56	14	3.74166	8.25918	0	0	8.25918	1
2.58	6	2.44949	9.10252	0	0	9.10252	1
2.6	7	2.64575	9.99172	0	0	9.99172	1
2.61	11	3.31662	10.4526	0	0	10.4526	1
2.63	11	3.31662	11.4047	0	0	11.4047	1
2.64	13	3.60555	11.8948	0	0	11.8948	1
2.66	13	3.60555	12.9002	0	0	12.9002	1
2.67	13	3.60555	13.4141	0	0	13.4141	1
2.69	16	4	14.4604	0	0	14.4604	1
2.71	18	4.24264	15.5257	0	0	15.5257	1
2.72	11	3.31662	16.0633	0	0	16.0633	1
2.74	22	4.69042	17.143	0	0	17.143	1
2.75	14	3.74166	17.6831	0	0	17.6831	1
2.77	15	3.87298	18.7582	0	0	18.7582	1
2.79	26	5.09902	19.8188	0	0	19.8188	1
2.8	15	3.87298	20.3407	0	0	20.3407	1
2.82	15	3.87298	21.3616	0	0	21.3616	1
2.83	15	3.87298	21.858	0	0	21.858	1
2.85	29	5.38516	22.817	0	0	22.817	1
2.86	36	6	23.277	0	0	23.277	1
2.88	17	4.12311	24.1521	0	0	24.1521	1
2.9	27	5.19615	24.9595	0	0	24.9595	1
2.91	25	5	25.335	0	0	25.335	1
2.93	34	5.83095	26.0245	0	0	26.0245	1
2.94	28	5.2915	26.3365	0	0	26.3365	1
2.96	27	5.19615	26.8905	0	0	26.8905	1
2.98	34	5.83095	27.346	0	0	27.346	1
2.99	32	5.65685	27.5351	0	0	27.5351	1
3.01	36	6	27.8331	0	0	27.8331	1
3.02	43	6.55744	27.9412	0	0	27.9412	1
3.04	39	6.245	28.0737	0	0	28.0737	1
3.05	44	6.63325	28.0979	0	0	28.0979	1
3.07	28	5.2915	28.0614	0	0	28.0614	1
3.09	40	6.32456	27.9125	0	0	27.9125	1
3.1	27	5.19615	27.7964	0	0	27.7964	1
3.12	39	6.245	27.4826	0	0	27.4826	1
3.13	33	5.74456	27.2858	0	0	27.2858	1
3.15	32	5.65685	26.8156	0	0	26.8156	1
3.17	40	6.32456	26.2476	0	0	26.2476	1
3.18	45	6.7082	25.9291	0	0	25.9291	1
3.2	32	5.65685	25.2273	0	0	25.2273	1
3.21	37	6.08276	24.8461	0	0	24.8461	1
3.23	30	5.47723	24.0282	0	0	24.0282	1
3.24	34	5.83095	23.5938	0	0	23.5938	1
3.26	34	5.83095	22.68	0	0	22.68	1
3.28	20	4.47214	21.714	0	0	21.714	1
3.29	27	5.19615	21.2146	0	0	21.2146	1
3.31	26	5.09902	20.1889	0	0	20.1889	1
3.32	23	4.79583	19.6651	0	0	19.6651	1
3.34	20	4.47214	18.6018	0	0	18.6018	1
3.36	25	5	17.5253	0	0	17.5253	1
3.37	25	5	16.985	0	0	16.985	1
3.39	18	4.24264	15.9059	0	0	15.9059	1
3.4	8	2.82843	15.3691	0	0	15.3691	1
3.42	12	3.4641	14.3061	0	0	14.3061	1
3.43	15	3.87298	13.7817	0	0	13.7817	1
3.45	14	3.74166	12.7513	0	0	12.7513	1
3.47	19	4.3589	11.7506	0	0	11.7506	1
3.48	9	3	11.2631	0	0	11.2631	1
3.5	14	3.74166	10.3168	0	0	10.3168	1
3.51	12	3.4641	9.85902	0	0	9.85902	1
3.53	14	3.74166	8.97635	0	0	8.97635	1
3.54	11	3.31662	8.55221	0	0	8.55221	1
3.56	13	3.60555	7.73972	0	0	7.73972	1
3.58	7	2.64575	6.9763	0	0	6.9763	1
3.59	6	2.44949	6.61334	0	0	6.61334	1
3.61	8	2.82843	5.92517	0	0	5.92517	1
3.62	7	2.64575	5.59998	0	0	5.59998	1
3.64	5	2.23607	4.98709	0	0	4.98709	1
3.66	5	2.23607	4.42345	0	0	4.42345	1
3.67	7	2.64575	4.15972	0	0	4.15972	1
3.69	4	2	3.6674	0	0	3.6674	1
3.7	4	2	3.43835	0	0	3.43835	1
3.72	6	2.44949	3.01318	0	0	3.01318	1
3.73	6	2.44949	2.81649	0	0	2.81649	1
3.75	6	2.44949	2.45337	0	0	2.45337	1
3.77	7	2.64575	2.12849	0	0	2.12849	1
3.78	6	2.44949	1.97957	0	0	1.97957	1
3.8	4	2	1.7071	0	0	1.7071	1
3.81	7	2.64575	1.58288	0	0	1.58288	1
3.83	5	2.23607	1.35681	0	0	1.35681	1
3.85	2	1.41421	1.15835	0	0	1.15835	1
3.86	8	2.82843	1.06868	0	0	1.06868	1
3.88	9	3	0.906881	0	0	0.906881	1
3.89	4	2	0.834155	0	0	0.834155	1
3.91	5	2.23607	0.703607	0	0	0.703607	1
3.92	3	1.73205	0.645233	0	0	0.645233	1
3.94	7	2.64575	0.540979	0	0	0.540979	1
3.96	8	2.82843	0.451749	0	0	0.451749	1
3.97	2	1.41421	0.412193	0	0	0.412193	1
3.99	4	2	0.342135	0	0	0.342135	1
4	4	2	0.311237	0	0	0.311237	1
4.02	4	2	0.256785	0	0	0.256785	1
4.04	7	2.64575	0.211008	0	0	0.211008	1
4.05	4	2	0.19099	0	0	0.19099	1
4.07	7	2.64575	0.155999	0	0	0.155999	1
4.08	1	1	0.140774	0	0	0.140774	1
4.1	2	1.41421	0.114291	0	0	0.114291	1
4.11	3	1.73205	0.102826	0	0	0.102826	1
4.13	4	2	0.0829806	0	0	0.0829806	1
4.15	6	2.44949	0.0666963	0	0	0.0666963	1
4.16	4	2	0.0597048	0	0	0.0597048	1
4.18	4	2	0.0476996	0	0	0.0476996	1
4.19	2	1.41421	0.0425709	0	0	0.0425709	1
