# exported by fityk 0.8.7
#4-20-Cent:x	4-20-Cent:y	4-20-Cent:s	4-20-Cent:F(x)	4-20-Cent:%_1(x)	4-20-Cent:%_2(x)	4-20-Cent:a
0.79	0	1	7.16944e-221	7.14723e-221	2.22165e-223	1
0.81	0	1	1.25259e-219	1.2496e-219	2.98808e-222	1
0.82	0	1	5.22035e-219	5.20942e-219	1.09317e-221	1
0.84	0	1	9.01434e-218	8.99978e-218	1.45598e-220	1
0.86	0	1	1.54439e-216	1.54246e-216	1.92661e-219	1
0.87	0	1	6.37361e-216	6.36661e-216	6.99119e-219	1
0.89	0	1	1.07912e-214	1.0782e-214	9.16098e-218	1
0.9	0	1	4.42715e-214	4.42384e-214	3.30808e-217	1
0.92	0	1	7.40719e-213	7.4029e-213	4.29259e-216	1
0.93	0	1	3.02084e-212	3.01929e-212	1.54252e-215	1
0.95	0	1	4.99448e-211	4.9925e-211	1.9821e-214	1
0.97	0	1	8.19226e-210	8.18973e-210	2.53042e-213	1
0.98	0	1	3.30801e-209	3.30711e-209	9.01911e-213	1
1	0	1	5.3617e-208	5.36056e-208	1.1402e-211	1
1.01	0	1	2.15216e-207	2.15176e-207	4.04418e-211	1
1.03	0	1	3.4469e-206	3.4464e-206	5.06294e-210	1
1.05	0	1	5.4768e-205	5.47617e-205	6.29715e-209	1
1.06	0	1	2.1766e-204	2.17638e-204	2.2154e-208	1
1.08	0	1	3.41736e-203	3.41709e-203	2.72864e-207	1
1.09	0	1	1.35005e-202	1.34996e-202	9.55283e-207	1
1.11	0	1	2.09447e-201	2.09436e-201	1.16514e-205	1
1.12	0	1	8.22508e-201	8.22468e-201	4.05921e-205	1
1.14	1	1	1.26089e-199	1.26084e-199	4.90278e-204	1
1.16	1	1	1.91758e-198	1.91752e-198	5.88318e-203	1
1.17	0	1	7.45582e-198	7.45562e-198	2.03299e-202	1
1.19	0	1	1.12043e-196	1.1204e-196	2.41578e-201	1
1.2	4	2	4.33043e-196	4.33035e-196	8.30725e-201	1
1.22	5	2.23607	6.43028e-195	6.43018e-195	9.77536e-200	1
1.24	10	3.16228	9.4726e-194	9.47248e-194	1.14282e-198	1
1.25	24	4.89898	3.62486e-193	3.62482e-193	3.89797e-198	1
1.27	33	5.74456	5.27643e-192	5.27639e-192	4.51269e-197	1
1.28	33	5.74456	2.00709e-191	2.00708e-191	1.5317e-196	1
1.3	30	5.47723	2.88687e-190	2.88685e-190	1.756e-195	1
1.31	39	6.245	1.09159e-189	1.09158e-189	5.93114e-195	1
1.33	26	5.09902	1.55142e-188	1.55141e-188	6.73352e-194	1
1.35	29	5.38516	2.18745e-187	2.18745e-187	7.59478e-193	1
1.36	29	5.38516	8.18929e-187	8.18926e-187	2.54443e-192	1
1.38	30	5.47723	1.14095e-185	1.14094e-185	2.84195e-191	1
1.39	32	5.65685	4.24598e-185	4.24597e-185	9.47475e-191	1
1.41	32	5.65685	5.84531e-184	5.8453e-184	1.04797e-189	1
1.42	27	5.19615	2.16234e-183	2.16234e-183	3.47676e-189	1
1.44	25	5	2.94147e-182	2.94146e-182	3.8081e-188	1
1.46	20	4.47214	3.96957e-181	3.96956e-181	4.1439e-187	1
1.47	34	5.83095	1.4539e-180	1.4539e-180	1.36364e-186	1
1.49	29	5.38516	1.93876e-179	1.93876e-179	1.46944e-185	1
1.5	26	5.09902	7.05864e-179	7.05864e-179	4.81192e-185	1
1.52	28	5.2915	9.3008e-178	9.30079e-178	5.13483e-184	1
1.54	26	5.09902	1.21579e-176	1.21579e-176	5.44381e-183	1
1.55	36	6	4.38259e-176	4.38259e-176	1.76819e-182	1
1.57	29	5.38516	5.66082e-175	5.66082e-175	1.85635e-181	1
