# exported by fityk 0.8.7
#2-Fe:x	2-Fe:y	2-Fe:s	2-Fe:F(x)	2-Fe:%_4(x)	2-Fe:%_5(x)	2-Fe:a
0.79	0	1	1.21085e-120	1.21085e-120	1.46798e-235	1
0.81	0	1	9.17244e-120	9.17244e-120	4.69821e-234	1
0.82	0	1	2.51769e-119	2.51769e-119	2.64693e-233	1
0.84	0	1	1.88659e-118	1.88659e-118	8.33251e-232	1
0.86	0	1	1.40348e-117	1.40348e-117	2.59431e-230	1
0.87	0	1	3.81761e-117	3.81761e-117	1.44162e-229	1
0.89	0	1	2.80932e-116	2.80932e-116	4.41488e-228	1
0.9	0	1	7.60024e-116	7.60024e-116	2.43309e-227	1
0.92	0	1	5.53247e-115	5.53247e-115	7.32904e-226	1
0.93	0	1	1.48863e-114	1.48863e-114	4.00587e-225	1
0.95	0	1	1.07191e-113	1.07191e-113	1.18688e-223	1
0.97	0	1	7.66278e-113	7.66278e-113	3.47801e-222	1
0.98	0	1	2.04324e-112	2.04324e-112	1.87499e-221	1
1	0	1	1.44487e-111	1.44487e-111	5.40434e-220	1
1.01	0	1	3.83181e-111	3.83181e-111	2.88949e-219	1
1.03	0	1	2.68036e-110	2.68036e-110	8.19193e-218	1
1.05	0	1	1.86139e-109	1.86139e-109	2.29703e-216	1
1.06	0	1	4.89193e-109	4.89193e-109	1.21133e-215	1
1.08	0	1	3.36052e-108	3.36052e-108	3.34089e-214	1
1.09	0	1	8.78394e-108	8.78394e-108	1.7473e-213	1
1.11	0	1	5.96893e-107	5.96893e-107	4.74013e-212	1
1.12	0	1	1.55174e-106	1.55174e-106	2.45871e-211	1
1.14	0	1	1.04306e-105	1.04306e-105	6.56069e-210	1
1.16	0	1	6.96067e-105	6.96067e-105	1.73144e-208	1
1.17	0	1	1.79326e-104	1.79326e-104	8.8581e-208	1
1.19	3	1.73205	1.18377e-103	1.18377e-103	2.29942e-206	1
1.2	3	1.73205	3.03319e-103	3.03319e-103	1.16671e-205	1
1.22	4	2	1.98063e-102	1.98063e-102	2.97894e-204	1
1.24	5	2.23607	1.284e-101	1.284e-101	7.52273e-203	1
1.25	16	4	3.26035e-101	3.26035e-101	3.76476e-202	1
1.27	23	4.79583	2.09076e-100	2.09076e-100	9.35129e-201	1
1.28	19	4.3589	5.28014e-100	5.28014e-100	4.64134e-200	1
1.3	14	3.74166	3.3494e-099	3.3494e-099	1.13396e-198	1
1.31	23	4.79583	8.41296e-099	8.41296e-099	5.5819e-198	1
1.33	10	3.16228	5.27901e-098	5.27901e-098	1.3414e-196	1
1.35	13	3.60555	3.28859e-097	3.28859e-097	3.18822e-195	1
1.36	20	4.47214	8.18576e-097	8.18576e-097	1.54792e-194	1
1.38	16	4	5.04427e-096	5.04427e-096	3.61876e-193	1
1.39	14	3.74166	1.24879e-095	1.24879e-095	1.74249e-192	1
1.41	19	4.3589	7.61216e-095	7.61216e-095	4.00685e-191	1
1.42	17	4.12311	1.8743e-094	1.8743e-094	1.91348e-190	1
