# exported by fityk 0.8.7
#3-Cu:x	3-Cu:y	3-Cu:s	3-Cu:F(x)	3-Cu:%_1(x)	3-Cu:%_2(x)	3-Cu:a
0.79	0	1	5.60085e-204	5.60085e-204	0	1
0.81	0	1	7.8452e-203	7.8452e-203	8.37491e-320	1
0.82	0	1	2.9281e-202	2.9281e-202	5.44357e-319	1
0.84	1	1	4.05657e-201	4.05657e-201	2.1443e-317	1
0.86	0	1	5.57891e-200	5.57891e-200	8.31863e-316	1
0.87	0	1	2.06324e-199	2.06324e-199	5.16315e-315	1
0.89	0	1	2.8065e-198	2.8065e-198	1.97546e-313	1
0.9	0	1	1.03223e-197	1.03223e-197	1.21776e-312	1
0.92	0	1	1.38872e-196	1.38872e-196	4.59596e-311	1
0.93	0	1	5.07973e-196	5.07973e-196	2.81384e-310	1
0.95	0	1	6.75931e-195	6.75931e-195	1.04755e-308	1
0.97	0	1	8.92853e-194	8.92853e-194	3.86451e-307	1
0.98	0	1	3.23612e-193	3.23612e-193	2.33921e-306	1
1	0	1	4.22792e-192	4.22792e-192	8.51232e-305	1
1.01	0	1	1.52399e-191	1.52399e-191	5.11744e-304	1
1.03	0	1	1.96929e-190	1.96929e-190	1.83694e-302	1
1.05	0	1	2.5261e-189	2.5261e-189	6.53395e-301	1
1.06	0	1	9.0225e-189	9.0225e-189	3.88358e-300	1
1.08	0	1	1.1447e-187	1.1447e-187	1.36262e-298	1
1.09	0	1	4.06612e-187	4.06612e-187	8.04382e-298	1
1.11	0	1	5.10234e-186	5.10234e-186	2.78399e-296	1
1.12	0	1	1.80248e-185	1.80248e-185	1.63224e-295	1
1.14	0	1	2.23709e-184	2.23709e-184	5.57252e-294	1
1.16	1	1	2.75621e-183	2.75621e-183	1.88521e-292	1
1.17	0	1	9.6479e-183	9.6479e-183	1.09277e-291	1
1.19	1	1	1.17567e-181	1.17567e-181	3.64668e-290	1
1.2	1	1	4.09278e-181	4.09278e-181	2.09941e-289	1
1.22	10	3.16228	4.93282e-180	4.93282e-180	6.91078e-288	1
1.24	18	4.24264	5.90185e-179	5.90185e-179	2.25423e-286	1
1.25	35	5.91608	2.03582e-178	2.03582e-178	1.28307e-285	1
1.27	21	4.58258	2.40911e-177	2.40911e-177	4.12841e-284	1
1.28	38	6.16441	8.26458e-177	8.26458e-177	2.33381e-283	1
1.3	32	5.65685	9.67301e-176	9.67301e-176	7.40729e-282	1
1.31	29	5.38516	3.30018e-175	3.30018e-175	4.15884e-281	1
1.33	35	5.91608	3.82034e-174	3.82034e-174	1.30205e-279	1
1.35	30	5.47723	4.39018e-173	4.39018e-173	4.03947e-278	1
1.36	34	5.83095	1.48415e-172	1.48415e-172	2.24227e-277	1
1.38	31	5.56776	1.68687e-171	1.68687e-171	6.86194e-276	1
1.39	26	5.09902	5.67141e-171	5.67141e-171	3.78305e-275	1
1.41	38	6.16441	6.37557e-170	6.37557e-170	1.14199e-273	1
1.42	36	6	2.13176e-169	2.13176e-169	6.25298e-273	1
1.44	37	6.08276	2.37023e-168	2.37023e-168	1.86195e-271	1
1.46	31	5.56776	2.61613e-167	2.61613e-167	5.49403e-270	1
1.47	26	5.09902	8.6676e-167	8.6676e-167	2.97418e-269	1
1.49	32	5.65685	9.46217e-166	9.46217e-166	8.65668e-268	1
1.5	26	5.09902	3.11776e-165	3.11776e-165	4.65435e-267	1
1.52	32	5.65685	3.36634e-164	3.36634e-164	1.3363e-265	1
1.54	39	6.245	3.60819e-163	3.60819e-163	3.80181e-264	1
1.55	40	6.32456	1.17804e-162	1.17804e-162	2.02092e-263	1
1.57	31	5.56776	1.24887e-161	1.24887e-161	5.67149e-262	1
