# exported by fityk 0.8.7
#5-Zn-EdelStahl:x	5-Zn-EdelStahl:y	5-Zn-EdelStahl:s	5-Zn-EdelStahl:F(x)	5-Zn-EdelStahl:%_1(x)	5-Zn-EdelStahl:%_2(x)	5-Zn-EdelStahl:%_3(x)	5-Zn-EdelStahl:a
0.79	0	1	2.3643e-053	1.78706e-203	4.27469e-315	2.3643e-053	1
0.81	0	1	5.82728e-053	2.04457e-202	1.20132e-313	5.82728e-053	1
0.82	0	1	9.13744e-053	6.89945e-202	6.35025e-313	9.13744e-053	1
0.84	0	1	2.24128e-052	7.8198e-201	1.76429e-311	2.24128e-052	1
0.86	0	1	5.47989e-052	8.80755e-200	4.86441e-310	5.47989e-052	1
0.87	0	1	8.55827e-052	2.94893e-199	2.54693e-309	8.55827e-052	1
0.89	0	1	2.08242e-051	3.29034e-198	6.94232e-308	2.08242e-051	1
0.9	0	1	3.24442e-051	1.0965e-197	3.61413e-307	3.24442e-051	1
0.92	0	1	7.85646e-051	1.212e-196	9.73904e-306	7.85646e-051	1
0.93	0	1	1.22109e-050	4.02003e-196	5.04114e-305	1.22109e-050	1
0.95	0	1	2.9427e-050	4.4019e-195	1.34297e-303	2.9427e-050	1
0.97	0	1	7.06882e-050	4.78994e-194	3.55047e-302	7.06882e-050	1
0.98	0	1	1.09427e-049	1.57636e-193	1.82034e-301	1.09427e-049	1
1	0	1	2.61597e-049	1.69927e-192	4.75772e-300	2.61597e-049	1
1.01	0	1	4.03984e-049	5.56602e-192	2.42537e-299	4.03984e-049	1
1.03	0	1	9.61125e-049	5.94387e-191	6.26685e-298	9.61125e-049	1
1.05	0	1	2.27929e-048	6.30771e-190	1.60695e-296	2.27929e-048	1
1.06	0	1	3.5058e-048	2.04999e-189	8.11404e-296	3.5058e-048	1
1.08	0	1	8.27397e-048	2.15513e-188	2.05692e-294	8.27397e-048	1
1.09	0	1	1.26956e-047	6.97127e-188	1.03267e-293	1.26956e-047	1
1.11	0	1	2.98187e-047	7.26022e-187	2.58802e-292	2.98187e-047	1
1.12	1	1	4.56439e-047	2.33748e-186	1.29189e-291	4.56439e-047	1
1.14	1	1	1.0669e-046	2.41158e-185	3.20078e-290	1.0669e-046	1
1.16	2	1.41421	2.48582e-046	2.4725e-184	7.86991e-289	2.48582e-046	1
1.17	3	1.73205	3.78983e-046	7.89826e-184	3.89119e-288	3.78983e-046	1
1.19	2	1.41421	8.78765e-046	8.02199e-183	9.45849e-287	8.78765e-046	1
1.2	4	2	1.33652e-045	2.55057e-182	4.64994e-286	1.33652e-045	1
1.22	20	4.47214	3.08416e-045	2.56628e-181	1.11741e-284	3.08416e-045	1
1.24	23	4.79583	7.09416e-045	2.56596e-180	2.66476e-283	7.09416e-045	1
1.25	42	6.48074	1.07463e-044	8.09474e-180	1.29759e-282	1.07463e-044	1
1.27	38	6.16441	2.45998e-044	8.018e-179	3.05922e-281	2.45998e-044	1
1.28	45	6.7082	3.71744e-044	2.51754e-178	1.48116e-280	3.71744e-044	1
1.3	54	7.34847	8.46883e-044	2.47035e-177	3.45224e-279	8.46883e-044	1
1.31	51	7.14143	1.2767e-043	7.72018e-177	1.6619e-278	1.2767e-043	1
1.33	42	6.48074	2.89451e-043	7.50457e-176	3.82939e-277	2.89451e-043	1
1.35	50	7.07107	6.54133e-043	7.2494e-175	8.7566e-276	6.54133e-043	1
1.36	47	6.85565	9.82173e-043	2.24786e-174	4.17537e-275	9.82173e-043	1
1.38	50	7.07107	2.20895e-042	2.15111e-173	9.43901e-274	2.20895e-042	1
1.39	51	7.14143	3.30873e-042	6.6388e-173	4.47505e-273	3.30873e-042	1
1.41	48	6.9282	7.40569e-042	6.29362e-172	1.00013e-271	7.40569e-042	1
1.42	50	7.07107	1.10661e-041	1.93324e-171	4.71454e-271	1.10661e-041	1
1.44	55	7.4162	2.46494e-041	1.81557e-170	1.04165e-269	2.46494e-041	1
1.46	32	5.65685	5.47296e-041	1.69442e-169	2.28395e-268	5.47296e-041	1
1.47	45	6.7082	8.1453e-041	5.16421e-169	1.06641e-267	8.1453e-041	1
1.49	54	7.34847	1.79983e-040	4.7745e-168	2.31162e-266	1.79983e-040	1
1.5	42	6.48074	2.6722e-040	1.44834e-167	1.07317e-265	2.6722e-040	1
1.52	45	6.7082	5.87623e-040	1.32651e-166	2.29977e-264	5.87623e-040	1
1.54	59	7.68115	1.28805e-039	1.20734e-165	4.89083e-263	1.28805e-039	1
1.55	32	5.65685	1.90471e-039	3.63387e-165	2.249e-262	1.90471e-039	1
1.57	43	6.55744	4.15499e-039	3.27647e-164	4.72839e-261	4.15499e-039	1
1.58	37	6.08276	6.1294e-039	9.81532e-164	2.16188e-260	6.1294e-039	1
1.6	39	6.245	1.33066e-038	8.76716e-163	4.49346e-259	1.33066e-038	1
