# exported by fityk 0.8.7
#12-X:x	12-X:y	12-X:s	12-X:F(x)	12-X:%_1(x)	12-X:%_2(x)	12-X:%_4(x)	12-X:%_6(x)	12-X:a
0.79	0	1	3.79028e-105	3.28517e-298	0	2.97062e-319	3.79028e-105	1
0.81	0	1	1.22676e-104	5.66399e-297	0	2.44455e-318	1.22676e-104	1
0.82	0	1	2.20468e-104	2.34665e-296	0	7.00457e-318	2.20468e-104	1
0.84	0	1	7.10551e-104	4.01042e-295	0	5.73726e-317	7.10551e-104	1
0.86	0	1	2.28359e-103	6.81368e-294	0	4.68496e-316	2.28359e-103	1
0.87	0	1	4.08949e-103	2.80235e-293	0	1.33726e-315	4.08949e-103	1
0.89	0	1	1.30873e-102	4.71943e-292	0	1.08706e-314	1.30873e-102	1
0.9	0	1	2.33874e-102	1.93249e-291	0	3.09584e-314	2.33874e-102	1
0.92	0	1	7.45288e-102	3.22598e-290	0	2.50525e-313	7.45288e-102	1
0.93	0	1	1.32903e-101	1.31516e-289	0	7.11864e-313	1.32903e-101	1
0.95	0	1	4.21732e-101	2.17619e-288	0	5.73463e-312	4.21732e-101	1
0.97	0	1	1.33448e-100	3.57987e-287	0	4.6058e-311	1.33448e-100	1
0.98	0	1	2.37131e-100	1.44876e-286	0	1.30381e-310	2.37131e-100	1
1	0	1	7.47174e-100	2.36235e-285	0	1.04244e-309	7.47174e-100	1
1.01	0	1	1.32489e-099	9.51833e-285	0	2.94426e-309	1.32489e-099	1
1.03	0	1	4.15692e-099	1.53845e-283	0	2.34341e-308	4.15692e-099	1
1.05	0	1	1.30058e-098	2.47205e-282	0	1.85956e-307	1.30058e-098	1
1.06	0	1	2.29806e-098	9.88751e-282	0	5.23241e-307	2.29806e-098	1
1.08	0	1	7.15958e-098	1.57484e-280	0	4.13333e-306	7.15958e-098	1
1.09	0	1	1.26238e-097	6.27126e-280	0	1.1604e-305	1.26238e-097	1
1.11	0	1	3.9163e-097	9.90102e-279	0	9.12524e-305	3.9163e-097	1
1.12	1	1	6.89062e-097	3.92543e-278	0	2.55606e-304	6.89062e-097	1
1.14	0	1	2.12865e-096	6.14311e-277	0	2.00098e-303	2.12865e-096	1
1.16	1	1	6.55725e-096	9.55741e-276	0	1.56172e-302	6.55725e-096	1
1.17	2	1.41421	1.14966e-095	3.76149e-275	0	4.35807e-302	1.14966e-095	1
1.19	3	1.73205	3.52654e-095	5.8008e-274	0	3.38604e-301	3.52654e-095	1
1.2	2	1.41421	6.16988e-095	2.27298e-273	0	9.42759e-301	6.16988e-095	1
1.22	15	3.87298	1.88458e-094	3.47456e-272	0	7.29181e-300	1.88458e-094	1
1.24	14	3.74166	5.74017e-094	5.28025e-271	0	5.6229e-299	5.74017e-094	1
1.25	22	4.69042	1.00074e-093	2.05388e-270	0	1.55967e-298	1.00074e-093	1
1.27	21	4.58258	3.03521e-093	3.0939e-269	0	1.19727e-297	3.03521e-093	1
1.28	39	6.245	5.28037e-093	1.19816e-268	0	3.31347e-297	5.28037e-093	1
1.3	18	4.24264	1.59475e-092	1.78905e-267	0	2.5321e-296	1.59475e-092	1
1.31	40	6.32456	2.76852e-092	6.89795e-267	0	6.9918e-296	2.76852e-092	1
1.33	25	5	8.32601e-092	1.02095e-265	0	5.31891e-295	8.32601e-092	1
1.35	37	6.08276	2.49689e-091	1.50223e-264	0	4.03411e-294	2.49689e-091	1
1.36	48	6.9282	4.31936e-091	5.74972e-264	0	1.10973e-293	4.31936e-091	1
1.38	26	5.09902	1.28986e-090	8.38603e-263	0	8.37876e-293	1.28986e-090	1
1.39	22	4.69042	2.2266e-090	3.19562e-262	0	2.29969e-292	2.2266e-090	1
1.41	32	5.65685	6.62099e-090	4.61999e-261	3.91794e-321	1.72849e-291	6.62099e-090	1
1.42	17	4.12311	1.14052e-089	1.75278e-260	2.74355e-320	4.7334e-291	1.14052e-089	1
1.44	25	5	3.3771e-089	2.51182e-259	3.91937e-319	3.54166e-290	3.3771e-089	1
1.46	17	4.12311	9.97142e-089	3.5785e-258	5.62036e-318	2.64199e-289	9.97142e-089	1
1.47	31	5.56776	1.71161e-088	1.34772e-257	2.11959e-317	7.20779e-289	1.71161e-088	1
1.49	26	5.09902	5.03242e-088	1.90322e-256	3.00384e-316	5.35257e-288	5.03242e-088	1
1.5	32	5.65685	8.61992e-088	7.13637e-256	1.12876e-315	1.45697e-287	8.61992e-088	1
1.52	27	5.19615	2.52369e-087	9.98945e-255	1.58816e-314	1.07708e-286	2.52369e-087	1
