# exported by fityk 0.8.7
#16-1-Cent:x	16-1-Cent:y	16-1-Cent:s	16-1-Cent:F(x)	16-1-Cent:%_1(x)	16-1-Cent:%_2(x)	16-1-Cent:a
0.79	0	1	8.14194e-201	8.14194e-201	3.44808e-305	1
0.81	0	1	1.09989e-199	1.09989e-199	1.14351e-303	1
0.82	0	1	4.03162e-199	4.03162e-199	6.56384e-303	1
0.84	0	1	5.38743e-198	5.38743e-198	2.14864e-301	1
0.86	0	1	7.14723e-197	7.14723e-197	6.97264e-300	1
0.87	0	1	2.59619e-196	2.59619e-196	3.95913e-299	1
0.89	0	1	3.40701e-195	3.40701e-195	1.26817e-297	1
0.9	0	1	1.23087e-194	1.23087e-194	7.15403e-297	1
0.92	0	1	1.59784e-193	1.59784e-193	2.26188e-295	1
0.93	0	1	5.74132e-193	5.74132e-193	1.2677e-294	1
0.95	0	1	7.37246e-192	7.37246e-192	3.95619e-293	1
0.97	0	1	9.39868e-191	9.39868e-191	1.22396e-291	1
0.98	0	1	3.34668e-190	3.34668e-190	6.78574e-291	1
1	0	1	4.22037e-189	4.22037e-189	2.07219e-289	1
1.01	0	1	1.49465e-188	1.49465e-188	1.14138e-288	1
1.03	0	1	1.86447e-187	1.86447e-187	3.44039e-287	1
1.05	0	1	2.30902e-186	2.30902e-186	1.02804e-285	1
1.06	0	1	8.1037e-186	8.1037e-186	5.60142e-285	1
1.08	0	1	9.92742e-185	9.92742e-185	1.65213e-283	1
1.09	0	1	3.46524e-184	3.46524e-184	8.94341e-283	1
1.11	1	1	4.19921e-183	4.19921e-183	2.60371e-281	1
1.12	0	1	1.45782e-182	1.45782e-182	1.4003e-280	1
1.14	0	1	1.74751e-181	1.74751e-181	4.02395e-279	1
1.16	0	1	2.07965e-180	2.07965e-180	1.14634e-277	1
1.17	1	1	7.15476e-180	7.15476e-180	6.09857e-277	1
1.19	0	1	8.4226e-179	8.4226e-179	1.71487e-275	1
1.2	1	1	2.88199e-178	2.88199e-178	9.06394e-275	1
1.22	7	2.64575	3.35602e-177	3.35602e-177	2.51572e-273	1
1.24	10	3.16228	3.87981e-176	3.87981e-176	6.92205e-272	1
1.25	29	5.38516	1.3156e-175	1.3156e-175	3.61916e-271	1
1.27	35	5.91608	1.5045e-174	1.5045e-174	9.82931e-270	1
1.28	37	6.08276	5.07396e-174	5.07396e-174	5.10583e-269	1
1.3	26	5.09902	5.73979e-173	5.73979e-173	1.36875e-267	1
1.31	29	5.38516	1.92527e-172	1.92527e-172	7.06382e-267	1
1.33	36	6	2.15438e-171	2.15438e-171	1.86913e-265	1
1.35	43	6.55744	2.39335e-170	2.39335e-170	4.90308e-264	1
1.36	31	5.56776	7.95553e-170	7.95553e-170	2.50305e-263	1
1.38	29	5.38516	8.74249e-169	8.74249e-169	6.48099e-262	1
1.39	26	5.09902	2.89027e-168	2.89027e-168	3.2871e-261	1
1.41	26	5.09902	3.14185e-167	3.14185e-167	8.40093e-260	1
1.42	33	5.74456	1.03307e-166	1.03307e-166	4.23321e-259	1
1.44	33	5.74456	1.11086e-165	1.11086e-165	1.06789e-257	1
1.46	38	6.16441	1.18588e-164	1.18588e-164	2.67062e-256	1
1.47	27	5.19615	3.86415e-164	3.86415e-164	1.33119e-255	1
1.49	26	5.09902	4.08055e-163	4.08055e-163	3.286e-254	1
1.5	22	4.69042	1.32242e-162	1.32242e-162	1.6273e-253	1
1.52	22	4.69042	1.38139e-161	1.38139e-161	3.96495e-252	1
1.54	31	5.56776	1.43257e-160	1.43257e-160	9.57716e-251	1
1.55	27	5.19615	4.60083e-160	4.60083e-160	4.69161e-250	1
1.57	28	5.2915	4.71974e-159	4.71974e-159	1.11857e-248	1
1.58	20	4.47214	1.50757e-158	1.50757e-158	5.44401e-248	1
1.6	33	5.74456	1.52982e-157	1.52982e-157	1.28116e-246	1
1.61	23	4.79583	4.86008e-157	4.86008e-157	6.19485e-246	1
1.63	27	5.19615	4.87851e-156	4.87851e-156	1.43899e-244	1
1.65	23	4.79583	4.86167e-155	4.86167e-155	3.31369e-243	1
1.66	34	5.83095	1.53057e-154	1.53057e-154	1.58498e-242	1
1.68	28	5.2915	1.50881e-153	1.50881e-153	3.60265e-241	1
1.69	30	5.47723	4.72437e-153	4.72437e-153	1.71201e-240	1
1.71	17	4.12311	4.60686e-152	4.60686e-152	3.84102e-239	1
1.73	32	5.65685	4.45985e-151	4.45985e-151	8.54308e-238	1
1.74	27	5.19615	1.38388e-150	1.38388e-150	4.01591e-237	1
1.76	26	5.09902	1.32524e-149	1.32524e-149	8.81648e-236	1
1.77	22	4.69042	4.0899e-149	4.0899e-149	4.11753e-235	1
1.79	37	6.08276	3.87427e-148	3.87427e-148	8.92256e-234	1
1.8	28	5.2915	1.18919e-147	1.18919e-147	4.14002e-233	1
1.82	31	5.56776	1.11432e-146	1.11432e-146	8.85519e-232	1
1.84	25	5	1.03663e-145	1.03663e-145	1.87768e-230	1
1.85	27	5.19615	3.15318e-145	3.15318e-145	8.61827e-230	1
1.87	26	5.09902	2.90164e-144	2.90164e-144	1.80379e-228	1
1.88	33	5.74456	8.77831e-144	8.77831e-144	8.22538e-228	1
1.9	28	5.2915	7.99074e-143	7.99074e-143	1.69928e-226	1
1.92	36	6	7.22133e-142	7.22133e-142	3.48019e-225	1
1.93	25	5	2.16497e-141	2.16497e-141	1.56985e-224	1
1.95	34	5.83095	1.93537e-140	1.93537e-140	3.1735e-223	1
1.96	33	5.74456	5.77085e-140	5.77085e-140	1.42221e-222	1
1.98	31	5.56776	5.10308e-139	5.10308e-139	2.83783e-221	1
1.99	29	5.38516	1.51339e-138	1.51339e-138	1.26353e-220	1
2.01	27	5.19615	1.3238e-137	1.3238e-137	2.48857e-219	1
2.03	25	5	1.14961e-136	1.14961e-136	4.85896e-218	1
2.04	32	5.65685	3.3786e-136	3.3786e-136	2.14006e-217	1
2.06	27	5.19615	2.90233e-135	2.90233e-135	4.12441e-216	1
2.07	28	5.2915	8.48343e-135	8.48343e-135	1.80475e-215	1
2.09	22	4.69042	7.20879e-134	7.20879e-134	3.43317e-214	1
2.11	20	4.47214	6.08146e-133	6.08146e-133	6.47444e-213	1
2.12	29	5.38516	1.76157e-132	1.76157e-132	2.80248e-212	1
2.14	17	4.12311	1.47003e-131	1.47003e-131	5.21665e-211	1
2.15	28	5.2915	4.23507e-131	4.23507e-131	2.24338e-210	1
2.17	23	4.79583	3.49598e-130	3.49598e-130	4.12187e-209	1
2.18	16	4	1.00171e-129	1.00171e-129	1.76107e-208	1
2.2	25	5	8.1796e-129	8.1796e-129	3.19383e-207	1
2.22	20	4.47214	6.63095e-128	6.63095e-128	5.74216e-206	1
2.23	25	5	1.88286e-127	1.88286e-127	2.42685e-205	1
2.25	16	4	1.50988e-126	1.50988e-126	4.30674e-204	1
2.26	27	5.19615	4.26408e-126	4.26408e-126	1.80837e-203	1
2.28	25	5	3.38245e-125	3.38245e-125	3.16764e-202	1
2.3	31	5.56776	2.66374e-124	2.66374e-124	5.50063e-201	1
2.31	22	4.69042	7.45491e-124	7.45491e-124	2.28474e-200	1
2.33	28	5.2915	5.80743e-123	5.80743e-123	3.91612e-199	1
2.34	18	4.24264	1.6165e-122	1.6165e-122	1.61604e-198	1
2.36	21	4.58258	1.24566e-121	1.24566e-121	2.73409e-197	1
2.37	12	3.4641	3.4485e-121	3.4485e-121	1.12093e-196	1
2.39	17	4.12311	2.62866e-120	2.62866e-120	1.87191e-195	1
2.41	22	4.69042	1.98927e-119	1.98927e-119	3.09897e-194	1
2.42	25	5	5.45749e-119	5.45749e-119	1.25681e-193	1
2.44	24	4.89898	4.08538e-118	4.08538e-118	2.05374e-192	1
2.45	19	4.3589	1.11474e-117	1.11474e-117	8.27501e-192	1
2.47	15	3.87298	8.25456e-117	8.25456e-117	1.33471e-190	1
2.48	22	4.69042	2.24014e-116	2.24014e-116	5.34295e-190	1
2.5	23	4.79583	1.64088e-115	1.64088e-115	8.50632e-189	1
2.52	26	5.09902	1.19326e-114	1.19326e-114	1.34255e-187	1
2.53	24	4.89898	3.2091e-114	3.2091e-114	5.31632e-187	1
2.55	23	4.79583	2.30845e-113	2.30845e-113	8.28214e-186	1
2.56	25	5	6.17463e-113	6.17463e-113	3.25832e-185	1
2.58	24	4.89898	4.3937e-112	4.3937e-112	5.01035e-184	1
2.6	17	4.12311	3.10387e-111	3.10387e-111	7.63784e-183	1
2.61	26	5.09902	8.22737e-111	8.22737e-111	2.9724e-182	1
2.63	15	3.87298	5.74931e-110	5.74931e-110	4.47252e-181	1
2.64	26	5.09902	1.5157e-109	1.5157e-109	1.72926e-180	1
2.66	24	4.89898	1.04773e-108	1.04773e-108	2.56832e-179	1
2.67	32	5.65685	2.74719e-108	2.74719e-108	9.8657e-179	1
2.69	29	5.38516	1.87848e-107	1.87848e-107	1.4463e-177	1
2.71	17	4.12311	1.2752e-106	1.2752e-106	2.10192e-176	1
2.72	15	3.87298	3.31348e-106	3.31348e-106	7.98696e-176	1
2.74	23	4.79583	2.22504e-105	2.22504e-105	1.14573e-174	1
2.75	14	3.74166	5.75023e-105	5.75023e-105	4.32532e-174	1
2.77	16	4	3.81961e-104	3.81961e-104	6.12438e-173	1
2.79	18	4.24264	2.51888e-103	2.51888e-103	8.59675e-172	1
2.8	24	4.89898	6.45094e-103	6.45094e-103	3.21038e-171	1
2.82	22	4.69042	4.20817e-102	4.20817e-102	4.44806e-170	1
2.83	21	4.58258	1.07189e-101	1.07189e-101	1.6503e-169	1
2.85	14	3.74166	6.91672e-101	6.91672e-101	2.25694e-168	1
2.86	17	4.12311	1.75225e-100	1.75225e-100	8.31926e-168	1
2.88	22	4.69042	1.11848e-099	1.11848e-099	1.12301e-166	1
2.9	15	3.87298	7.08787e-099	7.08787e-099	1.50284e-165	1
2.91	29	5.38516	1.77943e-098	1.77943e-098	5.47977e-165	1
2.93	17	4.12311	1.11544e-097	1.11544e-097	7.23824e-164	1
2.94	18	4.24264	2.78518e-097	2.78518e-097	2.62213e-163	1
2.96	20	4.47214	1.72704e-096	1.72704e-096	3.41875e-162	1
2.98	16	4	1.06318e-095	1.06318e-095	4.41885e-161	1
2.99	21	4.58258	2.63074e-095	2.63074e-095	1.58349e-160	1
3.01	22	4.69042	1.602e-094	1.602e-094	2.02022e-159	1
3.02	28	5.2915	3.94255e-094	3.94255e-094	7.19245e-159	1
3.04	24	4.89898	2.37489e-093	2.37489e-093	9.0574e-158	1
3.05	26	5.09902	5.81295e-093	5.81295e-093	3.20371e-157	1
3.07	13	3.60555	3.46374e-092	3.46374e-092	3.98219e-156	1
3.09	19	4.3589	2.04902e-091	2.04902e-091	4.90704e-155	1
3.1	26	5.09902	4.97014e-091	4.97014e-091	1.71694e-154	1
3.12	24	4.89898	2.90838e-090	2.90838e-090	2.08831e-153	1
3.13	19	4.3589	7.01639e-090	7.01639e-090	7.25939e-153	1
3.15	26	5.09902	4.06143e-089	4.06143e-089	8.71531e-152	1
3.17	21	4.58258	2.33398e-088	2.33398e-088	1.03727e-150	1
3.18	20	4.47214	5.57991e-088	5.57991e-088	3.56685e-150	1
3.2	20	4.47214	3.17196e-087	3.17196e-087	4.19024e-149	1
3.21	17	4.12311	7.54221e-087	7.54221e-087	1.43153e-148	1
3.23	27	5.19615	4.24112e-086	4.24112e-086	1.65996e-147	1
3.24	26	5.09902	1.00298e-085	1.00298e-085	5.63419e-147	1
3.26	9	3	5.57897e-085	5.57897e-085	6.44867e-146	1
3.28	21	4.58258	3.08086e-084	3.08086e-084	7.31707e-145	1
3.29	21	4.58258	7.22022e-084	7.22022e-084	2.45672e-144	1
3.31	22	4.69042	3.94411e-083	3.94411e-083	2.75148e-143	1
3.32	15	3.87298	9.19324e-083	9.19324e-083	9.17818e-143	1
3.34	17	4.12311	4.96762e-082	4.96762e-082	1.01463e-141	1
3.36	17	4.12311	2.66491e-081	2.66491e-081	1.11196e-140	1
3.37	20	4.47214	6.1556e-081	6.1556e-081	3.66915e-140	1
3.39	14	3.74166	3.26652e-080	3.26652e-080	3.96907e-139	1
3.4	12	3.4641	7.50436e-080	7.50436e-080	1.30118e-138	1
3.42	23	4.79583	3.93922e-079	3.93922e-079	1.38932e-137	1
3.43	25	5	9.00076e-079	9.00076e-079	4.52502e-137	1
