# exported by fityk 0.8.7
#18-X:x	18-X:y	18-X:s	18-X:F(x)	18-X:%_1(x)	18-X:%_3(x)	18-X:a
0.79	0	1	3.19641e-180	3.19641e-180	2.33235e-282	1
0.81	0	1	4.05275e-179	4.05275e-179	7.90164e-281	1
0.82	0	1	1.43895e-178	1.43895e-178	4.58281e-280	1
0.84	0	1	1.80357e-177	1.80357e-177	1.53062e-278	1
0.86	0	1	2.24331e-176	2.24331e-176	5.0638e-277	1
0.87	0	1	7.88893e-176	7.88893e-176	2.90225e-276	1
0.89	0	1	9.70009e-175	9.70009e-175	9.46579e-275	1
0.9	0	1	3.3916e-174	3.3916e-174	5.38668e-274	1
0.92	0	1	4.12252e-173	4.12252e-173	1.73203e-272	1
0.93	0	1	1.43315e-172	1.43315e-172	9.78646e-272	1
0.95	0	1	1.72207e-171	1.72207e-171	3.10222e-270	1
0.97	0	1	2.05343e-170	2.05343e-170	9.74078e-269	1
0.98	0	1	7.07038e-170	7.07038e-170	5.43885e-268	1
1	0	1	8.33433e-169	8.33433e-169	1.68361e-266	1
1.01	0	1	2.85322e-168	2.85322e-168	9.33385e-266	1
1.03	0	1	3.32479e-167	3.32479e-167	2.84844e-264	1
1.05	0	1	3.84468e-166	3.84468e-166	8.61048e-263	1
1.06	0	1	1.30364e-165	1.30364e-165	4.71727e-262	1
1.08	0	1	1.49024e-164	1.49024e-164	1.4058e-260	1
1.09	0	1	5.02406e-164	5.02406e-164	7.64703e-260	1
1.11	0	1	5.67745e-163	5.67745e-163	2.24666e-258	1
1.12	1	1	1.90306e-162	1.90306e-162	1.21343e-257	1
1.14	1	1	2.12595e-161	2.12595e-161	3.51456e-256	1
1.16	1	1	2.35678e-160	2.35678e-160	1.00833e-254	1
1.17	0	1	7.82444e-160	7.82444e-160	5.38173e-254	1
1.19	0	1	8.57475e-159	8.57475e-159	1.52218e-252	1
1.2	2	1.41421	2.83045e-158	2.83045e-158	8.06662e-252	1
1.22	4	2	3.06637e-157	3.06637e-157	2.2493e-250	1
1.24	12	3.4641	3.29656e-156	3.29656e-156	6.21269e-249	1
1.25	23	4.79583	1.07778e-155	1.07778e-155	3.25348e-248	1
1.27	30	5.47723	1.14543e-154	1.14543e-154	8.85914e-247	1
1.28	25	5	3.72337e-154	3.72337e-154	4.60645e-246	1
1.3	29	5.38516	3.91178e-153	3.91178e-153	1.23658e-244	1
1.31	23	4.79583	1.26428e-152	1.26428e-152	6.38415e-244	1
1.33	24	4.89898	1.31306e-151	1.31306e-151	1.68955e-242	1
1.35	26	5.09902	1.35329e-150	1.35329e-150	4.42909e-241	1
1.36	27	5.19615	4.33206e-150	4.33206e-150	2.25964e-240	1
1.38	30	5.47723	4.4137e-149	4.4137e-149	5.83974e-239	1
1.39	30	5.47723	1.40478e-148	1.40478e-148	2.95818e-238	1
1.41	23	4.79583	1.41487e-147	1.41487e-147	7.53688e-237	1
1.42	25	5	4.47735e-147	4.47735e-147	3.79078e-236	1
1.44	27	5.19615	4.45791e-146	4.45791e-146	9.52155e-235	1
1.46	30	5.47723	4.40462e-145	4.40462e-145	2.36898e-233	1
1.47	20	4.47214	1.38054e-144	1.38054e-144	1.17745e-232	1
1.49	17	4.12311	1.34842e-143	1.34842e-143	2.88807e-231	1
1.5	31	5.56776	4.2021e-143	4.2021e-143	1.42526e-230	1
1.52	26	5.09902	4.05738e-142	4.05738e-142	3.44646e-229	1
1.54	28	5.2915	3.8877e-141	3.8877e-141	8.25519e-228	1
1.55	21	4.58258	1.19996e-140	1.19996e-140	4.02584e-227	1
1.57	17	4.12311	1.13662e-139	1.13662e-139	9.50654e-226	1
1.58	23	4.79583	3.4881e-139	3.4881e-139	4.60318e-225	1
1.6	21	4.58258	3.26616e-138	3.26616e-138	1.07161e-223	1
1.61	28	5.2915	9.96582e-138	9.96582e-138	5.15203e-223	1
1.63	26	5.09902	9.22493e-137	9.22493e-137	1.18241e-221	1
1.65	30	5.47723	8.47385e-136	8.47385e-136	2.68803e-220	1
1.66	20	4.47214	2.56088e-135	2.56088e-135	1.27708e-219	1
1.68	16	4	2.32546e-134	2.32546e-134	2.86218e-218	1
1.69	28	5.2915	6.98744e-134	6.98744e-134	1.35017e-217	1
1.71	18	4.24264	6.27246e-133	6.27246e-133	2.98317e-216	1
1.73	26	5.09902	5.5876e-132	5.5876e-132	6.52892e-215	1
1.74	17	4.12311	1.66291e-131	1.66291e-131	3.04352e-214	1
1.76	27	5.19615	1.46439e-130	1.46439e-130	6.56679e-213	1
1.77	22	4.69042	4.33313e-130	4.33313e-130	3.03945e-212	1
1.79	27	5.19615	3.77216e-129	3.77216e-129	6.46522e-211	1
1.8	18	4.24264	1.10978e-128	1.10978e-128	2.97119e-210	1
1.82	29	5.38516	9.55049e-128	9.55049e-128	6.23062e-209	1
1.84	16	4	8.15612e-127	8.15612e-127	1.29422e-207	1
1.85	18	4.24264	2.37664e-126	2.37664e-126	5.87757e-207	1
1.87	18	4.24264	2.00642e-125	2.00642e-125	1.20361e-205	1
1.88	20	4.47214	5.81301e-125	5.81301e-125	5.42729e-205	1
1.9	21	4.58258	4.85133e-124	4.85133e-124	1.09568e-203	1
1.92	23	4.79583	4.0178e-123	4.0178e-123	2.19108e-202	1
1.93	16	4	1.15293e-122	1.15293e-122	9.76334e-202	1
1.95	25	5	9.43909e-122	9.43909e-122	1.9248e-200	1
