# exported by fityk 0.8.7
#2-Fe:x	2-Fe:y	2-Fe:s	2-Fe:F(x)	2-Fe:%_1(x)	2-Fe:%_2(x)	2-Fe:%_3(x)	2-Fe:%_4(x)	2-Fe:a
0.79	0	1	1.19402e-012	3.14169e-120	3.36915e-235	0	1.19402e-012	1
0.81	0	1	1.90918e-012	2.36386e-119	1.07268e-233	0	1.90918e-012	1
0.82	0	1	2.41093e-012	6.46659e-119	6.0277e-233	0	2.41093e-012	1
0.84	0	1	3.83447e-012	4.81317e-118	1.8877e-231	0	3.83447e-012	1
0.86	0	1	6.07693e-012	3.55674e-117	5.84701e-230	0	6.07693e-012	1
0.87	0	1	7.64002e-012	9.64243e-117	3.24073e-229	0	7.64002e-012	1
0.89	0	1	1.20437e-011	7.04862e-116	9.87361e-228	0	1.20437e-011	1
0.9	0	1	1.51012e-011	1.90058e-115	5.42751e-227	0	1.51012e-011	1
0.92	0	1	2.3679e-011	1.37436e-114	1.62654e-225	0	2.3679e-011	1
0.93	0	1	2.96115e-011	3.68581e-114	8.86759e-225	0	2.96115e-011	1
0.95	0	1	4.61846e-011	2.6366e-113	2.61398e-223	0	4.61846e-011	1
0.97	0	1	7.1778e-011	1.87249e-112	7.62115e-222	0	7.1778e-011	1
0.98	0	1	8.93635e-011	4.97659e-112	4.09814e-221	0	8.93635e-011	1
1	0	1	1.38147e-010	3.49627e-111	1.17527e-219	0	1.38147e-010	1
1.01	0	1	1.71535e-010	9.24199e-111	6.26786e-219	0	1.71535e-010	1
1.03	0	1	2.63766e-010	6.42296e-110	1.76807e-217	0	2.63766e-010	1
1.05	0	1	4.04151e-010	4.43169e-109	4.93291e-216	0	4.04151e-010	1
1.06	0	1	4.99605e-010	1.16094e-108	2.59485e-215	0	4.99605e-010	1
1.08	0	1	7.61443e-010	7.92396e-108	7.12108e-214	0	7.61443e-010	1
1.09	0	1	9.38781e-010	2.06458e-107	3.7151e-213	0	9.38781e-010	1
1.11	0	1	1.42318e-009	1.39399e-106	1.00285e-211	0	1.42318e-009	1
1.12	0	1	1.74997e-009	3.61242e-106	5.18893e-211	0	1.74997e-009	1
1.14	0	1	2.63884e-009	2.41281e-105	1.37776e-209	0	2.63884e-009	1
1.16	0	1	3.9651e-009	1.59998e-104	3.61821e-208	0	3.9651e-009	1
1.17	0	1	4.85395e-009	4.10897e-104	1.84655e-207	0	4.85395e-009	1
1.19	3	1.73205	7.25475e-009	2.69538e-103	4.76992e-206	0	7.25475e-009	1
1.2	3	1.73205	8.85742e-009	6.88473e-103	2.41431e-205	0	8.85742e-009	1
1.22	4	2	1.3168e-008	4.46756e-102	6.13445e-204	0	1.3168e-008	1
1.24	5	2.23607	1.9507e-008	2.87818e-101	1.54163e-202	0	1.9507e-008	1
1.25	16	4	2.37108e-008	7.28563e-101	7.69641e-202	0	2.37108e-008	1
1.27	23	4.79583	3.49384e-008	4.64314e-100	1.90249e-200	0	3.49384e-008	1
1.28	19	4.3589	4.23548e-008	1.16898e-099	9.41995e-200	0	4.23548e-008	1
1.3	14	3.74166	6.20792e-008	7.36972e-099	2.29042e-198	0	6.20792e-008	1
1.31	23	4.79583	7.50566e-008	1.84542e-098	1.12475e-197	0	7.50566e-008	1
1.33	10	3.16228	1.09425e-007	1.15089e-097	2.69001e-196	0	1.09425e-007	1
1.35	13	3.60555	1.58966e-007	7.12588e-097	6.36317e-195	0	1.58966e-007	1
1.36	20	4.47214	1.91346e-007	1.76833e-096	3.08206e-194	0	1.91346e-007	1
1.38	16	4	2.76498e-007	1.08309e-095	7.1712e-193	0	2.76498e-007	1
1.39	14	3.74166	3.31932e-007	2.67325e-095	3.44489e-192	0	3.31932e-007	1
1.41	19	4.3589	4.77099e-007	1.61971e-094	7.88421e-191	0	4.77099e-007	1
1.42	17	4.12311	5.71228e-007	3.97612e-094	3.75628e-190	0	5.71228e-007	1
1.44	11	3.31662	8.16685e-007	2.38316e-093	8.45613e-189	0	8.16685e-007	1
1.46	13	3.60555	1.16347e-006	1.41812e-092	1.88281e-187	0	1.16347e-006	1
1.47	21	4.58258	1.38685e-006	3.44998e-092	8.84775e-187	0	1.38685e-006	1
1.49	16	4	1.96525e-006	2.03082e-091	1.93776e-185	0	1.96525e-006	1
1.5	16	4	2.33633e-006	4.91388e-091	9.03112e-185	0	2.33633e-006	1
1.52	15	3.87298	3.29313e-006	2.86139e-090	1.94554e-183	0	3.29313e-006	1
1.54	15	3.87298	4.62532e-006	1.65422e-089	4.14534e-182	0	4.62532e-006	1
1.55	13	3.60555	5.47431e-006	3.96668e-089	1.90559e-181	0	5.47431e-006	1
1.57	16	4	7.64801e-006	2.26851e-088	3.99375e-180	0	7.64801e-006	1
1.58	15	3.87298	9.02775e-006	5.41032e-088	1.82081e-179	0	9.02775e-006	1
1.6	15	3.87298	1.25454e-005	3.06079e-087	3.7536e-178	0	1.25454e-005	1
1.61	14	3.74166	1.47692e-005	7.26046e-087	1.69726e-177	0	1.47692e-005	1
1.63	10	3.16228	2.0415e-005	4.06323e-086	3.44162e-176	0	2.0415e-005	1
1.65	15	3.87298	2.81189e-005	2.25759e-085	6.90238e-175	0	2.81189e-005	1
1.66	19	4.3589	3.29567e-005	5.30707e-085	3.0784e-174	0	3.29567e-005	1
1.68	11	3.31662	4.51522e-005	2.91692e-084	6.07285e-173	0	4.51522e-005	1
1.69	25	5	5.27798e-005	6.81999e-084	2.68618e-172	0	5.27798e-005	1
1.71	17	4.12311	7.19265e-005	3.70809e-083	5.21236e-171	0	7.19265e-005	1
1.73	19	4.3589	9.76714e-005	2.00162e-082	1.00036e-169	0	9.76714e-005	1
1.74	17	4.12311	0.000113665	4.6379e-082	4.36439e-169	0	0.000113665	1
1.76	16	4	0.00015353	2.47656e-081	8.23902e-168	0	0.00015353	1
1.77	12	3.4641	0.000178196	5.70739e-081	3.565e-167	0	0.000178196	1
1.79	17	4.12311	0.000239413	3.01483e-080	6.61979e-166	0	0.000239413	1
1.8	10	3.16228	0.000277137	6.91034e-080	2.84082e-165	0	0.000277137	1
1.82	14	3.74166	0.000370367	3.61095e-079	5.18872e-164	0	0.000370367	1
1.84	15	3.87298	0.000493204	1.8733e-078	9.37339e-163	0	0.000493204	1
1.85	18	4.24264	0.000568389	4.25525e-078	3.96756e-162	0	0.000568389	1
1.87	14	3.74166	0.000752882	2.18378e-077	7.05005e-161	0	0.000752882	1
1.88	12	3.4641	0.000865344	4.93372e-077	2.95961e-160	0	0.000865344	1
1.9	15	3.87298	0.00114013	2.5047e-076	5.17291e-159	0	0.00114013	1
1.92	14	3.74166	0.00149686	1.26241e-075	8.94244e-158	0	0.00149686	1
1.93	13	3.60555	0.00171283	2.82648e-075	3.70275e-157	0	0.00171283	1
1.95	14	3.74166	0.00223679	1.40925e-074	6.29619e-156	0	0.00223679	1
1.96	13	3.60555	0.00255271	3.13822e-074	2.58561e-155	0	0.00255271	1
1.98	15	3.87298	0.00331588	1.54783e-073	4.32462e-154	0	0.00331588	1
1.99	19	4.3589	0.00377415	3.4282e-073	1.76136e-153	0	0.00377415	1
2.01	13	3.60555	0.00487643	1.67264e-072	2.89777e-152	0	0.00487643	1
2.03	12	3.4641	0.00627832	8.10218e-072	4.71522e-151	0	0.00627832	1
2.04	21	4.58258	0.00711435	1.77839e-071	1.89421e-150	0	0.00711435	1
2.06	15	3.87298	0.00911092	8.52165e-071	3.03179e-149	0	0.00911092	1
2.07	17	4.12311	0.0102967	1.86036e-070	1.20793e-148	0	0.0102967	1
2.09	14	3.74166	0.0131163	8.81842e-070	1.9017e-147	0	0.0131163	1
2.11	17	4.12311	0.0166487	4.15001e-069	2.96118e-146	0	0.0166487	1
2.12	10	3.16228	0.0187322	8.97848e-069	1.16368e-145	0	0.0187322	1
2.14	22	4.69042	0.0236507	4.17983e-068	1.78233e-144	0	0.0236507	1
2.15	12	3.4641	0.0265396	8.99416e-068	6.9466e-144	0	0.0265396	1
2.17	20	4.47214	0.0333302	4.14203e-067	1.04655e-142	0	0.0333302	1
2.18	19	4.3589	0.0373019	8.8647e-067	4.04538e-142	0	0.0373019	1
2.2	15	3.87298	0.0465973	4.03844e-066	5.99482e-141	0	0.0465973	1
2.22	16	4	0.0580026	1.82653e-065	8.78647e-140	0	0.0580026	1
2.23	13	3.60555	0.0646267	3.87399e-065	3.34998e-139	0	0.0646267	1
2.25	10	3.16228	0.0800175	1.73328e-064	4.82961e-138	0	0.0800175	1
2.26	15	3.87298	0.0889187	3.65636e-064	1.82623e-137	0	0.0889187	1
2.28	13	3.60555	0.10951	1.61829e-063	2.58974e-136	0	0.10951	1
2.3	18	4.24264	0.134391	7.11099e-063	3.63228e-135	0	0.134391	1
2.31	8	2.82843	0.148679	1.48659e-062	1.35472e-134	0	0.148679	1
2.33	8	2.82843	0.18149	6.4619e-062	1.86898e-133	0	0.18149	1
2.34	16	4	0.200251	1.3436e-061	6.91336e-133	0	0.200251	1
2.36	11	3.31662	0.243144	5.77744e-061	9.38157e-132	0	0.243144	1
2.37	14	3.74166	0.267566	1.19479e-060	3.44173e-131	0	0.267566	1
2.39	19	4.3589	0.323151	5.08225e-060	4.59404e-130	0	0.323151	1
2.41	16	4	0.388901	2.14627e-059	6.06505e-129	0	0.388901	1
2.42	17	4.12311	0.426066	4.39868e-059	2.19463e-128	0	0.426066	1
2.44	8	2.82843	0.51003	1.83758e-058	2.84992e-127	0	0.51003	1
2.45	16	4	0.557284	3.74571e-058	1.02277e-126	0	0.557284	1
2.47	14	3.74166	0.663563	1.54794e-057	1.30641e-125	0	0.663563	1
2.48	13	3.60555	0.723113	3.13827e-057	4.64984e-125	0	0.723113	1
2.5	18	4.24264	0.856442	1.28295e-056	5.84214e-124	0	0.856442	1
2.52	17	4.12311	1.01076	5.20706e-056	7.25985e-123	0	1.01076	1
2.53	12	3.4641	1.09659	1.04618e-055	2.54867e-122	0	1.09659	1
2.55	9	3	1.2873	4.20038e-055	3.1153e-121	0	1.2873	1
2.56	12	3.4641	1.39289	8.39369e-055	1.08468e-120	0	1.39289	1
2.58	17	4.12311	1.62644	3.33373e-054	1.30413e-119	0	1.62644	1
2.6	15	3.87298	1.89242	1.31453e-053	1.55082e-118	0	1.89242	1
2.61	15	3.87298	2.03858	2.60326e-053	5.32584e-118	0	2.03858	1
2.63	17	4.12311	2.35936	1.01544e-052	6.2296e-117	0	2.35936	1
2.64	12	3.4641	2.53483	2.00009e-052	2.1218e-116	0	2.53483	1
2.66	14	3.74166	2.9181	7.71764e-052	2.44122e-115	0	2.9181	1
2.67	18	4.24264	3.12678	1.51191e-051	8.24645e-115	0	3.12678	1
2.69	10	3.16228	3.58042	5.77111e-051	9.33258e-114	0	3.58042	1
2.71	20	4.47214	4.08535	2.18704e-050	1.04462e-112	0	4.08535	1
