# exported by fityk 0.8.7
#20-Kronkorken:x	20-Kronkorken:y	20-Kronkorken:s	20-Kronkorken:F(x)	20-Kronkorken:%_1(x)	20-Kronkorken:%_2(x)	20-Kronkorken:%_4(x)	20-Kronkorken:a
0.79	0	1	3.33248e-031	9.33255e-132	1.33963e-196	3.33248e-031	1
0.81	0	1	7.39511e-031	8.5701e-131	2.48656e-195	7.39511e-031	1
0.82	0	1	1.09986e-030	2.58928e-130	1.06753e-194	1.09986e-030	1
0.84	0	1	2.42507e-030	2.34945e-129	1.95384e-193	2.42507e-030	1
0.86	0	1	5.32416e-030	2.1149e-128	3.54264e-192	5.32416e-030	1
0.87	0	1	7.87622e-030	6.32635e-128	1.50321e-191	7.87622e-030	1
0.89	0	1	1.71813e-029	5.62703e-127	2.68753e-190	1.71813e-029	1
0.9	0	1	2.53355e-029	1.67318e-126	1.13239e-189	2.53355e-029	1
0.92	0	1	5.49133e-029	1.47053e-125	1.99629e-188	5.49133e-029	1
0.93	0	1	8.07152e-029	4.34648e-125	8.35241e-188	8.07152e-029	1
0.95	0	1	1.73826e-028	3.77459e-124	1.4519e-186	1.73826e-028	1
0.97	0	1	3.72748e-028	3.2519e-123	2.50029e-185	3.72748e-028	1
0.98	0	1	5.44964e-028	9.51639e-123	1.03393e-184	5.44964e-028	1
1	0	1	1.16113e-027	8.10107e-122	1.75566e-183	1.16113e-027	1
1.01	0	1	1.69214e-027	2.35656e-121	7.20925e-183	1.69214e-027	1
1.03	0	1	3.58227e-027	1.98222e-120	1.20708e-181	3.58227e-027	1
1.05	0	1	7.55128e-027	1.6541e-119	2.00221e-180	7.55128e-027	1
1.06	0	1	1.0946e-026	4.76393e-119	8.12591e-180	1.0946e-026	1
1.08	0	1	2.29259e-026	3.92805e-118	1.32905e-178	2.29259e-026	1
1.09	0	1	3.31258e-026	1.12456e-117	5.35613e-178	3.31258e-026	1
1.11	0	1	6.89365e-026	9.16217e-117	8.63807e-177	6.89365e-026	1
1.12	0	1	9.92873e-026	2.60739e-116	3.45679e-176	9.92873e-026	1
1.14	1	1	2.05299e-025	2.09906e-115	5.49711e-175	2.05299e-025	1
1.16	0	1	4.2269e-025	1.6764e-114	8.66015e-174	4.2269e-025	1
1.17	1	1	6.05539e-025	4.72339e-114	3.42527e-173	6.05539e-025	1
1.19	0	1	1.23876e-024	3.72743e-113	5.32085e-172	1.23876e-024	1
1.2	2	1.41421	1.76894e-024	1.04397e-112	2.08977e-171	1.76894e-024	1
1.22	3	1.73205	3.59557e-024	8.14042e-112	3.20096e-170	3.59557e-024	1
1.24	8	2.82843	7.27719e-024	6.2971e-111	4.85726e-169	7.27719e-024	1
1.25	15	3.87298	1.03363e-023	1.74618e-110	1.88548e-168	1.03363e-023	1
1.27	16	4	2.0786e-023	1.33471e-109	2.82116e-167	2.0786e-023	1
1.28	18	4.24264	2.94291e-023	3.67904e-109	1.08744e-166	2.94291e-023	1
1.3	18	4.24264	5.88023e-023	2.77865e-108	1.60438e-165	5.88023e-023	1
1.31	11	3.31662	8.29862e-023	7.61351e-108	6.14091e-165	8.29862e-023	1
1.33	13	3.60555	1.64753e-022	5.68183e-107	8.93368e-164	1.64753e-022	1
1.35	13	3.60555	3.25688e-022	4.20655e-106	1.28753e-162	3.25688e-022	1
1.36	12	3.4641	4.57182e-022	1.14116e-105	4.87075e-162	4.57182e-022	1
1.38	11	3.31662	8.97983e-022	8.34808e-105	6.92179e-161	8.97983e-022	1
1.39	15	3.87298	1.25649e-021	2.25117e-104	2.60018e-160	1.25649e-021	1
1.41	8	2.82843	2.45217e-021	1.62724e-103	3.64353e-159	2.45217e-021	1
1.42	11	3.31662	3.42017e-021	4.36189e-103	1.35911e-158	3.42017e-021	1
1.44	8	2.82843	6.63205e-021	3.11546e-102	1.87788e-157	6.63205e-021	1
1.46	11	3.31662	1.28053e-020	2.20752e-101	2.57047e-156	1.28053e-020	1
1.47	11	3.31662	1.77648e-020	5.85862e-101	9.47671e-156	1.77648e-020	1
1.49	11	3.31662	3.4081e-020	4.10186e-100	1.27908e-154	3.4081e-020	1
1.5	13	3.60555	4.71293e-020	1.08212e-099	4.68263e-154	4.71293e-020	1
1.52	9	3	8.98366e-020	7.48621e-099	6.23195e-153	8.98366e-020	1
1.54	9	3	1.70512e-019	5.1379e-098	8.21652e-152	1.70512e-019	1
1.55	10	3.16228	2.34536e-019	1.34199e-097	2.97299e-151	2.34536e-019	1
1.57	9	3	4.42306e-019	9.10068e-097	3.86503e-150	4.42306e-019	1
1.58	16	4	6.06432e-019	2.36286e-096	1.3887e-149	6.06432e-019	1
1.6	10	3.16228	1.13633e-018	1.58331e-095	1.78017e-148	1.13633e-018	1
1.61	16	4	1.553e-018	4.08632e-095	6.3513e-148	1.553e-018	1
1.63	16	4	2.89138e-018	2.70561e-094	8.0281e-147	2.89138e-018	1
1.65	13	3.60555	5.36018e-018	1.77718e-093	1.00529e-145	5.36018e-018	1
1.66	10	3.16228	7.28651e-018	4.54116e-093	3.54492e-145	7.28651e-018	1
1.68	13	3.60555	1.34216e-017	2.94739e-092	4.37706e-144	1.34216e-017	1
1.69	14	3.74166	1.81865e-017	7.4864e-092	1.53265e-143	1.81865e-017	1
1.71	11	3.31662	3.32848e-017	4.80116e-091	1.86601e-142	3.32848e-017	1
1.73	15	3.87298	6.06573e-017	3.0546e-090	2.25069e-141	6.06573e-017	1
1.74	7	2.64575	8.1753e-017	7.68175e-090	7.78914e-141	8.1753e-017	1
1.76	15	3.87298	1.4803e-016	4.82916e-089	9.26372e-140	1.4803e-016	1
1.77	12	3.4641	1.98874e-016	1.2072e-088	3.18352e-139	1.98874e-016	1
1.79	10	3.16228	3.57796e-016	7.49881e-088	3.73335e-138	3.57796e-016	1
1.8	10	3.16228	4.79144e-016	1.86338e-087	1.274e-137	4.79144e-016	1
