# exported by fityk 0.8.7
#3-Cu:x	3-Cu:y	3-Cu:s	3-Cu:F(x)	3-Cu:%_1(x)	3-Cu:%_2(x)	3-Cu:a
0.79	0	1	5.69221e-204	5.69221e-204	0	1
0.81	0	1	7.97246e-203	7.97246e-203	8.37491e-320	1
0.82	0	1	2.97546e-202	2.97546e-202	5.32934e-319	1
0.84	1	1	4.12183e-201	4.12183e-201	2.09482e-317	1
0.86	0	1	5.66815e-200	5.66815e-200	8.12716e-316	1
0.87	0	1	2.09615e-199	2.09615e-199	5.04459e-315	1
0.89	0	1	2.85101e-198	2.85101e-198	1.93032e-313	1
0.9	0	1	1.04856e-197	1.04856e-197	1.19e-312	1
0.92	0	1	1.41056e-196	1.41056e-196	4.49169e-311	1
0.93	0	1	5.15939e-196	5.15939e-196	2.75016e-310	1
0.95	0	1	6.8647e-195	6.8647e-195	1.02396e-308	1
0.97	0	1	9.06695e-194	9.06695e-194	3.7779e-307	1
0.98	0	1	3.28615e-193	3.28615e-193	2.28691e-306	1
1	0	1	4.2929e-192	4.2929e-192	8.32294e-305	1
1.01	0	1	1.54735e-191	1.54735e-191	5.00387e-304	1
1.03	0	1	1.99929e-190	1.99929e-190	1.79637e-302	1
1.05	0	1	2.56437e-189	2.56437e-189	6.39037e-301	1
1.06	0	1	9.1588e-189	9.1588e-189	3.79845e-300	1
1.08	0	1	1.16189e-187	1.16189e-187	1.3329e-298	1
1.09	0	1	4.12702e-187	4.12702e-187	7.86881e-298	1
1.11	0	1	5.17832e-186	5.17832e-186	2.72372e-296	1
1.12	0	1	1.82924e-185	1.82924e-185	1.597e-295	1
1.14	0	1	2.27011e-184	2.27011e-184	5.45278e-294	1
1.16	1	1	2.79665e-183	2.79665e-183	1.8449e-292	1
1.17	0	1	9.78905e-183	9.78905e-183	1.06946e-291	1
1.19	1	1	1.19277e-181	1.19277e-181	3.5693e-290	1
1.2	1	1	4.15213e-181	4.15213e-181	2.05497e-289	1
1.22	10	3.16228	5.00393e-180	5.00393e-180	6.76525e-288	1
1.24	18	4.24264	5.98642e-179	5.98642e-179	2.207e-286	1
1.25	35	5.91608	2.06491e-178	2.06491e-178	1.25625e-285	1
1.27	21	4.58258	2.44333e-177	2.44333e-177	4.04257e-284	1
1.28	38	6.16441	8.38162e-177	8.38162e-177	2.2854e-283	1
1.3	32	5.65685	9.80917e-176	9.80917e-176	7.25444e-282	1
1.31	29	5.38516	3.3465e-175	3.3465e-175	4.07324e-281	1
1.33	35	5.91608	3.87363e-174	3.87363e-174	1.27539e-279	1
1.35	30	5.47723	4.45106e-173	4.45106e-173	3.95718e-278	1
1.36	34	5.83095	1.50467e-172	1.50467e-172	2.19671e-277	1
1.38	31	5.56776	1.71005e-171	1.71005e-171	6.72323e-276	1
1.39	26	5.09902	5.7491e-171	5.7491e-171	3.70677e-275	1
1.41	38	6.16441	6.46238e-170	6.46238e-170	1.11908e-273	1
1.42	36	6	2.1607e-169	2.1607e-169	6.12788e-273	1
1.44	37	6.08276	2.40221e-168	2.40221e-168	1.82489e-271	1
1.46	31	5.56776	2.65121e-167	2.65121e-167	5.38525e-270	1
1.47	26	5.09902	8.78347e-167	8.78347e-167	2.91545e-269	1
1.49	32	5.65685	9.58788e-166	9.58788e-166	8.48663e-268	1
1.5	26	5.09902	3.15905e-165	3.15905e-165	4.56315e-267	1
1.52	32	5.65685	3.41065e-164	3.41065e-164	1.31026e-265	1
1.54	39	6.245	3.6554e-163	3.6554e-163	3.7281e-264	1
1.55	40	6.32456	1.19341e-162	1.19341e-162	1.98184e-263	1
1.57	31	5.56776	1.26506e-161	1.26506e-161	5.56241e-262	1
1.58	38	6.16441	4.10749e-161	4.10749e-161	2.9368e-261	1
1.6	29	5.38516	4.30646e-160	4.30646e-160	8.13072e-260	1
1.61	28	5.2915	1.39059e-159	1.39059e-159	4.26355e-259	1
1.63	33	5.74456	1.44201e-158	1.44201e-158	1.16436e-257	1
1.65	22	4.69042	1.48441e-157	1.48441e-157	3.15097e-256	1
1.66	44	6.63325	4.74954e-157	4.74954e-157	1.63357e-255	1
1.68	20	4.47214	4.83571e-156	4.83571e-156	4.3607e-254	1
1.69	31	5.56776	1.53876e-155	1.53876e-155	2.24533e-253	1
1.71	26	5.09902	1.54954e-154	1.54954e-154	5.91235e-252	1
1.73	28	5.2915	1.54901e-153	1.54901e-153	1.5427e-250	1
1.74	30	5.47723	4.88409e-153	4.88409e-153	7.85336e-250	1
1.76	37	6.08276	4.82899e-152	4.82899e-152	2.02133e-248	1
1.77	27	5.19615	1.51426e-151	1.51426e-151	1.02198e-247	1
1.79	28	5.2915	1.4808e-150	1.4808e-150	2.5947e-246	1
1.8	26	5.09902	4.61797e-150	4.61797e-150	1.30294e-245	1
1.82	32	5.65685	4.46655e-149	4.46655e-149	3.26308e-244	1
1.84	27	5.19615	4.28854e-148	4.28854e-148	8.0979e-243	1
1.85	31	5.56776	1.32521e-147	1.32521e-147	4.02032e-242	1
1.87	27	5.19615	1.25848e-146	1.25848e-146	9.84163e-241	1
1.88	30	5.47723	3.86751e-146	3.86751e-146	4.85272e-240	1
1.9	39	6.245	3.6326e-145	3.6326e-145	1.1718e-238	1
1.92	28	5.2915	3.38703e-144	3.38703e-144	2.8039e-237	1
1.93	21	4.58258	1.0314e-143	1.0314e-143	1.36688e-236	1
1.95	27	5.19615	9.51154e-143	9.51154e-143	3.22628e-235	1
1.96	34	5.83095	2.88051e-142	2.88051e-142	1.56208e-234	1
1.98	27	5.19615	2.62736e-141	2.62736e-141	3.63692e-233	1
1.99	27	5.19615	7.91316e-141	7.91316e-141	1.7489e-232	1
2.01	28	5.2915	7.13877e-140	7.13877e-140	4.01659e-231	1
2.03	19	4.3589	6.39312e-139	6.39312e-139	9.14093e-230	1
2.04	42	6.48074	1.90794e-138	1.90794e-138	4.34583e-229	1
2.06	31	5.56776	1.68996e-137	1.68996e-137	9.7559e-228	1
2.07	33	5.74456	5.0158e-137	5.0158e-137	4.6066e-227	1
2.09	23	4.79583	4.39418e-136	4.39418e-136	1.02009e-225	1
2.11	28	5.2915	3.82148e-135	3.82148e-135	2.23838e-224	1
2.12	22	4.69042	1.12387e-134	1.12387e-134	1.04495e-223	1
2.14	23	4.79583	9.66701e-134	9.66701e-134	2.26181e-222	1
2.15	28	5.2915	2.8274e-133	2.8274e-133	1.0487e-221	1
2.17	27	5.19615	2.40541e-132	2.40541e-132	2.23908e-220	1
2.18	24	4.89898	6.99674e-132	6.99674e-132	1.03109e-219	1
2.2	20	4.47214	5.88737e-131	5.88737e-131	2.17158e-218	1
2.22	29	5.38516	4.91772e-130	4.91772e-130	4.53209e-217	1
2.23	18	4.24264	1.41739e-129	1.41739e-129	2.06336e-216	1
2.25	26	5.09902	1.171e-128	1.171e-128	4.24774e-215	1
2.26	24	4.89898	3.35657e-128	3.35657e-128	1.92072e-214	1
2.28	29	5.38516	2.74274e-127	2.74274e-127	3.9004e-213	1
2.3	28	5.2915	2.2248e-126	2.2248e-126	7.84865e-212	1
2.31	22	4.69042	6.31903e-126	6.31903e-126	3.50875e-211	1
2.33	18	4.24264	5.06968e-125	5.06968e-125	6.96466e-210	1
2.34	34	5.83095	1.43203e-124	1.43203e-124	3.09235e-209	1
2.36	27	5.19615	1.13633e-123	1.13633e-123	6.05475e-208	1
2.37	20	4.47214	3.19219e-123	3.19219e-123	2.67003e-207	1
2.39	22	4.69042	2.50534e-122	2.50534e-122	5.15686e-206	1
2.41	24	4.89898	1.95192e-121	1.95192e-121	9.86951e-205	1
2.42	21	4.58258	5.43331e-121	5.43331e-121	4.30295e-204	1
2.44	20	4.47214	4.1868e-120	4.1868e-120	8.1234e-203	1
2.45	21	4.58258	1.15904e-119	1.15904e-119	3.51754e-202	1
2.47	22	4.69042	8.83365e-119	8.83365e-119	6.55046e-201	1
2.48	26	5.09902	2.43202e-118	2.43202e-118	2.81711e-200	1
2.5	30	5.47723	1.8333e-117	1.8333e-117	5.17485e-199	1
2.52	25	5	1.37188e-116	1.37188e-116	9.41962e-198	1
2.53	34	5.83095	3.74251e-116	3.74251e-116	4.00513e-197	1
2.55	32	5.65685	2.76994e-115	2.76994e-115	7.19139e-196	1
2.56	23	4.79583	7.515e-115	7.515e-115	3.03687e-195	1
2.58	21	4.58258	5.50122e-114	5.50122e-114	5.37878e-194	1
2.6	28	5.2915	3.99766e-113	3.99766e-113	9.44024e-193	1
2.61	21	4.58258	1.07469e-112	1.07469e-112	3.94137e-192	1
2.63	15	3.87298	7.72424e-112	7.72424e-112	6.82351e-191	1
2.64	27	5.19615	2.06513e-111	2.06513e-111	2.82946e-190	1
2.66	25	5	1.46805e-110	1.46805e-110	4.83197e-189	1
2.67	13	3.60555	3.90342e-110	3.90342e-110	1.98999e-188	1
2.69	28	5.2915	2.7445e-109	2.7445e-109	3.35222e-187	1
2.71	25	5	1.91557e-108	1.91557e-108	5.59573e-186	1
2.72	25	5	5.04687e-108	5.04687e-108	2.27842e-185	1
2.74	27	5.19615	3.48402e-107	3.48402e-107	3.75162e-184	1
2.75	23	4.79583	9.12885e-107	9.12885e-107	1.51714e-183	1
2.77	36	6	6.23303e-106	6.23303e-106	2.46418e-182	1
2.79	19	4.3589	4.22472e-105	4.22472e-105	3.96606e-181	1
2.8	21	4.58258	1.09687e-104	1.09687e-104	1.58569e-180	1
2.82	15	3.87298	7.3532e-104	7.3532e-104	2.51749e-179	1
2.83	21	4.58258	1.89864e-103	1.89864e-103	9.9967e-179	1
2.85	17	4.12311	1.2589e-102	1.2589e-102	1.56555e-177	1
2.86	19	4.3589	3.23274e-102	3.23274e-102	6.17428e-177	1
2.88	27	5.19615	2.12003e-101	2.12003e-101	9.53801e-176	1
2.9	27	5.19615	1.38016e-100	1.38016e-100	1.46006e-174	1
2.91	21	4.58258	3.51178e-100	3.51178e-100	5.693e-174	1
2.93	29	5.38516	2.2612e-099	2.2612e-099	8.59635e-173	1
2.94	16	4	5.72203e-099	5.72203e-099	3.32902e-172	1
2.96	31	5.56776	3.64406e-098	3.64406e-098	4.95851e-171	1
2.98	23	4.79583	2.30376e-097	2.30376e-097	7.31857e-170	1
2.99	19	4.3589	5.77655e-097	5.77655e-097	2.80207e-169	1
3.01	21	4.58258	3.61197e-096	3.61197e-096	4.07959e-168	1
3.02	31	5.56776	9.00715e-096	9.00715e-096	1.55132e-167	1
3.04	21	4.58258	5.5704e-095	5.5704e-095	2.22791e-166	1
3.05	32	5.65685	1.38147e-094	1.38147e-094	8.4142e-166	1
3.07	24	4.89898	8.45017e-094	8.45017e-094	1.19199e-164	1
3.09	27	5.19615	5.13104e-093	5.13104e-093	1.67329e-163	1
3.1	21	4.58258	1.2609e-092	1.2609e-092	6.24796e-163	1
3.12	28	5.2915	7.57258e-092	7.57258e-092	8.65166e-162	1
3.13	25	5	1.85068e-091	1.85068e-091	3.20845e-161	1
3.15	33	5.74456	1.09931e-090	1.09931e-090	4.38247e-160	1
3.17	22	4.69042	6.48221e-090	6.48221e-090	5.93175e-159	1
3.18	24	4.89898	1.56975e-089	1.56975e-089	2.17485e-158	1
3.2	19	4.3589	9.155e-089	9.155e-089	2.90372e-157	1
3.21	18	4.24264	2.20484e-088	2.20484e-088	1.05739e-156	1
3.23	29	5.38516	1.27183e-087	1.27183e-087	1.39258e-155	1
3.24	29	5.38516	3.04622e-087	3.04622e-087	5.03649e-155	1
3.26	13	3.60555	1.73795e-086	1.73795e-086	6.54299e-154	1
3.28	20	4.47214	9.84303e-086	9.84303e-086	8.42296e-153	1
3.29	24	4.89898	2.33604e-085	2.33604e-085	3.01179e-152	1
3.31	28	5.2915	1.30857e-084	1.30857e-084	3.8245e-151	1
3.32	18	4.24264	3.08859e-084	3.08859e-084	1.3582e-150	1
3.34	34	5.83095	1.7112e-083	1.7112e-083	1.70128e-149	1
3.36	27	5.19615	9.41144e-083	9.41144e-083	2.11168e-148	1
3.37	30	5.47723	2.2011e-082	2.2011e-082	7.4143e-148	1
3.39	22	4.69042	1.19735e-081	1.19735e-081	9.07787e-147	1
3.4	23	4.79583	2.78494e-081	2.78494e-081	3.1656e-146	1
3.42	27	5.19615	1.49837e-080	1.49837e-080	3.82324e-145	1
3.43	24	4.89898	3.46599e-080	3.46599e-080	1.32414e-144	1
3.45	19	4.3589	1.8444e-079	1.8444e-079	1.5775e-143	1
3.47	17	4.12311	9.74316e-079	9.74316e-079	1.86229e-142	1
3.48	22	4.69042	2.2332e-078	2.2332e-078	6.37678e-142	1
3.5	23	4.79583	1.1668e-077	1.1668e-077	7.42574e-141	1
3.51	24	4.89898	2.65972e-077	2.65972e-077	2.52537e-140	1
3.53	28	5.2915	1.37445e-076	1.37445e-076	2.90084e-139	1
3.54	21	4.58258	3.11588e-076	3.11588e-076	9.79804e-139	1
3.56	26	5.09902	1.59256e-075	1.59256e-075	1.1102e-137	1
3.58	18	4.24264	8.08032e-075	8.08032e-075	1.24653e-136	1
3.59	23	4.79583	1.8151e-074	1.8151e-074	4.16264e-136	1
3.61	23	4.79583	9.10872e-074	9.10872e-074	4.61033e-135	1
3.62	31	5.56776	2.03489e-073	2.03489e-073	1.52908e-134	1
3.64	24	4.89898	1.01e-072	1.01e-072	1.67053e-133	1
3.66	22	4.69042	4.97643e-072	4.97643e-072	1.8085e-132	1
3.67	19	4.3589	1.1016e-071	1.1016e-071	5.93017e-132	1
3.69	22	4.69042	5.36837e-071	5.36837e-071	6.33278e-131	1
3.7	23	4.79583	1.18184e-070	1.18184e-070	2.0624e-130	1
3.72	14	3.74166	5.69644e-070	5.69644e-070	2.17251e-129	1
3.73	22	4.69042	1.24719e-069	1.24719e-069	7.02701e-129	1
3.75	18	4.24264	5.94566e-069	5.94566e-069	7.30163e-128	1
3.77	27	5.19615	2.81374e-068	2.81374e-068	7.51814e-127	1
3.78	29	5.38516	6.10426e-068	6.10426e-068	2.4042e-126	1
3.8	26	5.09902	2.85721e-067	2.85721e-067	2.44187e-125	1
