# exported by fityk 0.8.7
#5-Zn-EdelStahl:x	5-Zn-EdelStahl:y	5-Zn-EdelStahl:s	5-Zn-EdelStahl:F(x)	5-Zn-EdelStahl:%_1(x)	5-Zn-EdelStahl:%_2(x)	5-Zn-EdelStahl:%_3(x)	5-Zn-EdelStahl:a
0.79	0	1	2.26236e-052	1.75701e-203	4.36139e-315	2.26236e-052	1
0.81	0	1	5.48579e-052	2.01036e-202	1.22557e-313	5.48579e-052	1
0.82	0	1	8.53225e-052	6.7843e-202	6.47817e-313	8.53225e-052	1
0.84	0	1	2.05914e-051	7.68995e-201	1.79967e-311	2.05914e-051	1
0.86	0	1	4.95379e-051	8.66204e-200	4.96152e-310	4.95379e-051	1
0.87	0	1	7.67449e-051	2.90033e-199	2.59766e-309	7.67449e-051	1
0.89	0	1	1.83758e-050	3.2364e-198	7.07996e-308	1.83758e-050	1
0.9	0	1	2.84009e-050	1.07857e-197	3.68562e-307	2.84009e-050	1
0.92	0	1	6.76823e-050	1.19228e-196	9.9308e-306	6.76823e-050	1
0.93	0	1	1.0436e-049	3.9548e-196	5.14017e-305	1.0436e-049	1
0.95	0	1	2.47526e-049	4.33085e-195	1.36923e-303	2.47526e-049	1
0.97	0	1	5.85248e-049	4.71303e-194	3.61958e-302	5.85248e-049	1
0.98	0	1	8.98846e-049	1.55111e-193	1.85569e-301	8.98846e-049	1
1	0	1	2.11519e-048	1.67219e-192	4.84969e-300	2.11519e-048	1
1.01	0	1	3.24092e-048	5.47757e-192	2.47214e-299	3.24092e-048	1
1.03	0	1	7.59062e-048	5.8499e-191	6.38715e-298	7.59062e-048	1
1.05	0	1	1.77222e-047	6.20852e-190	1.63766e-296	1.77222e-047	1
1.06	0	1	2.70472e-047	2.01784e-189	8.26871e-296	2.70472e-047	1
1.08	0	1	6.28504e-047	2.1215e-188	2.09594e-294	6.28504e-047	1
1.09	0	1	9.56945e-047	6.86279e-188	1.05222e-293	9.56945e-047	1
1.11	0	1	2.21318e-046	7.14784e-187	2.63678e-292	2.21318e-046	1
1.12	1	1	3.36178e-046	2.30139e-186	1.31618e-291	3.36178e-046	1
1.14	1	1	7.73829e-046	2.37455e-185	3.26067e-290	7.73829e-046	1
1.16	2	1.41421	1.77562e-045	2.43473e-184	8.01646e-289	1.77562e-045	1
1.17	3	1.73205	2.68652e-045	7.77794e-184	3.96348e-288	2.68652e-045	1
1.19	2	1.41421	6.13539e-045	7.90043e-183	9.63337e-287	6.13539e-045	1
1.2	4	2	9.26092e-045	2.51202e-182	4.73571e-286	9.26092e-045	1
1.22	20	4.47214	2.105e-044	2.52771e-181	1.13792e-284	2.105e-044	1
1.24	23	4.79583	4.76956e-044	2.5276e-180	2.71345e-283	4.76956e-044	1
1.25	42	6.48074	7.17098e-044	7.97404e-180	1.32124e-282	7.17098e-044	1
1.27	38	6.16441	1.61715e-043	7.89909e-179	3.11472e-281	1.61715e-043	1
1.28	45	6.7082	2.42563e-043	2.48031e-178	1.50797e-280	2.42563e-043	1
1.3	54	7.34847	5.4443e-043	2.43401e-177	3.51442e-279	5.4443e-043	1
1.31	51	7.14143	8.1468e-043	7.60693e-177	1.69177e-278	8.1468e-043	1
1.33	42	6.48074	1.81991e-042	7.39508e-176	3.89786e-277	1.81991e-042	1
1.35	50	7.07107	4.0527e-042	7.14421e-175	8.91243e-276	4.0527e-042	1
1.36	47	6.85565	6.04057e-042	2.21533e-174	4.24949e-275	6.04057e-042	1
1.38	50	7.07107	1.3388e-041	2.12016e-173	9.60577e-274	1.3388e-041	1
1.39	51	7.14143	1.99078e-041	6.54352e-173	4.55393e-273	1.99078e-041	1
1.41	48	6.9282	4.39144e-041	6.20379e-172	1.01767e-271	4.39144e-041	1
1.42	50	7.07107	6.51457e-041	1.90572e-171	4.79703e-271	6.51457e-041	1
1.44	55	7.4162	1.43026e-040	1.78987e-170	1.05979e-269	1.43026e-040	1
1.46	32	5.65685	3.13023e-040	1.67057e-169	2.32353e-268	3.13023e-040	1
1.47	45	6.7082	4.62533e-040	5.09171e-169	1.08485e-267	4.62533e-040	1
1.49	54	7.34847	1.00751e-039	4.70785e-168	2.35138e-266	1.00751e-039	1
1.5	42	6.48074	1.48521e-039	1.42817e-167	1.09158e-265	1.48521e-039	1
1.52	45	6.7082	3.21987e-039	1.30815e-166	2.33903e-264	3.21987e-039	1
1.54	59	7.68115	6.95857e-039	1.19072e-165	4.97393e-263	6.95857e-039	1
1.55	32	5.65685	1.02176e-038	3.58399e-165	2.28711e-262	1.02176e-038	1
1.57	43	6.55744	2.19773e-038	3.23175e-164	4.80813e-261	2.19773e-038	1
1.58	37	6.08276	3.21939e-038	9.68171e-164	2.19825e-260	3.21939e-038	1
1.6	39	6.245	6.892e-038	8.64849e-163	4.56868e-259	6.892e-038	1
1.61	47	6.85565	1.00721e-037	2.57878e-162	2.07684e-258	1.00721e-037	1
1.63	42	6.48074	2.14603e-037	2.28202e-161	4.2672e-257	2.14603e-037	1
1.65	31	5.56776	4.55809e-037	2.0068e-160	8.70094e-256	4.55809e-037	1
1.66	44	6.63325	6.63504e-037	5.9371e-160	3.91772e-255	6.63504e-037	1
1.68	24	4.89898	1.40261e-036	5.1722e-159	7.89736e-254	1.40261e-036	1
1.69	39	6.245	2.0369e-036	1.52302e-158	3.53559e-253	2.0369e-036	1
1.71	34	5.83095	4.28557e-036	1.31439e-157	7.04589e-252	4.28557e-036	1
1.73	36	6	8.9883e-036	1.12725e-156	1.39345e-250	8.9883e-036	1
1.74	34	5.83095	1.30016e-035	3.29341e-156	6.17913e-250	1.30016e-035	1
1.76	40	6.32456	2.71402e-035	2.79808e-155	1.20812e-248	2.71402e-035	1
1.77	38	6.16441	3.91657e-035	8.13665e-155	5.32669e-248	3.91657e-035	1
1.79	46	6.78233	8.13703e-035	6.8482e-154	1.02959e-246	8.13703e-035	1
1.8	23	4.79583	1.17147e-034	1.98208e-153	4.51362e-246	1.17147e-034	1
1.82	34	5.83095	2.42235e-034	1.6526e-152	8.62498e-245	2.42235e-034	1
1.84	33	5.74456	4.99313e-034	1.36929e-151	1.63559e-243	4.99313e-034	1
1.85	22	4.69042	7.16023e-034	3.93222e-151	7.10213e-243	7.16023e-034	1
1.87	21	4.58258	1.46895e-033	3.22761e-150	1.33147e-241	1.46895e-033	1
1.88	29	5.38516	2.10152e-033	9.22532e-150	5.74854e-241	2.10152e-033	1
1.9	18	4.24264	4.29102e-033	7.50139e-149	1.06543e-239	4.29102e-033	1
1.92	30	5.47723	8.73408e-033	6.06151e-148	1.95964e-238	8.73408e-033	1
1.93	29	5.38516	1.24461e-032	1.71901e-147	8.38026e-238	1.24461e-032	1
1.95	26	5.09902	2.52135e-032	1.37605e-146	1.52382e-236	2.52135e-032	1
1.96	24	4.89898	3.58444e-032	3.88412e-146	6.47929e-236	3.58444e-032	1
1.98	26	5.09902	7.22717e-032	3.0801e-145	1.16474e-234	7.22717e-032	1
1.99	26	5.09902	1.02501e-031	8.65329e-145	4.9242e-234	1.02501e-031	1
2.01	29	5.38516	2.05694e-031	6.79785e-144	8.75109e-233	2.05694e-031	1
2.03	44	6.63325	4.11476e-031	5.30689e-143	1.54338e-231	4.11476e-031	1
2.04	40	6.32456	5.81289e-031	1.47929e-142	6.463e-231	5.81289e-031	1
2.06	31	5.56776	1.15734e-030	1.14403e-141	1.12686e-229	1.15734e-030	1
2.07	31	5.56776	1.6311e-030	3.17403e-141	4.69184e-229	1.6311e-030	1
2.09	28	5.2915	3.23217e-030	2.43172e-140	8.08731e-228	3.23217e-030	1
2.11	34	5.83095	6.38468e-030	1.85138e-139	1.3834e-226	6.38468e-030	1
2.12	21	4.58258	8.96287e-030	5.09641e-139	5.70528e-226	8.96287e-030	1
2.14	35	5.91608	1.76213e-029	3.84382e-138	9.6482e-225	1.76213e-029	1
2.15	23	4.79583	2.46785e-029	1.05315e-137	3.95629e-224	2.46785e-029	1
2.17	24	4.89898	4.82895e-029	7.86877e-137	6.61428e-223	4.82895e-029	1
2.18	26	5.09902	6.74694e-029	2.14582e-136	2.69672e-222	6.74694e-029	1
2.2	21	4.58258	1.31397e-028	1.58828e-135	4.45714e-221	1.31397e-028	1
2.22	28	5.2915	2.55092e-028	1.16825e-134	7.31072e-220	2.55092e-028	1
2.23	28	5.2915	3.55009e-028	3.16098e-134	2.95235e-219	3.55009e-028	1
2.25	22	4.69042	6.85954e-028	2.3033e-133	4.78738e-218	6.85954e-028	1
2.26	24	4.89898	9.52379e-028	6.20288e-133	1.92229e-217	9.52379e-028	1
2.28	25	5	1.83152e-027	4.47753e-132	3.08158e-216	1.83152e-027	1
2.3	25	5	3.5111e-027	3.2119e-131	4.90242e-215	3.5111e-027	1
2.31	25	5	4.85562e-027	8.58228e-131	1.94978e-214	4.85562e-027	1
2.33	25	5	9.2645e-027	6.09879e-130	3.06655e-213	9.2645e-027	1
2.34	30	5.47723	1.27819e-026	1.62197e-129	1.21266e-212	1.27819e-026	1
2.36	23	4.79583	2.42728e-026	1.14183e-128	1.8855e-211	2.42728e-026	1
2.37	26	5.09902	3.34093e-026	3.02245e-128	7.41356e-211	3.34093e-026	1
2.39	25	5	6.31444e-026	2.10782e-127	1.13957e-209	6.31444e-026	1
2.41	34	5.83095	1.18969e-025	1.46079e-126	1.73835e-208	1.18969e-025	1
2.42	30	5.47723	1.63106e-025	3.83657e-126	6.77007e-208	1.63106e-025	1
2.44	22	4.69042	3.05853e-025	2.63399e-125	1.02098e-206	3.05853e-025	1
2.45	31	5.56776	4.18331e-025	6.88538e-125	3.95352e-206	4.18331e-025	1
2.47	23	4.79583	7.80746e-025	4.68291e-124	5.89429e-205	7.80746e-025	1
2.48	16	4	1.06535e-024	1.2184e-123	2.2694e-204	1.06535e-024	1
2.5	36	6	1.9789e-024	8.20906e-123	3.34492e-203	1.9789e-024	1
2.52	22	4.69042	3.66429e-024	5.49638e-122	4.89263e-202	3.66429e-024	1
2.53	28	5.2915	4.98033e-024	1.41889e-121	1.86585e-201	4.98033e-024	1
2.55	37	6.08276	9.17843e-024	9.41126e-121	2.69811e-200	9.17843e-024	1
2.56	17	4.12311	1.24454e-023	2.41812e-120	1.02307e-199	1.24454e-023	1
2.58	19	4.3589	2.28279e-023	1.58889e-119	1.46256e-198	2.28279e-023	1
2.6	29	5.38516	4.17399e-023	1.0375e-118	2.07494e-197	4.17399e-023	1
2.61	28	5.2915	5.63742e-023	2.64495e-118	7.79305e-197	5.63742e-023	1
2.63	17	4.12311	1.02592e-022	1.71092e-117	1.09301e-195	1.02592e-022	1
2.64	22	4.69042	1.38234e-022	4.34126e-117	4.08167e-195	1.38234e-022	1
2.66	32	5.65685	2.50375e-022	2.78193e-116	5.65952e-194	2.50375e-022	1
2.67	30	5.47723	3.36562e-022	7.0257e-116	2.10139e-193	3.36562e-022	1
2.69	22	4.69042	6.06718e-022	4.46002e-115	2.88054e-192	6.06718e-022	1
2.71	29	5.38516	1.09028e-021	2.8136e-114	3.91854e-191	1.09028e-021	1
2.72	28	5.2915	1.45983e-021	7.05025e-114	1.44114e-190	1.45983e-021	1
2.74	25	5	2.61095e-021	4.40603e-113	1.93813e-189	2.61095e-021	1
2.75	23	4.79583	3.48766e-021	1.09887e-112	7.08723e-189	3.48766e-021	1
2.77	37	6.08276	6.20837e-021	6.80311e-112	9.42275e-188	6.20837e-021	1
2.79	27	5.19615	1.10167e-020	4.18548e-111	1.24326e-186	1.10167e-020	1
2.8	42	6.48074	1.4658e-020	1.03572e-110	4.5031e-186	1.4658e-020	1
2.82	32	5.65685	2.58877e-020	6.31246e-110	5.87383e-185	2.58877e-020	1
2.83	25	5	3.43628e-020	1.55473e-109	2.11535e-184	3.43628e-020	1
2.85	25	5	6.04022e-020	9.38703e-109	2.72784e-183	6.04022e-020	1
2.86	28	5.2915	7.99874e-020	2.30114e-108	9.7677e-183	7.99874e-020	1
2.88	24	4.89898	1.39936e-019	1.37636e-107	1.24524e-181	1.39936e-019	1
2.9	19	4.3589	2.44046e-019	8.1809e-107	1.57542e-180	2.44046e-019	1
2.91	22	4.69042	3.21905e-019	1.98982e-106	5.5876e-180	3.21905e-019	1
2.93	32	5.65685	5.58743e-019	1.17165e-105	6.98868e-179	5.58743e-019	1
2.94	31	5.56776	7.35261e-019	2.83642e-105	2.46454e-178	7.35261e-019	1
2.96	27	5.19615	1.2702e-018	1.65452e-104	3.04741e-177	1.2702e-018	1
2.98	28	5.2915	2.18742e-018	9.59077e-104	3.73947e-176	2.18742e-018	1
2.99	28	5.2915	2.86715e-018	2.30369e-103	1.30619e-175	2.86715e-018	1
3.01	27	5.19615	4.91424e-018	1.32288e-102	1.58456e-174	4.91424e-018	1
3.02	14	3.74166	6.42608e-018	3.16263e-102	5.50322e-174	6.42608e-018	1
3.04	27	5.19615	1.09622e-017	1.79913e-101	6.60003e-173	1.09622e-017	1
3.05	30	5.47723	1.43008e-017	4.28105e-101	2.27912e-172	1.43008e-017	1
3.07	28	5.2915	2.42805e-017	2.41258e-100	2.70222e-171	2.42805e-017	1
3.09	26	5.09902	4.10946e-017	1.35112e-099	3.1795e-170	4.10946e-017	1
3.1	22	4.69042	5.33992e-017	3.1899e-099	1.08751e-169	5.33992e-017	1
3.12	29	5.38516	8.99513e-017	1.76972e-098	1.26502e-168	8.99513e-017	1
3.13	35	5.91608	1.16609e-016	4.1586e-098	4.30215e-168	1.16609e-016	1
3.15	23	4.79583	1.95501e-016	2.28556e-097	4.94737e-167	1.95501e-016	1
3.17	33	5.74456	3.26736e-016	1.24829e-096	5.64607e-166	3.26736e-016	1
3.18	29	5.38516	4.21899e-016	2.91042e-096	1.9019e-165	4.21899e-016	1
3.2	34	5.83095	7.01782e-016	1.57469e-095	2.14578e-164	7.01782e-016	1
3.21	22	4.69042	9.04035e-016	3.65422e-095	7.18689e-164	9.04035e-016	1
3.23	24	4.89898	1.49667e-015	1.95863e-094	8.01611e-163	1.49667e-015	1
3.24	29	5.38516	1.92345e-015	4.52386e-094	2.66951e-162	1.92345e-015	1
3.26	21	4.58258	3.16932e-015	2.40206e-093	2.94361e-161	3.16932e-015	1
3.28	24	4.89898	5.20572e-015	1.26747e-092	3.22115e-160	5.20572e-015	1
3.29	28	5.2915	6.66384e-015	2.90464e-092	1.06251e-159	6.66384e-015	1
3.31	33	5.74456	1.08939e-014	1.51831e-091	1.14945e-158	1.08939e-014	1
3.32	25	5	1.39124e-014	3.46319e-091	3.76986e-158	1.39124e-014	1
3.34	31	5.56776	2.26364e-014	1.79334e-090	4.03188e-157	2.26364e-014	1
3.36	29	5.38516	3.6715e-014	9.22844e-090	4.2793e-156	3.6715e-014	1
3.37	25	5	4.67034e-014	2.08853e-089	1.39015e-155	4.67034e-014	1
3.39	20	4.47214	7.53928e-014	1.06469e-088	1.45866e-154	7.53928e-014	1
3.4	30	5.47723	9.56768e-014	2.39824e-088	4.71145e-154	9.56768e-014	1
3.42	24	4.89898	1.53721e-013	1.21113e-087	4.88733e-153	1.53721e-013	1
3.43	28	5.2915	1.94618e-013	2.71532e-087	1.56959e-152	1.94618e-013	1
3.45	29	5.38516	3.11212e-013	1.35843e-086	1.60964e-151	3.11212e-013	1
3.47	28	5.2915	4.96088e-013	6.75357e-086	1.63815e-150	4.96088e-013	1
3.48	21	4.58258	6.256e-013	1.50231e-085	5.21101e-150	6.256e-013	1
3.5	12	3.4641	9.92532e-013	7.39898e-085	5.24291e-149	9.92532e-013	1
3.51	23	4.79583	1.24869e-012	1.63816e-084	1.65827e-148	1.24869e-012	1
3.53	25	5	1.97173e-012	7.99258e-084	1.64941e-147	1.97173e-012	1
3.54	27	5.19615	2.47475e-012	1.76129e-083	5.18709e-147	2.47475e-012	1
3.56	26	5.09902	3.88929e-012	8.5129e-083	5.10065e-146	3.88929e-012	1
3.58	30	5.47723	6.09312e-012	4.08886e-082	4.97749e-145	6.09312e-012	1
3.59	21	4.58258	7.61746e-012	8.94013e-082	1.55045e-144	7.61746e-012	1
3.61	35	5.91608	1.18775e-011	4.25389e-081	1.49578e-143	1.18775e-011	1
3.62	31	5.56776	1.48139e-011	9.25734e-081	4.63266e-143	1.48139e-011	1
