# exported by fityk 0.8.7
#6-EdelStahl:x	6-EdelStahl:y	6-EdelStahl:s	6-EdelStahl:F(x)	6-EdelStahl:%_1(x)	6-EdelStahl:%_2(x)	6-EdelStahl:%_3(x)	6-EdelStahl:a
0.79	0	1	2.31435e-009	5.31217e-109	5.93518e-206	2.31435e-009	1
0.81	0	1	3.32151e-009	3.34703e-108	1.24407e-204	3.32151e-009	1
0.82	0	1	3.975e-009	8.38062e-108	5.67506e-204	3.975e-009	1
0.84	0	1	5.68108e-009	5.22827e-107	1.17236e-202	5.68108e-009	1
0.86	0	1	8.09687e-009	3.24018e-106	2.39848e-201	8.09687e-009	1
0.87	0	1	9.65621e-009	8.04633e-106	1.08092e-200	9.65621e-009	1
0.89	0	1	1.3705e-008	4.93746e-105	2.17946e-199	1.3705e-008	1
0.9	0	1	1.63104e-008	1.22006e-104	9.75091e-199	1.63104e-008	1
0.92	0	1	2.30528e-008	7.41275e-104	1.93766e-197	2.30528e-008	1
0.93	0	1	2.7378e-008	1.82265e-103	8.60627e-197	2.7378e-008	1
0.95	0	1	3.85344e-008	1.09647e-102	1.68549e-195	3.85344e-008	1
0.97	0	1	5.40864e-008	6.5527e-102	3.26908e-194	5.40864e-008	1
0.98	0	1	6.4011e-008	1.59792e-101	1.43448e-193	6.4011e-008	1
1	0	1	8.94708e-008	9.45526e-101	2.74202e-192	8.94708e-008	1
1.01	0	1	1.05667e-007	2.29433e-100	1.19448e-191	1.05667e-007	1
1.03	0	1	1.47081e-007	1.34421e-099	2.25027e-190	1.47081e-007	1
1.05	0	1	2.04155e-007	7.82366e-099	4.19831e-189	2.04155e-007	1
1.06	0	1	2.40276e-007	1.8828e-098	1.80682e-188	2.40276e-007	1
1.08	0	1	3.32126e-007	1.08503e-097	3.32227e-187	3.32126e-007	1
1.09	0	1	3.90073e-007	2.59826e-097	1.41943e-186	3.90073e-007	1
1.11	0	1	5.3694e-007	1.48256e-096	2.57225e-185	5.3694e-007	1
1.12	0	1	6.29307e-007	3.53265e-096	1.09102e-184	6.29307e-007	1
1.14	0	1	8.62641e-007	1.99584e-095	1.94854e-183	8.62641e-007	1
1.16	0	1	1.1792e-006	1.12016e-094	3.44646e-182	1.1792e-006	1
1.17	2	1.41421	1.37726e-006	2.64716e-094	1.44419e-181	1.37726e-006	1
1.19	0	1	1.87483e-006	1.47106e-093	2.51748e-180	1.87483e-006	1
1.2	2	1.41421	2.18515e-006	3.45921e-093	1.04727e-179	2.18515e-006	1
1.22	4	2	2.9622e-006	1.90335e-092	1.7992e-178	2.9622e-006	1
1.24	10	3.16228	4.00441e-006	1.04038e-091	3.06115e-177	4.00441e-006	1
1.25	10	3.16228	4.65102e-006	2.42634e-091	1.25808e-176	4.65102e-006	1
1.27	23	4.79583	6.26124e-006	1.31316e-090	2.10957e-175	6.26124e-006	1
1.28	20	4.47214	7.2571e-006	3.04737e-090	8.60708e-175	7.2571e-006	1
1.3	15	3.87298	9.72887e-006	1.633e-089	1.42239e-173	9.72887e-006	1
1.31	14	3.74166	1.12528e-005	3.77086e-089	5.76132e-173	1.12528e-005	1
1.33	15	3.87298	1.50226e-005	2.00076e-088	9.38349e-172	1.50226e-005	1
1.35	20	4.47214	1.99997e-005	1.05458e-087	1.51354e-170	1.99997e-005	1
1.36	8	2.82843	2.30521e-005	2.41516e-087	6.05658e-170	2.30521e-005	1
1.38	15	3.87298	3.05615e-005	1.26045e-086	9.62797e-169	3.05615e-005	1
1.39	26	5.09902	3.51524e-005	2.87236e-086	3.82479e-168	3.51524e-005	1
