# exported by fityk 0.8.7
#7-Ti:x	7-Ti:y	7-Ti:s	7-Ti:F(x)	7-Ti:%_1(x)	7-Ti:%_2(x)	7-Ti:%_3(x)	7-Ti:%_4(x)	7-Ti:a
0.79	0	1	0.263777	1.7685e-039	4.96845e-077	0.263777	4.15022e-008	1
0.81	0	1	0.294616	4.92444e-039	1.76077e-076	0.294616	1.53472e-007	1
0.82	0	1	0.311214	8.20053e-039	3.30908e-076	0.311214	2.90278e-007	1
0.84	0	1	0.34694	2.26479e-038	1.16479e-075	0.346939	1.00461e-006	1
0.86	0	1	0.386278	6.22063e-038	4.08162e-075	0.386275	3.3266e-006	1
0.87	0	1	0.407398	1.02884e-037	7.62762e-075	0.407392	5.954e-006	1
0.89	0	1	0.452741	2.80276e-037	2.65481e-074	0.452722	1.84518e-005	1
0.9	0	1	0.477051	4.61651e-037	4.94449e-074	0.477019	3.19492e-005	1
0.92	0	1	0.529184	1.24734e-036	1.70934e-073	0.529091	9.26652e-005	1
0.93	0	1	0.557112	2.04612e-036	3.17283e-073	0.556957	0.000155221	1
0.95	0	1	0.617005	5.48321e-036	1.08947e-072	0.616584	0.000421343	1
0.97	0	1	0.682825	1.46137e-035	3.72412e-072	0.68173	0.0010943	1
0.98	0	1	0.718236	2.38086e-035	6.87374e-072	0.716501	0.00173458	1
1	0	1	0.794918	6.2935e-035	2.3338e-071	0.790702	0.00421622	1
1.01	0	1	0.836707	1.02113e-034	4.29304e-071	0.830242	0.00646539	1
1.03	0	1	0.929192	2.67714e-034	1.44776e-070	0.914484	0.0147079	1
1.05	0	1	1.03801	6.98046e-034	4.86038e-070	1.006	0.0320129	1
1.06	0	1	1.10109	1.12486e-033	8.89041e-070	1.05464	0.0464535	1
1.08	0	1	1.25261	2.90901e-033	2.96454e-069	1.15798	0.0946279	1
1.09	0	1	1.34565	4.66848e-033	5.4043e-069	1.21281	0.132839	1
1.11	0	1	1.58238	1.19744e-032	1.78993e-068	1.32912	0.253253	1
1.12	0	1	1.73467	1.91382e-032	3.25199e-068	1.39074	0.343934	1
1.14	2	1.41421	2.13489	4.86869e-032	1.06981e-067	1.52123	0.613664	1
1.16	2	1.41421	2.70947	1.23181e-031	3.50354e-067	1.66185	1.04762	1
1.17	0	1	3.08246	1.95532e-031	6.32953e-067	1.73614	1.34632	1
1.19	5	2.23607	4.04407	4.90664e-031	2.05888e-066	1.89304	2.15103	1
1.2	2	1.41421	4.65005	7.75665e-031	3.70704e-066	1.97579	2.67426	1
1.22	7	2.64575	6.14907	1.93051e-030	1.19771e-065	2.15025	3.99882	1
1.24	14	3.74166	8.05823	4.77849e-030	3.85224e-065	2.33716	5.72107	1
1.25	14	3.74166	9.16611	7.50255e-030	6.897e-065	2.43547	6.73064	1
1.27	19	4.3589	11.6543	1.84188e-029	2.20336e-064	2.64215	9.01216	1
1.28	30	5.47723	13.0077	2.88001e-029	3.93154e-064	2.75067	10.257	1
1.3	19	4.3589	15.8319	7.01259e-029	1.24753e-063	2.97844	12.8535	1
1.31	19	4.3589	17.2502	1.09202e-028	2.21849e-063	3.09784	14.1523	1
1.33	20	4.47214	19.9459	2.63722e-028	6.99208e-063	3.34799	16.5979	1
1.35	25	5	22.2389	6.33409e-028	2.19379e-062	3.61377	18.6251	1
1.36	37	6.08276	23.1583	9.79629e-028	3.87932e-062	3.75269	19.4056	1
