# exported by fityk 0.8.7
#8-Mo:x	8-Mo:y	8-Mo:s	8-Mo:F(x)	8-Mo:%_4(x)	8-Mo:%_5(x)	8-Mo:%_6(x)	8-Mo:%_7(x)	8-Mo:a
0.79	0	1	1.65043e-031	0	0	1.65043e-031	2.34658e-067	1
0.81	0	1	2.52825e-031	0	0	2.52825e-031	4.29222e-067	1
0.82	0	1	3.12776e-031	0	0	3.12776e-031	5.80252e-067	1
0.84	0	1	4.78257e-031	0	0	4.78257e-031	1.05951e-066	1
0.86	0	1	7.304e-031	0	0	7.304e-031	1.93238e-066	1
0.87	0	1	9.02217e-031	0	0	9.02217e-031	2.60853e-066	1
0.89	0	1	1.37536e-030	0	0	1.37536e-030	4.74925e-066	1
0.9	0	1	1.69734e-030	0	0	1.69734e-030	6.40546e-066	1
0.92	0	1	2.58273e-030	0	0	2.58273e-030	1.16419e-065	1
0.93	0	1	3.18445e-030	0	0	3.18445e-030	1.5688e-065	1
0.95	0	1	4.8367e-030	0	0	4.8367e-030	2.84632e-065	1
0.97	0	1	7.33726e-030	0	0	7.33726e-030	5.15815e-065	1
0.98	0	1	9.03291e-030	0	0	9.03291e-030	6.9408e-065	1
1	0	1	1.36779e-029	0	0	1.36779e-029	1.25563e-064	1
1.01	0	1	1.68234e-029	0	0	1.68234e-029	1.68811e-064	1
1.03	0	1	2.54279e-029	0	0	2.54279e-029	3.04857e-064	1
1.05	0	1	3.83862e-029	0	0	3.83862e-029	5.49906e-064	1
1.06	0	1	4.71422e-029	0	0	4.71422e-029	7.38235e-064	1
1.08	0	1	7.10364e-029	0	0	7.10364e-029	1.32932e-063	1
1.09	0	1	8.716e-029	0	0	8.716e-029	1.78303e-063	1
1.11	0	1	1.31097e-028	0	0	1.31097e-028	3.20506e-063	1
1.12	0	1	1.60706e-028	0	0	1.60706e-028	4.29522e-063	1
1.14	1	1	2.41276e-028	0	0	2.41276e-028	7.70737e-063	1
1.16	0	1	3.61798e-028	0	0	3.61798e-028	1.38141e-062	1
1.17	2	1.41421	4.42837e-028	0	0	4.42837e-028	1.84859e-062	1
1.19	6	2.44949	6.62828e-028	0	0	6.62828e-028	3.30751e-062	1
1.2	13	3.60555	8.10552e-028	0	0	8.10552e-028	4.42223e-062	1
1.22	34	5.83095	1.211e-027	0	0	1.211e-027	7.89848e-062	1
1.24	44	6.63325	1.80707e-027	0	0	1.80707e-027	1.4091e-061	1
1.25	59	7.68115	2.20644e-027	0	0	2.20644e-027	1.88127e-061	1
1.27	64	8	3.28648e-027	0	0	3.28648e-027	3.35036e-061	1
1.28	73	8.544	4.00914e-027	0	0	4.00914e-027	4.46913e-061	1
1.3	56	7.48331	5.96066e-027	0	0	5.96066e-027	7.94523e-061	1
1.31	69	8.30662	7.26469e-027	0	0	7.26469e-027	1.05891e-060	1
1.33	55	7.4162	1.07812e-026	0	0	1.07812e-026	1.87926e-060	1
1.35	55	7.4162	1.59803e-026	0	0	1.59803e-026	3.33126e-060	1
1.36	52	7.2111	1.94466e-026	0	0	1.94466e-026	4.43333e-060	1
1.38	54	7.34847	2.87719e-026	0	0	2.87719e-026	7.84505e-060	1
1.39	56	7.48331	3.4981e-026	0	0	3.4981e-026	1.04313e-059	1
1.41	62	7.87401	5.16608e-026	0	0	5.16608e-026	1.84267e-059	1
1.42	47	6.85565	6.27519e-026	0	0	6.27519e-026	2.448e-059	1
1.44	38	6.16441	9.25042e-026	0	0	9.25042e-026	4.31682e-059	1
1.46	43	6.55744	1.36197e-025	0	0	1.36197e-025	7.60345e-059	1
1.47	50	7.07107	1.65185e-025	0	0	1.65185e-025	1.00866e-058	1
1.49	42	6.48074	2.42761e-025	0	0	2.42761e-025	1.77351e-058	1
1.5	49	7	2.94162e-025	0	0	2.94162e-025	2.35066e-058	1
1.52	47	6.85565	4.3152e-025	0	0	4.3152e-025	4.12594e-058	1
1.54	54	7.34847	6.32247e-025	0	0	6.32247e-025	7.23355e-058	1
1.55	45	6.7082	7.64946e-025	0	0	7.64946e-025	9.57362e-058	1
1.57	51	7.14143	1.11872e-024	0	0	1.11872e-024	1.67551e-057	1
1.58	31	5.56776	1.35229e-024	0	0	1.35229e-024	2.21561e-057	1
1.6	50	7.07107	1.97408e-024	0	0	1.97408e-024	3.87087e-057	1
1.61	40	6.32456	2.38404e-024	0	0	2.38404e-024	5.11418e-057	1
1.63	56	7.48331	3.47388e-024	0	0	3.47388e-024	8.91936e-057	1
1.65	30	5.47723	5.05576e-024	0	0	5.05576e-024	1.55377e-056	1
1.66	48	6.9282	6.0964e-024	0	0	6.0964e-024	2.04986e-056	1
1.68	43	6.55744	8.85626e-024	0	0	8.85626e-024	3.56467e-056	1
1.69	49	7	1.06694e-023	0	0	1.06694e-023	4.69871e-056	1
1.71	33	5.74456	1.54711e-023	0	0	1.54711e-023	8.15675e-056	1
1.73	37	6.08276	2.24065e-023	0	0	2.24065e-023	1.41433e-055	1
1.74	32	5.65685	2.69527e-023	0	0	2.69527e-023	1.86157e-055	1
1.76	39	6.245	3.89636e-023	0	0	3.89636e-023	3.22223e-055	1
1.77	39	6.245	4.68263e-023	0	0	4.68263e-023	4.23747e-055	1
1.79	57	7.54983	6.75698e-023	0	0	6.75698e-023	7.32195e-055	1
1.8	33	5.74456	8.11307e-023	0	0	8.11307e-023	9.6205e-055	1
1.82	32	5.65685	1.16857e-022	0	0	1.16857e-022	1.65944e-054	1
1.84	31	5.56776	1.68109e-022	0	0	1.68109e-022	2.85904e-054	1
1.85	35	5.91608	2.0154e-022	0	0	2.0154e-022	3.75111e-054	1
1.87	35	5.91608	2.89405e-022	0	0	2.89405e-022	6.45152e-054	1
1.88	43	6.55744	3.4664e-022	0	0	3.4664e-022	8.45715e-054	1
1.9	34	5.83095	4.96853e-022	0	0	4.96853e-022	1.45201e-053	1
1.92	28	5.2915	7.1129e-022	0	0	7.1129e-022	2.49006e-053	1
1.93	25	5	8.50664e-022	0	0	8.50664e-022	3.25942e-053	1
1.95	24	4.89898	1.21558e-021	0	0	1.21558e-021	5.57986e-053	1
1.96	29	5.38516	1.45243e-021	0	0	1.45243e-021	7.29753e-053	1
1.98	29	5.38516	2.07169e-021	0	0	2.07169e-021	1.2471e-052	1
1.99	35	5.91608	2.4731e-021	0	0	2.4731e-021	1.62958e-052	1
2.01	40	6.32456	3.52109e-021	0	0	3.52109e-021	2.78001e-052	1
2.03	42	6.48074	5.00705e-021	0	0	5.00705e-021	4.73708e-052	1
2.04	33	5.74456	5.9681e-021	0	0	5.9681e-021	6.18093e-052	1
2.06	25	5	8.47122e-021	0	0	8.47122e-021	1.05138e-051	1
2.07	26	5.09902	1.00879e-020	0	0	1.00879e-020	1.37065e-051	1
2.09	25	5	1.42928e-020	0	0	1.42928e-020	2.32743e-051	1
2.11	26	5.09902	2.02257e-020	0	0	2.02257e-020	3.94751e-051	1
2.12	29	5.38516	2.40491e-020	0	0	2.40491e-020	5.13875e-051	1
2.14	40	6.32456	3.39696e-020	0	0	3.39696e-020	8.70056e-051	1
2.15	26	5.09902	4.0354e-020	0	0	4.0354e-020	1.13163e-050	1
2.17	35	5.91608	5.68962e-020	0	0	5.68962e-020	1.91265e-050	1
2.18	29	5.38516	6.75279e-020	0	0	6.75279e-020	2.48549e-050	1
2.2	32	5.65685	9.50353e-020	0	0	9.50353e-020	4.19361e-050	1
2.22	43	6.55744	1.33585e-019	0	0	1.33585e-019	7.06738e-050	1
2.23	31	5.56776	1.58305e-019	0	0	1.58305e-019	9.17075e-050	1
2.25	34	5.83095	2.22112e-019	0	0	2.22112e-019	1.54283e-049	1
2.26	39	6.245	2.62973e-019	0	0	2.62973e-019	2.00026e-049	1
2.28	32	5.65685	3.68294e-019	0	0	3.68294e-019	3.35926e-049	1
