# exported by fityk 0.8.7
#9-X:x	9-X:y	9-X:s	9-X:F(x)	9-X:%_1(x)	9-X:%_2(x)	9-X:%_3(x)	9-X:a
0.79	0	1	1.74172e-074	1.74172e-074	0	3.15181e-214	1
0.81	0	1	6.13278e-074	6.13278e-074	0	4.10854e-213	1
0.82	0	1	1.14884e-073	1.14884e-073	0	1.4797e-212	1
0.84	0	1	4.01786e-073	4.01786e-073	0	1.90984e-211	1
0.86	0	1	1.39883e-072	1.39883e-072	0	2.44877e-210	1
0.87	0	1	2.60563e-072	2.60563e-072	0	8.74675e-210	1
0.89	0	1	9.01027e-072	9.01027e-072	0	1.11044e-208	1
0.9	0	1	1.67268e-071	1.67268e-071	0	3.94675e-208	1
0.92	0	1	5.74502e-071	5.74502e-071	0	4.96113e-207	1
0.93	0	1	1.0629e-070	1.0629e-070	0	1.75459e-206	1
0.95	0	1	3.62599e-070	3.62599e-070	0	2.18379e-205	1
0.97	0	1	1.23139e-069	1.23139e-069	0	2.70008e-204	1
0.98	0	1	2.26539e-069	2.26539e-069	0	9.47071e-204	1
1	0	1	7.64126e-069	7.64126e-069	0	1.15943e-202	1
1.01	0	1	1.40101e-068	1.40101e-068	0	4.04666e-202	1
1.03	0	1	4.69371e-068	4.69371e-068	0	4.90514e-201	1
1.05	0	1	1.56541e-067	1.56541e-067	0	5.90658e-200	1
1.06	0	1	2.85397e-067	2.85397e-067	0	2.04457e-199	1
1.08	0	1	9.454e-067	9.454e-067	0	2.43771e-198	1
1.09	0	1	1.71776e-066	1.71776e-066	0	8.39644e-198	1
1.11	0	1	5.65175e-066	5.65175e-066	7.76671e-321	9.91218e-197	1
1.12	0	1	1.02343e-065	1.02343e-065	5.82602e-320	3.39727e-196	1
1.14	2	1.41421	3.3445e-065	3.3445e-065	2.00809e-318	3.97099e-195	1
1.16	0	1	1.08803e-064	1.08803e-064	6.76378e-317	4.61103e-194	1
1.17	1	1	1.95912e-064	1.95912e-064	3.91157e-316	1.56737e-193	1
1.19	1	1	6.33033e-064	6.33033e-064	1.29997e-314	1.80204e-192	1
1.2	1	1	1.13598e-063	1.13598e-063	7.47064e-314	6.09515e-192	1
1.22	12	3.4641	3.64579e-063	3.64579e-063	2.45172e-312	6.93861e-191	1
1.24	24	4.89898	1.16479e-062	1.16479e-062	7.97882e-311	7.84676e-190	1
1.25	27	5.19615	2.07844e-062	2.07844e-062	4.53739e-310	2.63223e-189	1
1.27	39	6.245	6.59548e-062	6.59548e-062	1.45816e-308	2.94738e-188	1
1.28	57	7.54983	1.17291e-061	1.17291e-061	8.2402e-308	9.8382e-188	1
1.3	39	6.245	3.69681e-061	3.69681e-061	2.61498e-306	1.09074e-186	1
1.31	38	6.16441	6.55198e-061	6.55198e-061	1.46848e-305	3.62285e-186	1
1.33	58	7.61577	2.05112e-060	2.05112e-060	4.60183e-304	3.97697e-185	1
1.35	50	7.07107	6.3921e-060	6.3921e-060	1.43004e-302	4.33695e-184	1
1.36	33	5.74456	1.12651e-059	1.12651e-059	7.94675e-302	1.42864e-183	1
1.38	30	5.47723	3.48691e-059	3.48691e-059	2.43859e-300	1.54259e-182	1
1.39	42	6.48074	6.12432e-059	6.12432e-059	1.34662e-299	5.05636e-182	1
1.41	53	7.28011	1.88287e-058	1.88287e-058	4.08063e-298	5.40579e-181	1
1.42	33	5.74456	3.29582e-058	3.29582e-058	2.23924e-297	1.76317e-180	1
1.44	37	6.08276	1.00642e-057	1.00642e-057	6.70059e-296	1.86642e-179	1
1.46	36	6	3.05936e-057	3.05936e-057	1.98829e-294	1.96271e-178	1
1.47	30	5.47723	5.32501e-057	5.32501e-057	1.07968e-293	6.34895e-178	1
1.49	32	5.65685	1.60778e-056	1.60778e-056	3.1637e-292	6.61062e-177	1
1.5	42	6.48074	2.78896e-056	2.78896e-056	1.70717e-291	2.12783e-176	1
1.52	46	6.78233	8.36376e-056	8.36376e-056	4.93979e-290	2.19367e-175	1
1.54	42	6.48074	2.49688e-055	2.49688e-055	1.4174e-288	2.24666e-174	1
1.55	34	5.83095	4.30684e-055	4.30684e-055	7.56866e-288	7.17204e-174	1
1.57	34	5.83095	1.27705e-054	1.27705e-054	2.14455e-286	7.27282e-173	1
1.58	35	5.91608	2.19532e-054	2.19532e-054	1.13796e-285	2.31024e-172	1
1.6	35	5.91608	6.46548e-054	6.46548e-054	3.18402e-284	2.31959e-171	1
1.61	35	5.91608	1.10769e-053	1.10769e-053	1.67893e-283	7.33182e-171	1
1.63	37	6.08276	3.24022e-053	3.24022e-053	4.63888e-282	7.28888e-170	1
1.65	41	6.40312	9.43558e-053	9.43558e-053	1.27101e-280	7.19847e-169	1
1.66	46	6.78233	1.60742e-052	1.60742e-052	6.63205e-280	2.25659e-168	1
1.68	30	5.47723	4.64919e-052	4.64919e-052	1.79438e-278	2.20662e-167	1
1.69	32	5.65685	7.89341e-052	7.89341e-052	9.30422e-278	6.88315e-167	1
1.71	37	6.08276	2.2676e-051	2.2676e-051	2.48587e-276	6.66432e-166	1
