# exported by fityk 0.8.7
#1-Zn:x	1-Zn:y	1-Zn:s	1-Zn:F(x)	1-Zn:%_1(x)	1-Zn:%_2(x)	1-Zn:%_3(x)	1-Zn:a
0.79	0	1	2.20911e-085	9.10211e-240	0	2.20911e-085	1
0.81	0	1	9.29278e-085	1.59465e-238	0	9.29278e-085	1
0.82	0	1	1.90227e-084	6.65622e-238	0	1.90227e-084	1
0.84	0	1	7.94046e-084	1.15335e-236	0	7.94046e-084	1
0.86	0	1	3.29749e-083	1.9838e-235	0	3.29749e-083	1
0.87	0	1	6.70678e-083	8.20484e-235	0	6.70678e-083	1
0.89	0	1	2.76374e-082	1.39578e-233	0	2.76374e-082	1
0.9	0	1	5.59952e-082	5.7411e-233	0	5.59952e-082	1
0.92	0	1	2.28971e-081	9.65947e-232	0	2.28971e-081	1
0.93	0	1	4.62121e-081	3.95125e-231	0	4.62121e-081	1
0.95	0	1	1.87513e-080	6.57511e-230	0	1.87513e-080	1
0.97	0	1	7.56955e-080	1.08612e-228	0	7.56955e-080	1
0.98	0	1	1.51793e-079	4.40218e-228	0	1.51793e-079	1
1	0	1	6.08045e-079	7.19204e-227	3.56617e-320	6.08045e-079	1
1.01	0	1	1.21462e-078	2.89899e-226	2.1398e-319	1.21462e-078	1
1.03	0	1	4.82803e-078	4.68427e-225	6.88692e-318	4.82803e-078	1
1.05	0	1	1.90926e-077	7.51351e-224	2.19771e-316	1.90926e-077	1
1.06	0	1	3.78942e-077	3.00086e-223	1.23764e-315	3.78942e-077	1
1.08	0	1	1.48701e-076	4.76055e-222	3.90106e-314	1.48701e-076	1
1.09	0	1	2.93998e-076	1.89088e-221	2.18348e-313	2.93998e-076	1
1.11	0	1	1.1448e-075	2.96678e-220	6.79866e-312	1.1448e-075	1
1.12	0	1	2.25468e-075	1.17192e-219	3.7821e-311	2.25468e-075	1
1.14	0	1	8.71196e-075	1.81857e-218	1.16331e-309	8.71196e-075	1
1.16	0	1	3.34897e-074	2.80135e-217	3.54909e-308	3.34897e-074	1
1.17	0	1	6.55345e-074	1.09645e-216	1.95433e-307	6.55345e-074	1
1.19	0	1	2.49983e-073	1.67046e-215	5.8899e-306	2.49983e-073	1
1.2	7	2.64575	4.87296e-073	6.50221e-215	3.22355e-305	4.87296e-073	1
1.22	14	3.74166	1.84451e-072	9.79756e-214	9.59689e-304	1.84451e-072	1
1.24	25	5	6.94593e-072	1.46549e-212	2.83391e-302	6.94593e-072	1
1.25	41	6.40312	1.34529e-071	5.65218e-212	1.53527e-301	1.34529e-071	1
1.27	48	6.9282	5.02706e-071	8.36161e-211	4.47845e-300	5.02706e-071	1
1.28	45	6.7082	9.69892e-071	3.20722e-210	2.41141e-299	9.69892e-071	1
1.3	46	6.78233	3.59638e-070	4.69259e-209	6.94867e-298	3.59638e-070	1
1.31	44	6.63325	6.91191e-070	1.79001e-208	3.71868e-297	6.91191e-070	1
1.33	46	6.78233	2.54323e-069	2.5903e-207	1.05854e-295	2.54323e-069	1
1.35	52	7.2111	9.30974e-069	3.72091e-206	2.98871e-294	9.30974e-069	1
1.36	57	7.54983	1.77777e-068	1.40638e-205	1.58323e-293	1.77777e-068	1
1.38	34	5.83095	6.45762e-068	1.99808e-204	4.41578e-292	6.45762e-068	1
1.39	39	6.245	1.22838e-067	7.51051e-204	2.32494e-291	1.22838e-067	1
1.41	47	6.85565	4.42767e-067	1.05533e-202	6.40566e-290	4.42767e-067	1
1.42	39	6.245	8.38993e-067	3.94504e-202	3.35206e-289	8.38993e-067	1
1.44	45	6.7082	3.00087e-066	5.48253e-201	9.12329e-288	3.00087e-066	1
1.46	46	6.78233	1.06783e-065	7.5634e-200	2.46292e-286	1.06783e-065	1
1.47	45	6.7082	2.01043e-065	2.80148e-199	1.27577e-285	2.01043e-065	1
1.49	34	5.83095	7.09882e-065	3.82238e-198	3.40218e-284	7.09882e-065	1
1.5	54	7.34847	1.33137e-064	1.40802e-197	1.75155e-283	1.33137e-064	1
1.52	47	6.85565	4.66489e-064	1.90005e-196	4.61419e-282	4.66489e-064	1
1.54	52	7.2111	1.62611e-063	2.54523e-195	1.20567e-280	1.62611e-063	1
1.55	35	5.91608	3.03016e-063	9.2899e-195	6.1442e-280	3.03016e-063	1
1.57	30	5.47723	1.04814e-062	1.23079e-193	1.58594e-278	1.04814e-062	1
1.58	37	6.08276	1.94562e-062	4.46757e-193	8.03281e-278	1.94562e-062	1
1.6	40	6.32456	6.67816e-062	5.85402e-192	2.04821e-276	6.67816e-062	1
1.61	35	5.91608	1.23486e-061	2.11323e-191	1.0311e-275	1.23486e-061	1
1.63	41	6.40312	4.20594e-061	2.73867e-190	2.59714e-274	4.20594e-061	1
1.65	35	5.91608	1.42519e-060	3.52321e-189	6.48858e-273	1.42519e-060	1
1.66	48	6.9282	2.61841e-060	1.2602e-188	3.23332e-272	2.61841e-060	1
1.68	36	6	8.80426e-060	1.60343e-187	7.97976e-271	8.80426e-060	1
1.69	39	6.245	1.61132e-059	5.70368e-187	3.95214e-270	1.61132e-059	1
1.71	38	6.16441	5.37629e-059	7.17751e-186	9.63522e-269	5.37629e-059	1
1.73	33	5.74456	1.78462e-058	8.966e-185	2.32997e-267	1.78462e-058	1
1.74	40	6.32456	3.24519e-058	3.16019e-184	1.14226e-266	3.24519e-058	1
1.76	36	6	1.06893e-057	3.90435e-183	2.7286e-265	1.06893e-057	1
1.77	41	6.40312	1.93628e-057	1.36858e-182	1.32954e-264	1.93628e-057	1
1.79	40	6.32456	6.32882e-057	1.6723e-181	3.13735e-263	6.32882e-057	1
1.8	31	5.56776	1.14199e-056	5.82959e-181	1.51938e-262	1.14199e-056	1
1.82	23	4.79583	3.70394e-056	7.04519e-180	3.54175e-261	3.70394e-056	1
1.84	36	6	1.19517e-055	8.4519e-179	8.18893e-260	1.19517e-055	1
1.85	40	6.32456	2.14276e-055	2.91936e-178	3.92558e-259	2.14276e-055	1
1.87	40	6.32456	6.86096e-055	3.46384e-177	8.96604e-258	6.86096e-055	1
1.88	26	5.09902	1.22533e-054	1.18986e-176	4.2719e-257	1.22533e-054	1
1.9	28	5.2915	3.89322e-054	1.3963e-175	9.63842e-256	3.89322e-054	1
1.92	38	6.16441	1.23064e-053	1.62654e-174	2.15699e-254	1.23064e-053	1
1.93	37	6.08276	2.18374e-053	5.53619e-174	1.01728e-253	2.18374e-053	1
1.95	30	5.47723	6.84965e-053	6.37835e-173	2.24892e-252	6.84965e-053	1
1.96	40	6.32456	1.21077e-052	2.15904e-172	1.05417e-251	1.21077e-052	1
1.98	48	6.9282	3.76856e-052	2.46018e-171	2.30213e-250	3.76856e-052	1
1.99	33	5.74456	6.63579e-052	8.28177e-171	1.07253e-249	6.63579e-052	1
2.01	34	5.83095	2.04951e-051	9.33341e-170	2.31375e-248	2.04951e-051	1
2.03	26	5.09902	6.29756e-051	1.04415e-168	4.95087e-247	6.29756e-051	1
2.04	34	5.83095	1.10178e-050	3.4828e-168	2.28316e-246	1.10178e-050	1
2.06	28	5.2915	3.35941e-050	3.85356e-167	4.82602e-245	3.35941e-050	1
2.07	38	6.16441	5.85474e-050	1.2783e-166	2.21201e-244	5.85474e-050	1
2.09	36	6	1.77142e-049	1.39886e-165	4.61878e-243	1.77142e-049	1
2.11	46	6.78233	5.3321e-049	1.51959e-164	9.5659e-242	5.3321e-049	1
2.12	38	6.16441	9.23312e-049	4.99463e-164	4.34008e-241	9.23312e-049	1
2.14	21	4.58258	2.75785e-048	5.36615e-163	8.8794e-240	2.75785e-048	1
2.15	31	5.56776	4.75712e-048	1.75406e-162	4.00405e-239	4.75712e-048	1
2.17	32	5.65685	1.40998e-047	1.86387e-161	8.09232e-238	1.40998e-047	1
2.18	32	5.65685	2.42275e-047	6.05902e-161	3.62687e-237	2.42275e-047	1
2.2	45	6.7082	7.12562e-047	6.3677e-160	7.24093e-236	7.12562e-047	1
2.22	39	6.245	2.08498e-046	6.64307e-159	1.43389e-234	2.08498e-046	1
2.23	29	5.38516	3.5596e-046	2.13976e-158	6.36131e-234	3.5596e-046	1
2.25	29	5.38516	1.03354e-045	2.20781e-157	1.24438e-232	1.03354e-045	1
2.26	30	5.47723	1.75772e-045	7.07231e-157	5.48695e-232	1.75772e-045	1
2.28	36	6	5.06429e-045	7.21718e-156	1.06029e-230	5.06429e-045	1
2.3	32	5.65685	1.45162e-044	7.31106e-155	2.03227e-229	1.45162e-044	1
