# exported by fityk 0.8.7
#6-EdelStahl:x	6-EdelStahl:y	6-EdelStahl:s	6-EdelStahl:F(x)	6-EdelStahl:%_1(x)	6-EdelStahl:%_2(x)	6-EdelStahl:%_4(x)	6-EdelStahl:a
0.79	0	1	3.71646e-011	5.31224e-109	5.93425e-206	3.71646e-011	1
0.81	0	1	5.69239e-011	3.34707e-108	1.24388e-204	5.69239e-011	1
0.82	0	1	7.03624e-011	8.38074e-108	5.67418e-204	7.03624e-011	1
0.84	0	1	1.07241e-010	5.22834e-107	1.17218e-202	1.07241e-010	1
0.86	0	1	1.6291e-010	3.24022e-106	2.39811e-201	1.6291e-010	1
0.87	0	1	2.00542e-010	8.04644e-106	1.08076e-200	2.00542e-010	1
0.89	0	1	3.03142e-010	4.93753e-105	2.17913e-199	3.03142e-010	1
0.9	0	1	3.72246e-010	1.22007e-104	9.74945e-199	3.72246e-010	1
0.92	0	1	5.59919e-010	7.41285e-104	1.93737e-197	5.59919e-010	1
0.93	0	1	6.85862e-010	1.82267e-103	8.60499e-197	6.85862e-010	1
0.95	0	1	1.02656e-009	1.09648e-102	1.68524e-195	1.02656e-009	1
0.97	0	1	1.53145e-009	6.55279e-102	3.26859e-194	1.53145e-009	1
0.98	0	1	1.86821e-009	1.59794e-101	1.43427e-193	1.86821e-009	1
1	0	1	2.77331e-009	9.45539e-101	2.74162e-192	2.77331e-009	1
1.01	0	1	3.3748e-009	2.29436e-100	1.1943e-191	3.3748e-009	1
1.03	0	1	4.9851e-009	1.34423e-099	2.24994e-190	4.9851e-009	1
1.05	0	1	7.33954e-009	7.82376e-099	4.19771e-189	7.33954e-009	1
1.06	0	1	8.89466e-009	1.88283e-098	1.80656e-188	8.89466e-009	1
1.08	0	1	1.3031e-008	1.08504e-097	3.3218e-187	1.3031e-008	1
1.09	0	1	1.57531e-008	2.59829e-097	1.41923e-186	1.57531e-008	1
1.11	0	1	2.29651e-008	1.48258e-096	2.57189e-185	2.29651e-008	1
1.12	0	1	2.76938e-008	3.5327e-096	1.09087e-184	2.76938e-008	1
1.14	0	1	4.01735e-008	1.99586e-095	1.94827e-183	4.01735e-008	1
1.16	0	1	5.80851e-008	1.12017e-094	3.44598e-182	5.80851e-008	1
1.17	2	1.41421	6.97575e-008	2.64719e-094	1.44399e-181	6.97575e-008	1
1.19	0	1	1.00362e-007	1.47107e-093	2.51714e-180	1.00362e-007	1
1.2	2	1.41421	1.20233e-007	3.45925e-093	1.04712e-179	1.20233e-007	1
1.22	4	2	1.7213e-007	1.90338e-092	1.79895e-178	1.7213e-007	1
1.24	10	3.16228	2.45617e-007	1.04039e-091	3.06074e-177	2.45617e-007	1
1.25	10	3.16228	2.93037e-007	2.42637e-091	1.25791e-176	2.93037e-007	1
1.27	23	4.79583	4.16082e-007	1.31318e-090	2.10929e-175	4.16082e-007	1
1.28	20	4.47214	4.95188e-007	3.04741e-090	8.60593e-175	4.95188e-007	1
1.3	15	3.87298	6.99649e-007	1.63302e-089	1.42221e-173	6.99649e-007	1
1.31	14	3.74166	8.30612e-007	3.7709e-089	5.76056e-173	8.30612e-007	1
1.33	15	3.87298	1.16778e-006	2.00079e-088	9.38226e-172	1.16778e-006	1
1.35	20	4.47214	1.63642e-006	1.05459e-087	1.51334e-170	1.63642e-006	1
1.36	8	2.82843	1.93475e-006	2.41519e-087	6.05579e-170	1.93475e-006	1
1.38	15	3.87298	2.6978e-006	1.26046e-086	9.62673e-169	2.6978e-006	1
1.39	26	5.09902	3.18176e-006	2.87239e-086	3.8243e-168	3.18176e-006	1
1.41	17	4.12311	4.41476e-006	1.48428e-085	5.99155e-167	4.41476e-006	1
1.42	20	4.47214	5.19387e-006	3.36571e-085	2.36294e-166	5.19387e-006	1
1.44	10	3.16228	7.17108e-006	1.72205e-084	3.64852e-165	7.17108e-006	1
1.46	12	3.4641	9.86842e-006	8.7527e-084	5.57915e-164	9.86842e-006	1
1.47	16	4	1.15623e-005	1.9684e-083	2.17377e-163	1.15623e-005	1
1.49	13	3.60555	1.58329e-005	9.90617e-083	3.276e-162	1.58329e-005	1
1.5	30	5.47723	1.85047e-005	2.21679e-082	1.26715e-161	1.85047e-005	1
1.52	9	3	2.52146e-005	1.10462e-081	1.88207e-160	2.52146e-005	1
1.54	22	4.69042	3.42446e-005	5.46797e-081	2.76842e-159	3.42446e-005	1
