Stromstärke (A);Spannung (V)
-0,151;0
-0,147;0,1
-0,133;0,2
-0,108;0,3
-0,075;0,4
-0,037;0,5
0,0039;0,6
0,046;0,7
0,089;0,8
-0,134;0,21
-0,131;0,22
-0,129;0,23
-0,127;0,24
-0,125;0,25
-0,122;0,26
-0,119;0,27
-0,116;0,28
-0,114;0,29
-0,111;0,3
-0,108;0,31
-0,104;0,32
-0,101;0,33
-0,098;0,34
-0,095;0,35
-0,091;0,36
-0,088;0,37
-0,084;0,38
-0,081;0,39
-0,077;0,4
-0,073;0,41
-0,069;0,42
-0,066;0,43
-0,062;0,44
-0,058;0,45
-0,054;0,46
-0,05;0,47
-0,046;0,48
-0,042;0,49
-0,15;-0,1
-0,15;-0,2
-0,15;-0,3
-0,15;-0,4
-0,151;-0,5
-0,151;-0,6
-0,151;-0,7
-0,151;-0,8
-0,151;-0,9
-0,151;-1
