Widerstand (Ohm);Dicke (mm);Widerstand (Ohm);Dicke (mm);Widerstand (Ohm);Dicke (mm);Widerstand (Ohm);Dicke (mm);Widerstand (Ohm);Dicke (mm);Widerstand (Ohm);Dicke (mm);;;;;;;;;;;;;;;;;;;;;;;;;;
#factor;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
10;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;100;1;1000;1;1000;1;1000;1;10000;1;10000;1;100000;1;1000;1;1000;1;1000;1;1000;1
#uncertaintyFW;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.001;0.006;0.001;0.006;0.001;0.006;0.001;0.006;0.001;0.006;0.001;0.006;0.001;0.006;0.001;0.006;0.001;0.006;0.001;0.006;0.001;0.006;0.001;0.006;0.001;0.006;0.001;0.006;0.001;0.006;0.001;0.006;0.001;0.006;0.001;0.006;0.001;0.006
#start;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
0.825;0;0.214;0.018;0.203;0.02;0.241;0.022;0.435;0.031;0.512;0.034;0.885;0.036;1.083;0.039;1.474;0.041;0.227;0.044;0.411;0.047;0.968;0.051;0.371;0.057;0.952;0.06;0.477;0.065;1.132;0.072;1.153;0.08;1.198;0.089;1.235;0.105
0.769;;0.213;;0.221;;0.232;;0.425;;0.492;;0.89;;1.062;;1.448;;0.286;;0.41;;0.97;;0.404;;0.986;;0.533;;1.133;;1.153;;1.199;;1.238;
0.778;;0.213;;0.21;;0.249;;0.415;;0.478;;0.949;;1.063;;1.448;;0.235;;0.432;;1.059;;0.39;;0.994;;0.444;;1.133;;1.165;;1.33;;1.227;
0.774;;0.235;;0.225;;0.275;;0.425;;0.512;;0.822;;1.136;;1.423;;0.249;;0.417;;0.91;;0.401;;0.987;;0.493;;1.155;;1.152;;1.196;;1.246;
0.786;;0.211;;0.208;;0.231;;0.439;;0.5;;0.889;;1.041;;1.447;;0.23;;0.42;;1.004;;0.369;;1.003;;0.572;;1.177;;1.156;;1.21;;1.217;
;;;;;;;;;;;;;;;;;;;;;;;;0.375;;1.106;;;;;;;;;;;
