Filename:	C:\Program Files\Pyris\Data\F-Praktikum\WS1819\BA-C-04\Pd-Ni-P_100k-m.dsd

Temperature (°C)	Heat Flow Endo Up (mW)
200.33	0.0699
200.67	0.0702
201.00	0.0702
201.33	0.0711
201.67	0.0721
202.00	0.0739
202.33	0.0767
202.67	0.0819
203.00	0.0915
203.33	0.1070
203.67	0.1311
204.00	0.1664
204.33	0.2134
204.67	0.2734
205.00	0.3460
205.33	0.4308
205.67	0.5254
206.00	0.6284
206.33	0.7375
206.67	0.8501
207.00	0.9633
207.33	1.0740
207.67	1.1801
208.00	1.2793
208.33	1.3709
208.67	1.4525
209.00	1.5242
209.33	1.5855
209.67	1.6365
210.00	1.6761
210.33	1.7061
210.67	1.7262
211.00	1.7370
211.33	1.7398
211.67	1.7348
212.00	1.7231
212.33	1.7061
212.67	1.6838
213.00	1.6581
213.33	1.6294
213.67	1.5988
214.00	1.5666
214.33	1.5341
214.67	1.5020
215.00	1.4707
215.33	1.4401
215.67	1.4104
216.00	1.3829
216.33	1.3573
216.67	1.3331
217.00	1.3109
217.33	1.2905
217.67	1.2719
218.00	1.2549
218.33	1.2394
218.67	1.2255
219.00	1.2138
219.33	1.2036
219.67	1.1949
220.00	1.1878
220.33	1.1819
220.67	1.1779
221.00	1.1748
221.33	1.1726
221.67	1.1708
222.00	1.1699
222.33	1.1692
222.67	1.1692
223.00	1.1695
223.33	1.1705
223.67	1.1717
224.00	1.1729
224.33	1.1748
224.67	1.1770
225.00	1.1797
225.33	1.1825
225.67	1.1859
226.00	1.1896
226.33	1.1934
226.67	1.1974
227.00	1.2020
227.33	1.2070
227.67	1.2119
228.00	1.2172
228.33	1.2224
228.67	1.2274
229.00	1.2326
229.33	1.2376
229.67	1.2425
230.00	1.2478
230.33	1.2527
230.67	1.2583
231.00	1.2636
231.33	1.2688
231.67	1.2747
232.00	1.2806
232.33	1.2861
232.67	1.2917
233.00	1.2973
233.33	1.3028
233.67	1.3081
234.00	1.3127
234.33	1.3177
234.67	1.3223
235.00	1.3266
