Filename:	C:\Program Files\Pyris\Data\F-Praktikum\WS1819\BA-C-04\blei_50k-m.dsd

Temperature (°C)	Heat Flow Endo Up (mW)
100.17	0.0022
100.34	0.0022
100.50	0.0022
100.67	0.0028
100.84	0.0043
101.00	0.0077
101.17	0.0130
101.34	0.0213
101.50	0.0343
101.67	0.0543
101.84	0.0837
102.00	0.1253
102.17	0.1806
102.34	0.2516
102.50	0.3386
102.67	0.4414
102.84	0.5597
103.00	0.6915
103.17	0.8353
103.34	0.9881
103.50	1.1471
103.67	1.3101
103.84	1.4737
104.00	1.6355
104.17	1.7929
104.34	1.9445
104.50	2.0880
104.67	2.2220
104.84	2.3455
105.00	2.4578
105.17	2.5585
105.34	2.6471
105.50	2.7239
105.67	2.7894
105.84	2.8440
106.00	2.8885
106.17	2.9240
106.34	2.9508
106.50	2.9703
106.67	2.9833
106.84	2.9904
107.00	2.9925
107.17	2.9904
107.34	2.9848
107.50	2.9765
107.67	2.9660
107.84	2.9536
108.00	2.9403
108.17	2.9261
108.34	2.9116
108.50	2.8968
108.67	2.8823
108.84	2.8681
109.00	2.8545
109.17	2.8416
109.34	2.8292
109.50	2.8175
109.67	2.8070
109.84	2.7971
110.00	2.7882
110.17	2.7798
110.34	2.7727
110.50	2.7662
110.67	2.7607
110.84	2.7557
111.00	2.7514
111.17	2.7477
111.34	2.7449
111.50	2.7428
111.67	2.7412
111.84	2.7403
112.00	2.7397
112.17	2.7394
112.34	2.7394
112.50	2.7400
112.67	2.7406
112.84	2.7412
113.00	2.7422
113.17	2.7431
113.34	2.7443
113.50	2.7449
113.67	2.7459
113.84	2.7468
114.00	2.7474
114.17	2.7480
114.34	2.7483
114.50	2.7489
114.67	2.7493
114.84	2.7496
115.00	2.7496
115.17	2.7493
115.34	2.7489
115.50	2.7483
115.67	2.7477
115.84	2.7465
116.00	2.7452
116.17	2.7440
116.34	2.7425
116.50	2.7409
116.67	2.7394
116.84	2.7375
117.00	2.7357
117.17	2.7338
117.34	2.7320
117.50	2.7301
117.67	2.7283
