Filename:	C:\Program Files\Pyris\Data\F-Praktikum\WS1819\BA-C-04\blei_50k-m.dsd

Temperature (°C)	Heat Flow Endo Up (mW)
369.83	1.4231
369.67	1.4234
369.50	1.4262
369.33	1.4388
369.17	1.4737
369.00	1.5463
368.83	1.6694
368.67	1.8519
368.50	2.0954
368.33	2.3943
368.17	2.7372
368.00	3.1080
367.83	3.4877
367.67	3.8581
367.50	4.2008
367.33	4.5008
367.17	4.7456
367.00	4.9274
366.83	5.0410
366.67	5.0849
366.50	5.0605
366.33	4.9719
366.17	4.8243
366.00	4.6249
365.83	4.3807
365.67	4.1004
365.50	3.7914
365.33	3.4611
365.17	3.1172
365.00	2.7659
364.83	2.4128
364.67	2.0630
364.50	1.7204
364.33	1.3885
364.17	1.0699
364.00	0.7662
363.83	0.4791
363.67	0.2093
363.50	-0.0432
363.33	-0.2781
363.17	-0.4961
363.00	-0.6973
362.83	-0.8832
362.67	-1.0542
362.50	-1.2116
362.33	-1.3561
362.17	-1.4888
362.00	-1.6108
361.83	-1.7231
361.67	-1.8269
361.50	-1.9226
361.33	-2.0109
361.17	-2.0924
361.00	-2.1677
360.83	-2.2368
360.67	-2.3007
360.50	-2.3594
360.33	-2.4131
360.17	-2.4625
360.00	-2.5079
359.83	-2.5495
359.67	-2.5884
359.50	-2.6242
359.33	-2.6576
359.17	-2.6888
359.00	-2.7181
358.83	-2.7462
358.67	-2.7727
358.50	-2.7977
358.33	-2.8209
358.17	-2.8428
358.00	-2.8629
357.83	-2.8814
357.67	-2.8981
357.50	-2.9132
357.33	-2.9265
357.17	-2.9388
357.00	-2.9493
356.83	-2.9592
356.67	-2.9678
356.50	-2.9755
356.33	-2.9823
356.17	-2.9885
356.00	-2.9941
355.83	-2.9993
355.67	-3.0036
355.50	-3.0079
355.33	-3.0120
355.17	-3.0154
355.00	-3.0188
354.83	-3.0218
354.67	-3.0249
354.50	-3.0277
354.33	-3.0305
354.17	-3.0333
354.00	-3.0357
353.83	-3.0382
353.67	-3.0410
353.50	-3.0434
