Leistung/dBm	Spannung/V
-2.000000	0.164002
-1.757143	0.170005
-1.514286	0.176112
-1.271429	0.182228
-1.028571	0.189075
-0.785714	0.195751
-0.542857	0.202568
-0.300000	0.209523
-0.057143	0.217371
0.185714	0.224501
0.428571	0.232366
0.671429	0.240671
0.914286	0.248901
1.157143	0.257206
1.400000	0.266336
1.642857	0.275046
1.885714	0.284441
2.128571	0.293816
2.371429	0.303911
2.614286	0.314186
2.857143	0.324421
3.100000	0.335341
3.342857	0.346221
3.585714	0.357601
3.828571	0.369266
4.071429	0.381581
4.314286	0.393391
4.557143	0.405941
4.800000	0.419621
5.042857	0.432926
5.285714	0.446476
5.528571	0.460286
5.771429	0.475021
6.014286	0.490146
6.257143	0.505301
6.500000	0.521961
6.742857	0.538141
6.985714	0.554891
7.228571	0.572021
7.471429	0.590136
7.714286	0.608001
7.957143	0.626931
8.200000	0.646366
8.442857	0.666256
8.685714	0.686641
8.928571	0.707661
9.171429	0.729531
9.414286	0.751341
9.657143	0.773351
9.900000	0.797831
10.142857	0.821411
10.385714	0.846656
10.628571	0.871471
10.871429	0.898301
11.114286	0.924136
11.357143	0.950671
11.600000	0.979461
11.842857	1.008066
12.085714	1.036581
12.328571	1.066601
12.571429	1.097971
12.814286	1.129031
13.057143	1.160206
13.300000	1.193316
13.542857	1.226511
13.785714	1.260376
14.028571	1.294951
14.271429	1.331566
14.514286	1.361826
14.757143	1.361636
15.000000	1.361456
