Frequenz/GHz	Spannung/V
2.000000	0.000149
2.040000	0.000238
2.080000	0.000246
2.120000	0.000079
2.160000	0.000072
2.200000	0.000400
2.240000	0.001739
2.280000	0.005122
2.320000	0.007576
2.360000	0.007523
2.400000	0.007684
2.440000	0.009515
2.480000	0.012436
2.520000	0.014174
2.560000	0.011033
2.600000	0.005300
2.640000	0.001904
2.680000	0.000365
2.720000	0.007136
2.760000	0.014730
2.800000	0.023806
2.840000	0.041100
2.880000	0.035041
2.920000	0.023392
2.960000	0.028700
3.000000	0.029000
3.040000	0.030250
3.080000	0.027633
3.120000	0.023794
3.160000	0.021006
3.200000	0.018818
3.240000	0.016382
3.280000	0.013516
3.320000	0.011150
3.360000	0.009376
3.400000	0.007759
3.440000	0.006234
3.480000	0.004902
3.520000	0.003753
3.560000	0.002824
3.600000	0.002100
3.640000	0.001580
3.680000	0.001170
3.720000	0.000825
3.760000	0.000553
3.800000	0.000376
3.840000	0.000261
3.880000	0.000174
3.920000	0.000108
3.960000	0.000063
4.000000	0.000053
4.040000	0.000042
4.080000	0.000034
4.120000	0.000030
4.160000	0.000025
4.200000	0.000012
4.240000	0.000005
4.280000	0.000002
4.320000	0.000002
4.360000	0.000004
4.400000	0.000008
4.440000	0.000011
4.480000	0.000059
4.520000	0.000064
4.560000	0.000076
4.600000	0.000085
4.640000	0.000132
4.680000	0.000138
4.720000	0.000143
4.760000	0.000145
4.800000	0.000151
4.840000	0.000161
4.880000	0.000172
4.920000	0.000182
4.960000	0.000186
5.000000	0.000190
5.040000	0.000191
5.080000	0.000190
5.120000	0.000186
5.160000	0.000181
5.200000	0.000174
5.240000	0.000165
5.280000	0.000158
5.320000	0.000153
5.360000	0.000154
5.400000	0.000157
5.440000	0.000093
5.480000	0.000037
5.520000	0.000025
5.560000	0.000017
5.600000	0.000014
5.640000	0.000018
5.680000	0.000079
5.720000	0.000087
5.760000	0.000096
5.800000	0.000149
5.840000	0.000163
5.880000	0.000218
5.920000	0.000235
5.960000	0.000298
6.000000	0.000309
6.040000	0.000384
6.080000	0.000427
6.120000	0.000470
6.160000	0.000509
6.200000	0.000518
6.240000	0.000570
6.280000	0.000584
6.320000	0.000592
6.360000	0.000603
6.400000	0.000611
6.440000	0.000629
6.480000	0.000634
6.520000	0.000634
6.560000	0.000636
6.600000	0.000684
6.640000	0.000673
6.680000	0.000602
6.720000	0.000530
6.760000	0.000453
6.800000	0.000373
6.840000	0.000286
6.880000	0.000208
6.920000	0.000152
6.960000	0.000110
7.000000	0.000096
7.040000	0.000049
7.080000	0.000040
7.120000	0.000034
7.160000	0.000027
7.200000	0.000020
7.240000	0.000019
7.280000	0.000014
7.320000	0.000060
7.360000	0.000069
7.400000	0.000115
7.440000	0.000126
7.480000	0.000188
7.520000	0.000228
7.560000	0.000276
7.600000	0.000325
7.640000	0.000338
7.680000	0.000389
7.720000	0.000396
7.760000	0.000406
7.800000	0.000415
7.840000	0.000416
7.880000	0.000418
7.920000	0.000342
7.960000	0.000289
8.000000	0.000227
8.040000	0.000167
8.080000	0.000108
8.120000	0.000059
8.160000	0.000046
8.200000	0.000039
8.240000	0.000042
8.280000	0.000196
8.320000	0.000398
8.360000	0.000708
8.400000	0.001241
8.440000	0.002177
8.480000	0.003561
8.520000	0.005389
8.560000	0.008404
8.600000	0.014501
8.640000	0.025684
8.680000	0.033559
8.720000	0.032627
8.760000	0.036336
8.800000	0.040333
8.840000	0.029998
8.880000	0.023880
8.920000	0.025675
8.960000	0.026668
9.000000	0.022945
9.040000	0.022431
9.080000	0.025691
9.120000	0.028278
9.160000	0.028728
9.200000	0.030284
9.240000	0.033697
9.280000	0.037214
9.320000	0.039584
9.360000	0.041125
9.400000	0.043590
9.440000	0.047438
9.480000	0.050766
9.520000	0.051680
9.560000	0.051830
9.600000	0.053882
9.640000	0.058110
9.680000	0.061115
9.720000	0.060240
9.760000	0.059703
9.800000	0.064614
9.840000	0.073952
9.880000	0.075570
9.920000	0.071506
9.960000	0.078067
10.000000	0.099749
