Frequenz/GHz	Spannung/V
2.000000	0.047221
2.040000	0.038367
2.080000	0.035374
2.120000	0.034227
2.160000	0.027680
2.200000	0.021848
2.240000	0.022211
2.280000	0.025888
2.320000	0.025102
2.360000	0.025637
2.400000	0.035989
2.440000	0.053637
2.480000	0.078266
2.520000	0.088276
2.560000	0.094323
2.600000	0.092415
2.640000	0.095192
2.680000	0.098400
2.720000	0.083948
2.760000	0.098975
2.800000	0.161681
2.840000	0.207059
2.880000	0.222506
2.920000	0.272361
2.960000	0.306201
3.000000	0.342861
3.040000	0.392786
3.080000	0.424766
3.120000	0.445851
3.160000	0.454081
3.200000	0.478281
3.240000	0.494986
3.280000	0.518001
3.320000	0.521156
3.360000	0.526996
3.400000	0.542106
3.440000	0.560731
3.480000	0.578421
3.520000	0.575856
3.560000	0.585211
3.600000	0.586216
3.640000	0.595406
3.680000	0.604896
3.720000	0.605216
3.760000	0.596111
3.800000	0.595301
3.840000	0.601131
3.880000	0.613741
3.920000	0.603856
3.960000	0.588511
4.000000	0.595541
4.040000	0.604066
4.080000	0.603606
4.120000	0.592366
4.160000	0.581286
4.200000	0.591366
4.240000	0.596891
4.280000	0.591391
4.320000	0.582401
4.360000	0.579576
4.400000	0.587036
4.440000	0.595596
4.480000	0.589501
4.520000	0.584066
4.560000	0.586381
4.600000	0.591116
4.640000	0.592331
4.680000	0.586576
4.720000	0.585941
4.760000	0.591481
4.800000	0.595096
4.840000	0.600666
4.880000	0.591041
4.920000	0.591336
4.960000	0.595016
5.000000	0.596786
5.040000	0.599861
5.080000	0.594766
5.120000	0.591271
5.160000	0.592226
5.200000	0.598981
5.240000	0.606436
5.280000	0.607381
5.320000	0.600541
5.360000	0.595976
5.400000	0.584526
5.440000	0.582816
5.480000	0.579981
5.520000	0.572796
5.560000	0.574231
5.600000	0.581131
5.640000	0.586536
5.680000	0.586606
5.720000	0.585051
5.760000	0.586936
5.800000	0.590926
5.840000	0.594866
5.880000	0.593106
5.920000	0.588161
5.960000	0.586676
6.000000	0.588821
6.040000	0.592526
6.080000	0.591016
6.120000	0.588751
6.160000	0.587901
6.200000	0.590561
6.240000	0.593991
6.280000	0.593606
6.320000	0.594251
6.360000	0.591821
6.400000	0.587901
6.440000	0.583666
6.480000	0.582906
6.520000	0.583826
6.560000	0.582301
6.600000	0.581536
6.640000	0.582506
6.680000	0.588371
6.720000	0.585091
6.760000	0.577126
6.800000	0.575461
6.840000	0.575156
6.880000	0.579671
6.920000	0.578336
6.960000	0.577611
7.000000	0.574681
7.040000	0.579181
7.080000	0.581311
7.120000	0.577391
7.160000	0.572041
7.200000	0.574626
7.240000	0.583186
7.280000	0.586396
7.320000	0.581436
7.360000	0.580156
7.400000	0.592026
7.440000	0.601206
7.480000	0.595751
7.520000	0.590551
7.560000	0.597351
7.600000	0.603371
7.640000	0.594186
7.680000	0.588616
7.720000	0.589181
7.760000	0.592621
7.800000	0.594726
7.840000	0.597226
7.880000	0.598596
7.920000	0.598016
7.960000	0.592366
8.000000	0.584361
8.040000	0.586046
8.080000	0.592261
8.120000	0.589466
8.160000	0.571511
8.200000	0.560856
8.240000	0.572801
8.280000	0.580706
8.320000	0.560141
8.360000	0.547301
8.400000	0.554561
8.440000	0.572306
8.480000	0.557626
8.520000	0.520011
8.560000	0.501381
8.600000	0.480221
8.640000	0.418961
8.680000	0.244871
8.720000	0.091192
8.760000	0.038489
8.800000	0.047769
8.840000	0.078131
8.880000	0.127775
8.920000	0.211331
8.960000	0.283216
9.000000	0.293201
9.040000	0.316371
9.080000	0.371946
9.120000	0.405401
9.160000	0.400366
9.200000	0.409896
9.240000	0.433051
9.280000	0.441901
9.320000	0.438261
9.360000	0.445966
9.400000	0.450616
9.440000	0.450346
9.480000	0.456751
9.520000	0.457391
9.560000	0.437061
9.600000	0.417371
9.640000	0.417101
9.680000	0.422321
9.720000	0.396196
9.760000	0.356206
9.800000	0.356246
9.840000	0.389291
9.880000	0.378866
9.920000	0.330966
9.960000	0.323671
10.000000	0.364161
