dBm	Spannung/V
-20.000000	0.006314
-19.500000	0.006957
-19.000000	0.007792
-18.500000	0.008540
-18.000000	0.009463
-17.500000	0.010418
-17.000000	0.011633
-16.500000	0.012827
-16.000000	0.014106
-15.500000	0.015788
-15.000000	0.017383
-14.500000	0.019106
-14.000000	0.020982
-13.500000	0.023410
-13.000000	0.025635
-12.500000	0.028400
-12.000000	0.031038
-11.500000	0.033967
-11.000000	0.037194
-10.500000	0.040562
-10.000000	0.044244
-9.500000	0.048224
-9.000000	0.052214
-8.500000	0.057043
-8.000000	0.061875
-7.500000	0.067012
-7.000000	0.072739
-6.500000	0.078748
-6.000000	0.085001
-5.500000	0.092172
-5.000000	0.099692
-4.500000	0.107597
-4.000000	0.116149
-3.500000	0.125086
-3.000000	0.134692
-2.500000	0.154515
-2.000000	0.165829
-1.500000	0.178135
-1.000000	0.191139
-0.500000	0.204467
0.000000	0.217956
0.500000	0.234256
1.000000	0.249461
1.500000	0.267896
2.000000	0.286231
2.500000	0.305581
3.000000	0.326416
3.500000	0.347896
4.000000	0.371856
4.500000	0.396616
5.000000	0.422686
5.500000	0.450386
6.000000	0.480721
6.500000	0.511566
7.000000	0.544471
7.500000	0.579576
8.000000	0.616356
8.500000	0.655086
9.000000	0.697321
9.500000	0.740971
10.000000	0.787406
10.500000	0.833726
11.000000	0.886096
11.500000	0.940441
12.000000	0.998271
12.500000	1.058756
13.000000	1.122466
13.500000	1.187241
14.000000	1.258951
14.500000	1.331681
15.000000	1.408546
