Frequenz/GHz	Spannung/V
0.250000	0.206476
0.295000	0.156043
0.340000	0.219346
0.385000	0.247951
0.430000	0.240901
0.475000	0.263256
0.520000	0.199241
0.565000	0.289601
0.610000	0.277251
0.655000	0.268446
0.700000	0.306936
0.745000	0.317121
0.790000	0.280331
0.835000	0.285651
0.880000	0.303556
0.925000	0.384946
0.970000	0.349131
1.015000	0.273431
1.060000	0.313341
1.105000	0.366626
1.150000	0.420946
1.195000	0.348106
1.240000	0.313031
1.285000	0.396501
1.330000	0.433046
1.375000	0.394551
1.420000	0.373326
1.465000	0.366661
1.510000	0.491951
1.555000	0.414556
1.600000	0.377031
1.645000	0.409756
1.690000	0.445801
1.735000	0.523456
1.780000	0.435511
1.825000	0.423666
1.870000	0.466806
1.915000	0.505956
1.960000	0.503781
2.005000	0.473776
2.050000	0.488201
2.095000	0.535476
2.140000	0.527581
2.185000	0.495156
2.230000	0.503526
2.275000	0.534816
2.320000	0.535861
2.365000	0.508051
2.410000	0.509571
2.455000	0.538951
2.500000	0.550386
2.545000	0.525671
2.590000	0.513111
2.635000	0.538541
2.680000	0.564276
2.725000	0.548251
2.770000	0.523081
2.815000	0.537221
2.860000	0.568791
2.905000	0.563326
2.950000	0.537106
2.995000	0.539866
3.040000	0.570436
3.085000	0.580991
3.130000	0.560866
3.175000	0.554711
3.220000	0.575821
3.265000	0.591746
3.310000	0.577811
3.355000	0.564446
3.400000	0.577756
3.445000	0.593366
3.490000	0.589476
3.535000	0.576916
3.580000	0.578101
3.625000	0.591486
3.670000	0.594506
3.715000	0.585381
3.760000	0.578301
3.805000	0.584726
3.850000	0.595531
3.895000	0.591046
3.940000	0.580946
3.985000	0.580761
4.030000	0.592746
4.075000	0.591921
4.120000	0.573866
4.165000	0.574111
4.210000	0.582756
4.255000	0.594681
4.300000	0.582361
4.345000	0.568476
4.390000	0.586896
4.435000	0.594106
4.480000	0.568321
4.525000	0.557821
4.570000	0.560991
4.615000	0.585646
4.660000	0.586541
4.705000	0.576931
4.750000	0.538616
4.795000	0.557936
4.840000	0.570111
4.885000	0.554216
4.930000	0.566086
4.975000	0.569821
5.020000	0.586516
5.065000	0.584936
5.110000	0.570986
5.155000	0.565961
5.200000	0.573916
5.245000	0.581526
5.290000	0.562061
5.335000	0.570986
5.380000	0.580896
5.425000	0.576296
5.470000	0.582066
5.515000	0.580566
5.560000	0.581331
5.605000	0.576956
5.650000	0.561806
5.695000	0.569241
5.740000	0.589596
5.785000	0.578531
5.830000	0.584636
5.875000	0.586676
5.920000	0.575631
5.965000	0.575271
6.010000	0.572141
6.055000	0.573976
6.100000	0.573641
6.145000	0.571606
6.190000	0.571081
6.235000	0.571516
6.280000	0.581091
6.325000	0.579746
6.370000	0.573651
6.415000	0.579396
6.460000	0.580541
6.505000	0.580431
6.550000	0.580041
6.595000	0.584891
6.640000	0.587636
6.685000	0.584271
6.730000	0.580931
6.775000	0.577336
6.820000	0.571581
6.865000	0.564851
6.910000	0.560516
6.955000	0.565681
7.000000	0.566486
7.045000	0.567481
7.090000	0.569541
7.135000	0.569446
7.180000	0.567621
7.225000	0.568796
7.270000	0.579431
7.315000	0.580436
7.360000	0.572976
7.405000	0.578181
7.450000	0.581866
7.495000	0.578101
7.540000	0.571931
7.585000	0.570251
7.630000	0.578226
7.675000	0.580051
7.720000	0.577046
7.765000	0.573151
7.810000	0.573451
7.855000	0.580791
7.900000	0.577121
7.945000	0.570701
7.990000	0.570121
8.035000	0.575781
8.080000	0.579011
8.125000	0.563871
8.170000	0.560891
8.215000	0.573566
8.260000	0.579841
8.305000	0.572496
8.350000	0.565116
8.395000	0.575966
8.440000	0.586866
8.485000	0.578246
8.530000	0.572856
8.575000	0.582801
8.620000	0.598566
8.665000	0.587256
8.710000	0.568991
8.755000	0.573601
8.800000	0.582601
8.845000	0.579346
8.890000	0.566306
8.935000	0.562781
8.980000	0.575891
9.025000	0.577171
9.070000	0.564226
9.115000	0.556606
9.160000	0.567211
9.205000	0.584271
9.250000	0.575131
9.295000	0.567826
9.340000	0.584906
9.385000	0.591966
9.430000	0.576521
9.475000	0.573596
9.520000	0.580971
9.565000	0.584866
9.610000	0.580071
9.655000	0.576111
9.700000	0.569266
9.745000	0.570426
9.790000	0.576941
9.835000	0.578581
9.880000	0.571956
9.925000	0.572781
9.970000	0.584151
10.015000	0.583706
10.060000	0.571146
10.105000	0.576371
10.150000	0.582531
10.195000	0.589376
10.240000	0.586231
10.285000	0.576316
10.330000	0.580191
10.375000	0.583961
10.420000	0.576741
10.465000	0.577691
10.510000	0.581216
10.555000	0.599731
10.600000	0.599066
10.645000	0.585371
10.690000	0.585286
10.735000	0.587886
10.780000	0.596166
10.825000	0.592726
10.870000	0.589626
10.915000	0.597261
10.960000	0.598531
11.005000	0.593971
11.050000	0.581791
11.095000	0.577526
11.140000	0.596656
11.185000	0.598011
11.230000	0.583081
11.275000	0.584841
11.320000	0.595821
11.365000	0.603666
11.410000	0.591926
11.455000	0.590701
11.500000	0.598481
11.545000	0.600541
11.590000	0.601096
11.635000	0.593481
11.680000	0.588901
11.725000	0.597416
11.770000	0.600021
11.815000	0.591411
11.860000	0.581706
11.905000	0.589076
11.950000	0.597086
11.995000	0.581811
12.040000	0.579341
12.085000	0.593686
12.130000	0.596021
12.175000	0.589126
12.220000	0.585391
12.265000	0.587031
12.310000	0.589411
12.355000	0.584486
12.400000	0.580711
12.445000	0.580991
12.490000	0.582536
12.535000	0.582736
12.580000	0.579291
12.625000	0.574561
12.670000	0.571031
12.715000	0.572506
12.760000	0.569181
12.805000	0.563661
12.850000	0.562236
12.895000	0.563011
12.940000	0.566246
12.985000	0.568576
13.030000	0.562811
13.075000	0.563586
13.120000	0.572476
13.165000	0.574176
13.210000	0.569201
13.255000	0.571476
13.300000	0.577226
13.345000	0.580081
13.390000	0.575941
13.435000	0.566006
13.480000	0.559871
13.525000	0.561161
13.570000	0.566316
13.615000	0.561646
13.660000	0.554211
13.705000	0.570856
13.750000	0.587796
13.795000	0.572371
13.840000	0.564816
13.885000	0.582986
13.930000	0.595711
13.975000	0.587921
14.020000	0.585636
14.065000	0.595631
14.110000	0.599061
14.155000	0.589496
14.200000	0.576911
14.245000	0.567391
14.290000	0.575521
14.335000	0.584716
14.380000	0.568891
14.425000	0.556611
14.470000	0.574021
14.515000	0.590866
14.560000	0.571746
14.605000	0.561301
14.650000	0.588691
14.695000	0.603531
14.740000	0.590671
14.785000	0.582371
14.830000	0.586651
14.875000	0.596026
14.920000	0.594386
14.965000	0.576531
15.010000	0.568011
15.055000	0.579521
15.100000	0.588461
15.145000	0.570416
15.190000	0.558596
15.235000	0.581046
15.280000	0.596671
15.325000	0.581596
15.370000	0.573801
15.415000	0.586941
15.460000	0.594841
15.505000	0.584846
15.550000	0.580156
15.595000	0.587006
15.640000	0.594386
15.685000	0.595846
15.730000	0.583336
15.775000	0.576191
15.820000	0.592091
15.865000	0.604806
15.910000	0.589871
15.955000	0.589881
16.000000	0.608081
16.045000	0.605411
16.090000	0.594476
16.135000	0.596371
16.180000	0.597146
16.225000	0.592221
16.270000	0.583681
16.315000	0.575131
16.360000	0.572446
16.405000	0.565721
16.450000	0.569911
16.495000	0.578916
16.540000	0.572431
16.585000	0.572226
16.630000	0.592651
16.675000	0.598116
16.720000	0.594211
16.765000	0.602146
16.810000	0.611421
16.855000	0.606921
16.900000	0.600021
16.945000	0.595561
16.990000	0.587931
17.035000	0.577931
17.080000	0.576306
17.125000	0.571311
17.170000	0.549866
17.215000	0.543591
17.260000	0.564821
17.305000	0.562496
17.350000	0.539656
17.395000	0.552216
17.440000	0.580496
17.485000	0.572771
17.530000	0.560141
17.575000	0.572021
17.620000	0.586501
17.665000	0.584761
17.710000	0.573321
17.755000	0.564251
17.800000	0.563631
17.845000	0.566696
17.890000	0.557196
17.935000	0.537121
17.980000	0.536346
18.025000	0.557226
18.070000	0.551976
18.115000	0.523911
18.160000	0.531996
18.205000	0.561761
18.250000	0.553961
