Frequenz/GHz	Spannung/V
2.500000	0.267801
2.505000	0.276911
2.510000	0.432906
2.515000	0.464311
2.520000	0.495746
2.525000	0.496801
2.530000	0.496586
2.535000	0.494536
2.540000	0.492821
2.545000	0.490136
2.550000	0.486536
2.555000	0.482211
2.560000	0.457746
2.565000	0.478046
2.570000	0.477791
2.575000	0.469096
2.580000	0.467111
2.585000	0.468816
2.590000	0.435201
2.595000	0.427821
2.600000	0.423831
2.605000	0.348761
2.610000	0.096643
2.615000	0.364806
2.620000	0.434886
2.625000	0.454136
2.630000	0.463781
2.635000	0.470811
2.640000	0.482511
2.645000	0.518331
2.650000	0.486451
2.655000	0.508306
2.660000	0.493551
2.665000	0.503346
2.670000	0.479986
2.675000	0.522066
2.680000	0.522831
2.685000	0.511986
2.690000	0.489101
2.695000	0.514561
2.700000	0.485641
2.705000	0.481496
2.710000	0.414356
2.715000	0.121294
2.720000	0.338311
2.725000	0.462796
2.730000	0.484191
2.735000	0.457651
2.740000	0.458106
2.745000	0.456206
2.750000	0.455516
2.755000	0.453831
2.760000	0.449636
2.765000	0.446046
2.770000	0.468796
2.775000	0.470511
2.780000	0.469496
2.785000	0.467201
2.790000	0.463866
2.795000	0.457181
2.800000	0.444906
2.805000	0.465141
2.810000	0.462001
2.815000	0.421911
2.820000	0.272991
2.825000	0.198566
2.830000	0.402491
2.835000	0.450176
2.840000	0.468411
2.845000	0.479526
2.850000	0.472781
2.855000	0.457601
2.860000	0.511466
2.865000	0.517716
2.870000	0.527746
2.875000	0.529876
2.880000	0.530001
2.885000	0.530456
2.890000	0.530226
2.895000	0.528426
2.900000	0.525386
2.905000	0.520566
2.910000	0.513156
2.915000	0.500391
2.920000	0.471116
2.925000	0.347016
2.930000	0.098964
2.935000	0.374891
2.940000	0.449916
2.945000	0.471811
2.950000	0.479926
2.955000	0.487581
2.960000	0.490531
2.965000	0.484476
2.970000	0.486436
2.975000	0.488931
2.980000	0.488896
2.985000	0.489581
2.990000	0.490991
2.995000	0.492681
3.000000	0.492876
3.005000	0.493606
3.010000	0.493011
3.015000	0.491336
3.020000	0.487381
3.025000	0.467041
3.030000	0.397811
3.035000	0.118727
3.040000	0.349576
3.045000	0.473391
3.050000	0.505476
3.055000	0.518096
3.060000	0.524496
3.065000	0.536556
3.070000	0.539976
3.075000	0.540186
3.080000	0.541921
3.085000	0.541346
3.090000	0.538831
3.095000	0.535211
3.100000	0.530831
3.105000	0.527061
3.110000	0.521991
3.115000	0.515326
3.120000	0.507821
3.125000	0.497071
3.130000	0.476771
3.135000	0.428656
3.140000	0.257201
3.145000	0.196501
3.150000	0.419271
3.155000	0.468471
3.160000	0.483101
3.165000	0.488951
3.170000	0.491581
3.175000	0.491606
3.180000	0.492011
3.185000	0.493651
3.190000	0.496626
3.195000	0.499771
3.200000	0.502206
3.205000	0.504756
3.210000	0.505116
3.215000	0.506721
3.220000	0.509786
3.225000	0.510946
3.230000	0.509336
3.235000	0.499021
3.240000	0.469221
3.245000	0.350211
3.250000	0.092003
3.255000	0.405956
3.260000	0.488036
3.265000	0.514126
3.270000	0.523916
3.275000	0.527711
3.280000	0.529216
3.285000	0.528636
3.290000	0.528411
3.295000	0.520896
3.300000	0.520321
3.305000	0.513721
3.310000	0.511456
3.315000	0.508951
3.320000	0.506536
3.325000	0.503971
3.330000	0.500501
3.335000	0.495736
3.340000	0.486526
3.345000	0.465211
3.350000	0.395626
3.355000	0.127325
3.360000	0.304916
3.365000	0.445046
3.370000	0.483486
3.375000	0.498391
3.380000	0.506116
3.385000	0.510721
3.390000	0.514096
3.395000	0.518156
3.400000	0.519911
3.405000	0.521911
3.410000	0.524711
3.415000	0.526811
3.420000	0.527876
3.425000	0.528711
3.430000	0.529311
3.435000	0.528741
3.440000	0.527151
3.445000	0.521036
3.450000	0.503566
3.455000	0.454766
3.460000	0.266976
3.465000	0.215791
3.470000	0.450931
3.475000	0.508976
3.480000	0.527296
3.485000	0.534081
3.490000	0.535916
3.495000	0.535486
3.500000	0.533681
