Frequenz/GHz	Spannung/V
3.000000	0.146660
3.030000	0.164672
3.060000	0.172215
3.090000	0.165254
3.120000	0.154661
3.150000	0.148743
3.180000	0.150695
3.210000	0.155544
3.240000	0.158085
3.270000	0.152935
3.300000	0.141779
3.330000	0.132376
3.360000	0.128292
3.390000	0.128062
3.420000	0.126908
3.450000	0.120822
3.480000	0.112734
3.510000	0.104056
3.540000	0.097546
3.570000	0.093248
3.600000	0.087481
3.630000	0.083071
3.660000	0.077362
3.690000	0.069403
3.720000	0.062726
3.750000	0.057763
3.780000	0.053275
3.810000	0.048091
3.840000	0.043155
3.870000	0.037833
3.900000	0.032438
3.930000	0.026987
3.960000	0.022287
3.990000	0.018394
4.020000	0.015138
4.050000	0.011895
4.080000	0.008841
4.110000	0.006198
4.140000	0.004145
4.170000	0.002646
4.200000	0.001608
4.230000	0.000929
4.260000	0.000603
4.290000	0.000606
4.320000	0.000918
4.350000	0.001489
4.380000	0.002307
4.410000	0.003329
4.440000	0.004441
4.470000	0.005544
4.500000	0.006662
4.530000	0.007921
4.560000	0.009404
4.590000	0.011003
4.620000	0.012494
4.650000	0.013671
4.680000	0.014579
4.710000	0.015448
4.740000	0.016600
4.770000	0.018008
4.800000	0.019370
4.830000	0.020307
4.860000	0.020696
4.890000	0.020873
4.920000	0.021204
4.950000	0.021874
4.980000	0.022676
5.010000	0.023263
5.040000	0.023395
5.070000	0.023160
5.100000	0.022863
5.130000	0.022713
5.160000	0.022700
5.190000	0.022694
5.220000	0.022488
5.250000	0.021958
5.280000	0.021258
5.310000	0.020444
5.340000	0.019709
5.370000	0.019026
5.400000	0.018437
5.430000	0.017727
5.460000	0.016795
5.490000	0.015754
5.520000	0.014636
5.550000	0.013620
5.580000	0.012715
5.610000	0.011791
5.640000	0.010820
5.670000	0.009797
5.700000	0.008799
5.730000	0.007907
5.760000	0.007103
5.790000	0.006366
5.820000	0.005677
5.850000	0.005084
5.880000	0.004581
5.910000	0.004186
5.940000	0.003890
5.970000	0.003694
6.000000	0.003618
6.030000	0.003672
6.060000	0.003847
6.090000	0.004135
6.120000	0.004527
6.150000	0.005004
6.180000	0.005572
6.210000	0.006265
6.240000	0.007073
6.270000	0.007974
6.300000	0.008938
6.330000	0.009902
6.360000	0.010930
6.390000	0.012009
6.420000	0.013150
6.450000	0.014335
6.480000	0.015460
6.510000	0.016304
6.540000	0.017611
6.570000	0.018698
6.600000	0.019631
6.630000	0.020619
6.660000	0.021691
6.690000	0.022710
6.720000	0.023632
6.750000	0.024473
6.780000	0.025531
6.810000	0.026164
6.840000	0.026898
6.870000	0.027504
6.900000	0.028049
6.930000	0.028337
6.960000	0.028340
6.990000	0.028512
7.020000	0.028730
7.050000	0.028829
7.080000	0.028649
7.110000	0.028255
7.140000	0.027584
7.170000	0.027041
7.200000	0.026676
7.230000	0.026276
7.260000	0.025624
7.290000	0.024530
7.320000	0.023281
7.350000	0.022138
7.380000	0.021080
7.410000	0.020410
7.440000	0.019277
7.470000	0.017800
7.500000	0.016152
7.530000	0.014666
7.560000	0.013404
7.590000	0.012216
7.620000	0.010979
7.650000	0.009608
7.680000	0.008419
7.710000	0.007400
7.740000	0.006594
7.770000	0.006018
7.800000	0.005658
7.830000	0.005569
7.860000	0.005752
7.890000	0.006280
7.920000	0.007102
7.950000	0.008253
7.980000	0.009761
8.010000	0.011507
8.040000	0.013450
8.070000	0.015843
8.100000	0.018194
8.130000	0.020648
8.160000	0.022733
8.190000	0.024938
8.220000	0.027172
8.250000	0.029490
8.280000	0.031345
8.310000	0.031210
8.340000	0.029049
8.370000	0.024678
8.400000	0.017512
8.430000	0.007391
8.460000	0.005745
8.490000	0.051455
8.520000	0.114254
8.550000	0.140121
8.580000	0.157692
8.610000	0.178875
8.640000	0.186447
8.670000	0.173350
8.700000	0.160112
8.730000	0.156781
8.760000	0.166370
8.790000	0.184618
8.820000	0.195312
8.850000	0.185428
8.880000	0.168966
8.910000	0.163863
8.940000	0.175323
8.970000	0.199627
9.000000	0.213136
