Frequenz/GHz	Spannung/V
3.000000	0.391366
3.030000	0.432831
3.060000	0.454436
3.090000	0.453261
3.120000	0.449211
3.150000	0.455251
3.180000	0.476976
3.210000	0.503176
3.240000	0.521376
3.270000	0.522996
3.300000	0.516441
3.330000	0.513891
3.360000	0.521616
3.390000	0.538491
3.420000	0.552631
3.450000	0.557271
3.480000	0.554441
3.510000	0.550711
3.540000	0.553891
3.570000	0.563501
3.600000	0.574711
3.630000	0.583036
3.660000	0.585711
3.690000	0.586401
3.720000	0.587271
3.750000	0.589166
3.780000	0.592551
3.810000	0.597131
3.840000	0.601591
3.870000	0.605461
3.900000	0.607451
3.930000	0.603856
3.960000	0.598701
3.990000	0.597586
4.020000	0.603866
4.050000	0.610141
4.080000	0.610726
4.110000	0.603601
4.140000	0.596616
4.170000	0.595751
4.200000	0.603071
4.230000	0.609866
4.260000	0.607516
4.290000	0.598211
4.320000	0.591096
4.350000	0.589546
4.380000	0.595026
4.410000	0.600751
4.440000	0.601866
4.470000	0.596856
4.500000	0.591396
4.530000	0.589711
4.560000	0.596066
4.590000	0.605091
4.620000	0.609786
4.650000	0.607346
4.680000	0.602396
4.710000	0.598211
4.740000	0.600121
4.770000	0.607381
4.800000	0.615371
4.830000	0.618401
4.860000	0.614001
4.890000	0.607456
4.920000	0.604951
4.950000	0.608456
4.980000	0.612811
5.010000	0.615036
5.040000	0.615176
5.070000	0.610751
5.100000	0.607211
5.130000	0.607536
5.160000	0.608041
5.190000	0.613236
5.220000	0.615286
5.250000	0.615786
5.280000	0.615906
5.310000	0.612616
5.340000	0.612771
5.370000	0.612451
5.400000	0.616726
5.430000	0.621621
5.460000	0.623551
5.490000	0.625891
5.520000	0.622241
5.550000	0.622951
5.580000	0.625551
5.610000	0.627951
5.640000	0.631861
5.670000	0.627571
5.700000	0.627876
5.730000	0.626576
5.760000	0.626356
5.790000	0.630716
5.820000	0.627631
5.850000	0.629541
5.880000	0.628236
5.910000	0.625006
5.940000	0.625836
5.970000	0.620666
6.000000	0.619876
6.030000	0.619621
6.060000	0.616591
6.090000	0.618781
6.120000	0.615566
6.150000	0.613491
6.180000	0.611651
6.210000	0.609601
6.240000	0.612261
6.270000	0.611521
6.300000	0.615261
6.330000	0.614511
6.360000	0.613836
6.390000	0.616226
6.420000	0.615896
6.450000	0.619071
6.480000	0.616716
6.510000	0.617061
6.540000	0.618171
6.570000	0.616241
6.600000	0.617761
6.630000	0.614491
6.660000	0.613321
6.690000	0.611191
6.720000	0.608561
6.750000	0.609391
6.780000	0.609226
6.810000	0.614076
6.840000	0.615971
6.870000	0.619641
6.900000	0.624751
6.930000	0.622076
6.960000	0.621631
6.990000	0.616826
7.020000	0.615561
7.050000	0.616531
7.080000	0.615331
7.110000	0.616286
7.140000	0.609846
7.170000	0.607961
7.200000	0.609261
7.230000	0.611351
7.260000	0.620571
7.290000	0.619161
7.320000	0.618676
7.350000	0.614291
7.380000	0.612431
7.410000	0.619666
7.440000	0.623141
7.470000	0.625681
7.500000	0.621391
7.530000	0.613831
7.560000	0.612561
7.590000	0.613261
7.620000	0.618256
7.650000	0.619241
7.680000	0.616301
7.710000	0.611851
7.740000	0.607921
7.770000	0.608601
7.800000	0.608761
7.830000	0.612101
7.860000	0.611511
7.890000	0.610546
7.920000	0.608706
7.950000	0.603411
7.980000	0.603171
8.010000	0.597971
8.040000	0.601336
8.070000	0.602466
8.100000	0.599996
8.130000	0.593961
8.160000	0.583041
8.190000	0.581841
8.220000	0.586566
8.250000	0.596321
8.280000	0.600601
8.310000	0.591131
8.340000	0.578956
8.370000	0.567581
8.400000	0.555426
8.430000	0.533611
8.460000	0.479901
8.490000	0.331461
8.520000	0.068269
8.550000	0.116001
8.580000	0.258006
8.610000	0.374221
8.640000	0.435096
8.670000	0.427651
8.700000	0.410691
8.730000	0.410681
8.760000	0.435481
8.790000	0.478931
8.820000	0.496541
8.850000	0.466901
8.880000	0.424541
8.910000	0.405741
8.940000	0.424041
8.970000	0.469761
9.000000	0.488126
