Frequenz/GHz	Spannung/V
1.000000	0.003106
1.020000	0.003060
1.040000	0.004117
1.060000	0.006243
1.080000	0.010441
1.100000	0.016056
1.120000	0.023912
1.140000	0.035541
1.160000	0.054383
1.180000	0.067302
1.200000	0.070440
1.220000	0.069699
1.240000	0.074195
1.260000	0.080600
1.280000	0.093939
1.300000	0.105969
1.320000	0.104608
1.340000	0.087148
1.360000	0.064935
1.380000	0.052264
1.400000	0.051126
1.420000	0.055989
1.440000	0.059631
1.460000	0.062673
1.480000	0.072652
1.500000	0.096323
1.520000	0.122873
1.540000	0.118102
1.560000	0.101530
1.580000	0.098856
1.600000	0.106524
1.620000	0.120916
1.640000	0.129418
1.660000	0.126215
1.680000	0.126381
1.700000	0.130964
1.720000	0.137578
1.740000	0.120080
1.760000	0.099752
1.780000	0.076395
1.800000	0.068418
1.820000	0.064137
1.840000	0.059848
1.860000	0.053556
1.880000	0.046742
1.900000	0.040240
1.920000	0.037250
1.940000	0.033157
1.960000	0.025201
1.980000	0.018500
2.000000	0.014356
2.020000	0.010367
2.040000	0.008134
2.060000	0.005564
2.080000	0.004214
2.100000	0.003618
2.120000	0.003119
2.140000	0.003064
2.160000	0.003495
2.180000	0.004234
2.200000	0.005400
2.220000	0.006311
2.240000	0.007757
2.260000	0.009973
2.280000	0.012075
2.300000	0.014924
2.320000	0.016587
2.340000	0.015487
2.360000	0.017036
2.380000	0.017136
2.400000	0.017663
2.420000	0.018915
2.440000	0.019613
2.460000	0.021109
2.480000	0.022149
2.500000	0.022790
2.520000	0.022560
2.540000	0.021226
2.560000	0.020026
2.580000	0.019045
2.600000	0.018407
2.620000	0.018691
2.640000	0.018607
2.660000	0.018852
2.680000	0.019154
2.700000	0.018078
2.720000	0.016516
2.740000	0.015312
2.760000	0.013422
2.780000	0.012343
2.800000	0.011222
2.820000	0.010823
2.840000	0.010080
2.860000	0.009302
2.880000	0.008589
2.900000	0.007923
2.920000	0.007124
2.940000	0.006515
2.960000	0.006039
2.980000	0.005719
3.000000	0.005615
3.020000	0.005709
3.040000	0.005795
3.060000	0.005954
3.080000	0.006304
3.100000	0.006516
3.120000	0.006706
3.140000	0.006861
3.160000	0.007280
3.180000	0.007883
3.200000	0.008469
3.220000	0.009489
3.240000	0.010663
3.260000	0.011659
3.280000	0.012403
3.300000	0.013116
3.320000	0.013376
3.340000	0.013502
3.360000	0.013800
3.380000	0.014242
3.400000	0.014804
3.420000	0.015553
3.440000	0.015936
3.460000	0.016026
3.480000	0.015942
3.500000	0.015566
3.520000	0.014870
3.540000	0.014139
3.560000	0.013650
3.580000	0.012887
3.600000	0.012741
3.620000	0.012170
3.640000	0.012021
3.660000	0.011477
3.680000	0.010403
3.700000	0.009160
3.720000	0.007740
3.740000	0.006345
3.760000	0.004894
3.780000	0.003819
3.800000	0.002886
3.820000	0.002183
3.840000	0.001764
3.860000	0.001732
3.880000	0.002100
3.900000	0.003054
3.920000	0.004439
3.940000	0.006321
3.960000	0.008774
3.980000	0.012033
4.000000	0.015587
4.020000	0.020448
4.040000	0.025328
4.060000	0.030812
4.080000	0.036138
4.100000	0.041342
4.120000	0.046287
4.140000	0.051169
4.160000	0.056445
4.180000	0.062580
4.200000	0.069706
4.220000	0.077529
4.240000	0.084591
4.260000	0.088859
4.280000	0.092294
4.300000	0.094688
4.320000	0.096080
4.340000	0.097788
4.360000	0.099820
4.380000	0.100224
4.400000	0.098827
4.420000	0.126135
4.440000	0.140976
4.460000	0.138400
4.480000	0.133697
4.500000	0.131158
4.520000	0.131077
4.540000	0.133865
4.560000	0.139978
4.580000	0.145881
4.600000	0.155369
4.620000	0.158365
4.640000	0.157174
4.660000	0.155498
4.680000	0.154893
4.700000	0.156539
4.720000	0.161605
4.740000	0.168089
4.760000	0.177300
4.780000	0.182460
4.800000	0.187425
4.820000	0.188533
4.840000	0.190538
4.860000	0.192436
4.880000	0.197944
4.900000	0.207007
4.920000	0.215156
4.940000	0.226361
4.960000	0.231071
4.980000	0.237451
5.000000	0.240556
