Frequenz/GHz	Spannung/V
1.000000	0.094358
1.020000	0.101409
1.040000	0.108317
1.060000	0.114417
1.080000	0.121643
1.100000	0.119286
1.120000	0.127801
1.140000	0.157695
1.160000	0.176547
1.180000	0.176162
1.200000	0.149990
1.220000	0.125194
1.240000	0.118452
1.260000	0.127195
1.280000	0.151656
1.300000	0.182725
1.320000	0.203781
1.340000	0.208588
1.360000	0.200051
1.380000	0.192966
1.400000	0.187952
1.420000	0.179444
1.440000	0.166535
1.460000	0.167919
1.480000	0.192759
1.500000	0.268921
1.520000	0.332026
1.540000	0.307151
1.560000	0.267546
1.580000	0.260976
1.600000	0.285526
1.620000	0.326316
1.640000	0.365046
1.660000	0.376346
1.680000	0.398546
1.700000	0.434541
1.720000	0.500481
1.740000	0.497891
1.760000	0.447956
1.780000	0.397391
1.800000	0.380861
1.820000	0.398081
1.840000	0.429271
1.860000	0.467416
1.880000	0.484586
1.900000	0.503881
1.920000	0.517516
1.940000	0.514446
1.960000	0.508201
1.980000	0.495796
2.000000	0.493111
2.020000	0.489211
2.040000	0.512701
2.060000	0.531781
2.080000	0.556821
2.100000	0.575386
2.120000	0.576471
2.140000	0.567341
2.160000	0.555806
2.180000	0.546861
2.200000	0.543706
2.220000	0.547846
2.240000	0.557086
2.260000	0.578746
2.280000	0.579391
2.300000	0.587206
2.320000	0.583181
2.340000	0.569951
2.360000	0.555506
2.380000	0.544791
2.400000	0.543511
2.420000	0.548306
2.440000	0.560231
2.460000	0.572061
2.480000	0.583831
2.500000	0.583996
2.520000	0.585426
2.540000	0.568346
2.560000	0.549306
2.580000	0.537526
2.600000	0.543976
2.620000	0.554986
2.640000	0.564606
2.660000	0.578241
2.680000	0.587401
2.700000	0.584056
2.720000	0.574666
2.740000	0.559686
2.760000	0.549741
2.780000	0.545161
2.800000	0.558916
2.820000	0.571746
2.840000	0.591931
2.860000	0.591016
2.880000	0.599111
2.900000	0.595486
2.920000	0.587636
2.940000	0.574876
2.960000	0.566121
2.980000	0.578166
3.000000	0.586406
3.020000	0.597691
3.040000	0.611251
3.060000	0.618026
3.080000	0.611716
3.100000	0.612531
3.120000	0.588376
3.140000	0.575581
3.160000	0.583926
3.180000	0.583971
3.200000	0.592506
3.220000	0.605551
3.240000	0.620256
3.260000	0.626796
3.280000	0.625366
3.300000	0.614576
3.320000	0.590121
3.340000	0.589036
3.360000	0.587711
3.380000	0.588591
3.400000	0.596951
3.420000	0.608296
3.440000	0.617671
3.460000	0.623226
3.480000	0.612111
3.500000	0.604281
3.520000	0.596421
3.540000	0.592591
3.560000	0.598611
3.580000	0.600936
3.600000	0.608306
3.620000	0.616516
3.640000	0.623726
3.660000	0.624801
3.680000	0.623851
3.700000	0.616711
3.720000	0.610901
3.740000	0.605341
3.760000	0.604741
3.780000	0.600221
3.800000	0.585826
3.820000	0.607701
3.840000	0.614876
3.860000	0.614241
3.880000	0.615011
3.900000	0.610591
3.920000	0.603626
3.940000	0.574416
3.960000	0.570956
3.980000	0.591336
4.000000	0.596566
4.020000	0.601731
4.040000	0.578756
4.060000	0.586676
4.080000	0.607801
4.100000	0.594941
4.120000	0.579586
4.140000	0.565291
4.160000	0.555831
4.180000	0.554391
4.200000	0.559851
4.220000	0.565201
4.240000	0.566871
4.260000	0.560166
4.280000	0.543526
4.300000	0.524876
4.320000	0.508286
4.340000	0.501011
4.360000	0.505656
4.380000	0.518521
4.400000	0.503061
4.420000	0.330476
4.440000	0.312316
4.460000	0.336846
4.480000	0.337081
4.500000	0.329746
4.520000	0.325031
4.540000	0.326826
4.560000	0.335331
4.580000	0.346911
4.600000	0.353171
4.620000	0.353316
4.640000	0.345216
4.660000	0.330256
4.680000	0.316066
4.700000	0.309016
4.720000	0.310526
4.740000	0.320056
4.760000	0.333311
4.780000	0.344286
4.800000	0.347346
4.820000	0.341651
4.840000	0.334316
4.860000	0.329741
4.880000	0.328666
4.900000	0.338136
4.920000	0.351291
4.940000	0.364701
4.960000	0.374136
4.980000	0.377286
5.000000	0.376626
