#x, y, a, F(x), F[0](x), F[1](x)
0 0 0 117.995 0 0
1 0 0 118.274 0 0
2 0 0 118.556 0 0
3 0 0 118.84 0 0
4 0 0 119.126 0 0
5 0 0 119.414 0 0
6 0 0 119.704 0 0
7 0 0 119.996 0 0
8 0 0 120.29 0 0
9 0 0 120.586 0 0
10 0 0 120.885 0 0
11 0 0 121.186 0 0
12 0 0 121.488 0 0
13 0 0 121.794 0 0
14 0 0 122.101 0 0
15 0 0 122.41 0 0
16 0 0 122.722 0 0
17 0 0 123.036 0 0
18 0 0 123.353 0 0
19 0 0 123.672 0 0
20 0 0 123.993 0 0
21 0 0 124.316 0 0
22 0 0 124.642 0 0
23 0 0 124.97 0 0
24 0 0 125.3 0 0
25 0 0 125.633 0 0
26 0 0 125.968 0 0
27 0 0 126.306 0 0
28 0 0 126.646 0 0
29 0 0 126.989 0 0
30 0 0 127.334 0 0
31 0 0 127.681 0 0
32 0 0 128.031 0 0
33 0 0 128.383 0 0
34 0 0 128.738 0 0
35 0 0 129.096 0 0
36 0 0 129.456 0 0
37 0 0 129.818 0 0
38 0 0 130.183 0 0
39 0 0 130.551 0 0
40 0 0 130.921 0 0
41 0 0 131.293 0 0
42 0 0 131.669 0 0
43 0 0 132.046 0 0
44 0 0 132.427 0 0
45 0 0 132.81 0 0
46 0 0 133.195 0 0
47 0 0 133.583 0 0
48 0 0 133.974 0 0
49 0 0 134.367 0 0
50 0 0 134.763 0 0
51 0 0 135.161 0 0
52 0 0 135.563 0 0
53 0 0 135.966 0 0
54 0 0 136.372 0 0
55 0 0 136.781 0 0
56 0 0 137.193 0 0
57 0 0 137.607 0 0
58 0 0 138.023 0 0
59 0 0 138.442 0 0
60 0 0 138.864 0 0
61 0 0 139.289 0 0
62 0 0 139.715 0 0
63 0 0 140.145 0 0
64 0 0 140.577 0 0
65 0 0 141.011 0 0
66 0 0 141.449 0 0
67 0 0 141.888 0 0
68 0 0 142.33 0 0
69 0 0 142.775 0 0
70 0 0 143.222 0 0
71 0 0 143.672 0 0
72 0 0 144.124 0 0
73 0 0 144.578 0 0
74 0 0 145.035 0 0
75 0 0 145.495 0 0
76 0 0 145.956 0 0
77 0 0 146.42 0 0
78 0 0 146.887 0 0
79 0 0 147.356 0 0
80 0 0 147.827 0 0
81 0 0 148.301 0 0
82 0 0 148.776 0 0
83 0 0 149.254 0 0
84 0 0 149.735 0 0
85 0 0 150.217 0 0
86 0 0 150.702 0 0
87 0 0 151.189 0 0
88 0 0 151.678 0 0
89 0 0 152.169 0 0
90 0 0 152.662 0 0
91 0 0 153.157 0 0
92 0 0 153.655 0 0
93 0 0 154.154 0 0
94 59 0 154.655 0 0
95 172 0 155.158 0 0
96 197 0 155.663 0 0
97 188 0 156.17 0 0
98 181 0 156.679 0 0
99 185 0 157.189 0 0
100 173 0 157.702 0 0
101 177 0 158.216 0 0
102 195 0 158.731 0 0
103 202 0 159.248 0 0
104 207 0 159.767 0 0
105 178 0 160.288 0 0
106 150 0 160.809 0 0
107 175 0 161.333 0 0
108 188 0 161.857 0 0
109 180 0 162.384 0 0
110 195 0 162.911 0 0
111 206 0 163.44 0 0
112 185 0 163.97 0 0
113 198 0 164.501 0 0
114 186 0 165.033 0 0
115 184 0 165.566 0 0
116 193 0 166.101 0 0
117 190 0 166.636 0 0
118 206 0 167.172 0 0
119 198 0 167.709 0 0
120 169 0 168.247 0 0
121 187 0 168.786 0 0
122 185 0 169.325 0 0
123 189 0 169.865 0 0
124 188 0 170.406 0 0
125 182 0 170.947 0 0
126 175 0 171.489 0 0
127 203 0 172.031 0 0
128 192 0 172.573 0 0
129 219 0 173.116 0 0
130 168 0 173.659 0 0
131 219 0 174.202 0 0
