"Eg(keV)","Ig(%)","Decay mode","Half life","unit","Parent"
13.81,0,"a",432.2,"y","241Am",
26.3448,2.40,"a",432.2,"y","241Am",
27.03,0,"a",432.2,"y","241Am",
31.4,0,"a",432.2,"y","241Am",
32.183,0.0174,"a",432.2,"y","241Am",
33.1964,0.126,"a",432.2,"y","241Am",
38.54,0,"a",432.2,"y","241Am",
42.73,0.0055,"a",432.2,"y","241Am",
43.423,0.073,"a",432.2,"y","241Am",
51.01,0.000026,"a",432.2,"y","241Am",
54,0,"a",432.2,"y","241Am",
55.56,0.0181,"a",432.2,"y","241Am",
56.8,0,"a",432.2,"y","241Am",
57.85,0.0052,"a",432.2,"y","241Am",
59.5412,35.9,"a",432.2,"y","241Am",
61.46,0,"a",432.2,"y","241Am",
64.83,0.000145,"a",432.2,"y","241Am",
67.45,0.00042,"a",432.2,"y","241Am",
69.76,0.0029,"a",432.2,"y","241Am",
75.8,0.0006,"a",432.2,"y","241Am",
78.1,0,"a",432.2,"y","241Am",
79.1,0,"a",432.2,"y","241Am",
92.1,0,"a",432.2,"y","241Am",
96.7,0,"a",432.2,"y","241Am",
98.97,0.0203,"a",432.2,"y","241Am",
102.98,0.0195,"a",432.2,"y","241Am",
106.42,1.5E-05,"a",432.2,"y","241Am",
109.70,4.9E-06,"a",432.2,"y","241Am",
115.5,0,"a",432.2,"y","241Am",
120.36,4.5E-06,"a",432.2,"y","241Am",
123.01,0.00100,"a",432.2,"y","241Am",
125.30,0.00408,"a",432.2,"y","241Am",
128.05,0,"a",432.2,"y","241Am",
129.2,0,"a",432.2,"y","241Am",
135.3,0,"a",432.2,"y","241Am",
136.7,0,"a",432.2,"y","241Am",
138.5,0,"a",432.2,"y","241Am",
146.55,0.000461,"a",432.2,"y","241Am",
150.04,0.0000740,"a",432.2,"y","241Am",
154.27,5E-07,"a",432.2,"y","241Am",
156.4,0,"a",432.2,"y","241Am",
159.26,0.0000014,"a",432.2,"y","241Am",
161.54,1.5E-06,"a",432.2,"y","241Am",
164.61,0.0000667,"a",432.2,"y","241Am",
165.81,0.0000232,"a",432.2,"y","241Am",
169.56,0.000173,"a",432.2,"y","241Am",
175.07,0.0000182,"a",432.2,"y","241Am",
190.4,0.0000022,"a",432.2,"y","241Am",
191.96,0.0000216,"a",432.2,"y","241Am",
197.0,4.9E-07,"a",432.2,"y","241Am",
201.70,8E-07,"a",432.2,"y","241Am",
204.06,0.00000290,"a",432.2,"y","241Am",
208.00,0.000791,"a",432.2,"y","241Am",
221.46,0.0000424,"a",432.2,"y","241Am",
221.80,0,"a",432.2,"y","241Am",
232.81,0.0000046,"a",432.2,"y","241Am",
234.40,0.0000007,"a",432.2,"y","241Am",
246.73,0.00000242,"a",432.2,"y","241Am",
249.00,5E-07,"a",432.2,"y","241Am",
260.80,0,"a",432.2,"y","241Am",
260.80,0.00000121,"a",432.2,"y","241Am",
264.89,0,"a",432.2,"y","241Am",
264.89,0.0000090,"a",432.2,"y","241Am",
267.54,0.0000263,"a",432.2,"y","241Am",
270.63,0.00000064,"a",432.2,"y","241Am",
275.77,0.0000066,"a",432.2,"y","241Am",
278.04,4.4E-07,"a",432.2,"y","241Am",
291.30,0.0000031,"a",432.2,"y","241Am",
292.77,0.0000142,"a",432.2,"y","241Am",
300.13,0,"a",432.2,"y","241Am",
304.21,0.00000101,"a",432.2,"y","241Am",
309.1,1.4E-06,"a",432.2,"y","241Am",
316.8,5.00E-08,"a",432.2,"y","241Am",
322.52,0,"a",432.2,"y","241Am",
322.52,0.000152,"a",432.2,"y","241Am",
332.36,0.000149,"a",432.2,"y","241Am",
335.38,0.000496,"a",432.2,"y","241Am",
337.7,0.00000429,"a",432.2,"y","241Am",
