"Eg(keV)","Ig(%)","Decay mode","Half life","unit","Parent"
44.1,1.05,"b-",14.1,"h","240U"
49.1,0.007,"b-",14.1,"h","240U"
50.3,0.005,"b-",14.1,"h","240U"
66.5,0.154,"b-",14.1,"h","240U"
78.1,0.004,"b-",14.1,"h","240U"
82.6,0.014,"b-",14.1,"h","240U"
128.3,0.087,"b-",14.1,"h","240U"
145.4,0.081,"b-",14.1,"h","240U"
169.2,0.115,"b-",14.1,"h","240U"
189.7,0.24,"b-",14.1,"h","240U"
212.3,0.0015,"b-",14.1,"h","240U"
255.6,0.004,"b-",14.1,"h","240U"
280.1,0.016,"b-",14.1,"h","240U"
294.8,0.0019,"b-",14.1,"h","240U"
299.8,0.013,"b-",14.1,"h","240U"
42.824,0.11,"b-",61.9,"m","240Np"
98.86,4.81,"b-",61.9,"m","240Np"
139.9,0.24,"b-",61.9,"m","240Np"
147.2,1.18,"b-",61.9,"m","240Np"
152.63,6.7,"b-",61.9,"m","240Np"
175.4,4.7,"b-",61.9,"m","240Np"
193.3,5.6,"b-",61.9,"m","240Np"
222.5,0.37,"b-",61.9,"m","240Np"
239.3,0.41,"b-",61.9,"m","240Np"
271.3,5.7,"b-",61.9,"m","240Np"
295.2,0.44,"b-",61.9,"m","240Np"
306.8,0.39,"b-",61.9,"m","240Np"
388.7,0.89,"b-",61.9,"m","240Np"
419.2,0.79,"b-",61.9,"m","240Np"
448.01,12.3,"b-",61.9,"m","240Np"
466.7,1.07,"b-",61.9,"m","240Np"
507.2,1.67,"b-",61.9,"m","240Np"
566.34,25.3,"b-",61.9,"m","240Np"
583.9,0.37,"b-",61.9,"m","240Np"
600.57,18.4,"b-",61.9,"m","240Np"
606.1,1.62,"b-",61.9,"m","240Np"
633.5,0.2,"b-",61.9,"m","240Np"
821.2,1.06,"b-",61.9,"m","240Np"
867.2,8.1,"b-",61.9,"m","240Np"
888.8,2.29,"b-",61.9,"m","240Np"
895.8,13.6,"b-",61.9,"m","240Np"
915.98,1.22,"b-",61.9,"m","240Np"
934.5,0.33,"b-",61.9,"m","240Np"
938.2,0.17,"b-",61.9,"m","240Np"
959.1,1.69,"b-",61.9,"m","240Np"
973.9,23.8,"b-",61.9,"m","240Np"
987.76,6.7,"b-",61.9,"m","240Np"
1014.4,0.21,"b-",61.9,"m","240Np"
1033.5,0.14,"b-",61.9,"m","240Np"
1090.5,0.07,"b-",61.9,"m","240Np"
1167.1,4.5,"b-",61.9,"m","240Np"
45.242,0.045,"a",6563,"y","240Pu"
104.234,0.00708,"a",6563,"y","240Pu"
160.308,0.000402,"a",6563,"y","240Pu"
212.46,2.9E-05,"a",6563,"y","240Pu"
538.11,1.47E-07,"a",6563,"y","240Pu"
642.35,1.3E-05,"a",6563,"y","240Pu"
687.59,3.5E-06,"a",6563,"y","240Pu"
698.1,2.5E-08,"a",6563,"y","240Pu"
874.1,5.8E-07,"a",6563,"y","240Pu"
918.9,0,"a",6563,"y","240Pu"
958,1E-07,"a",6563,"y","240Pu"
959.9,5E-08,"a",6563,"y","240Pu"
966.9,5E-08,"a",6563,"y","240Pu"
49.369,0.078,"a",23420000,"y","236U"
112.75,0.019,"a",23420000,"y","236U"
63.83,0.263,"a",14050000000,"y","232Th"
140.86,0.021,"a",14050000000,"y","232Th"
6.28,0,"b-",5.75,"y","228Ra"
6.67,0,"b-",5.75,"y","228Ra"
12.75,0.3,"b-",5.75,"y","228Ra"
13.52,1.6,"b-",5.75,"y","228Ra"
15.15,0,"b-",5.75,"y","228Ra"
15.5,0.16,"b-",5.75,"y","228Ra"
16.2,0.72,"b-",5.75,"y","228Ra"
26.4,0,"b-",5.75,"y","228Ra"
30.6,0,"b-",5.75,"y","228Ra"
18.4,0.014,"b-",6.15,"h","228Ac"
42.46,0.009,"b-",6.15,"h","228Ac"
56.96,0.019,"b-",6.15,"h","228Ac"
57.766,0.47,"b-",6.15,"h","228Ac"
77.34,0.026,"b-",6.15,"h","228Ac"
99.509,1.26,"b-",6.15,"h","228Ac"
100.41,0.093,"b-",6.15,"h","228Ac"
114.54,0.0098,"b-",6.15,"h","228Ac"
129.065,2.42,"b-",6.15,"h","228Ac"
135.51,0.018,"b-",6.15,"h","228Ac"
137.91,0.024,"b-",6.15,"h","228Ac"
141.01,0.05,"b-",6.15,"h","228Ac"
145.849,0.158,"b-",6.15,"h","228Ac"
153.977,0.722,"b-",6.15,"h","228Ac"
168.42,0.003,"b-",6.15,"h","228Ac"
168.65,0.01,"b-",6.15,"h","228Ac"
173.964,0.035,"b-",6.15,"h","228Ac"
184.54,0.07,"b-",6.15,"h","228Ac"
191.353,0.123,"b-",6.15,"h","228Ac"
199.407,0.315,"b-",6.15,"h","228Ac"
204.026,0.112,"b-",6.15,"h","228Ac"
209.253,3.89,"b-",6.15,"h","228Ac"
214.85,0.029,"b-",6.15,"h","228Ac"
223.8,0.054,"b-",6.15,"h","228Ac"
231.42,0.025,"b-",6.15,"h","228Ac"
257.49,0.03,"b-",6.15,"h","228Ac"
263.62,0.04,"b-",6.15,"h","228Ac"
270.245,3.46,"b-",6.15,"h","228Ac"
278.7,0.031,"b-",6.15,"h","228Ac"
278.7,0.16,"b-",6.15,"h","228Ac"
282,0.072,"b-",6.15,"h","228Ac"
321.646,0.226,"b-",6.15,"h","228Ac"
326.04,0.033,"b-",6.15,"h","228Ac"
327.45,0.12,"b-",6.15,"h","228Ac"
328,2.95,"b-",6.15,"h","228Ac"
332.37,0.4,"b-",6.15,"h","228Ac"
338.32,11.27,"b-",6.15,"h","228Ac"
340.98,0.369,"b-",6.15,"h","228Ac"
356.94,0.017,"b-",6.15,"h","228Ac"
372.57,0.0067,"b-",6.15,"h","228Ac"
377.99,0.025,"b-",6.15,"h","228Ac"
384.63,0.0067,"b-",6.15,"h","228Ac"
389.12,0.0103,"b-",6.15,"h","228Ac"
397.94,0.027,"b-",6.15,"h","228Ac"
399.62,0.029,"b-",6.15,"h","228Ac"
409.462,1.92,"b-",6.15,"h","228Ac"
416.3,0.0132,"b-",6.15,"h","228Ac"
419.42,0.021,"b-",6.15,"h","228Ac"
440.44,0.121,"b-",6.15,"h","228Ac"
449.21,0.048,"b-",6.15,"h","228Ac"
452.51,0.015,"b-",6.15,"h","228Ac"
457.35,0.015,"b-",6.15,"h","228Ac"
463.004,4.4,"b-",6.15,"h","228Ac"
466.4,0.029,"b-",6.15,"h","228Ac"
470.2,0.013,"b-",6.15,"h","228Ac"
471.76,0.033,"b-",6.15,"h","228Ac"
474.79,0.022,"b-",6.15,"h","228Ac"
478.4,0.209,"b-",6.15,"h","228Ac"
480.94,0.023,"b-",6.15,"h","228Ac"
490.33,0.0111,"b-",6.15,"h","228Ac"
492.3,0.0235,"b-",6.15,"h","228Ac"
497.49,0.0059,"b-",6.15,"h","228Ac"
503.823,0.182,"b-",6.15,"h","228Ac"
508.959,0.45,"b-",6.15,"h","228Ac"
515.06,0.049,"b-",6.15,"h","228Ac"
520.151,0.067,"b-",6.15,"h","228Ac"
523.131,0.103,"b-",6.15,"h","228Ac"
540.68,0.026,"b-",6.15,"h","228Ac"
546.45,0.201,"b-",6.15,"h","228Ac"
548.73,0.023,"b-",6.15,"h","228Ac"
555.07,0.046,"b-",6.15,"h","228Ac"
562.5,0.87,"b-",6.15,"h","228Ac"
570.88,0.182,"b-",6.15,"h","228Ac"
572.29,0.15,"b-",6.15,"h","228Ac"
583.41,0.111,"b-",6.15,"h","228Ac"
590.65,0.017,"b-",6.15,"h","228Ac"
610.64,0.023,"b-",6.15,"h","228Ac"
616.2,0.08,"b-",6.15,"h","228Ac"
620.33,0.08,"b-",6.15,"h","228Ac"
623.27,0.011,"b-",6.15,"h","228Ac"
627.23,0.014,"b-",6.15,"h","228Ac"
629.4,0.045,"b-",6.15,"h","228Ac"
