"Eg(keV)","Ig(%)","Decay mode","Half life","unit","Parent"
19.595,0,"a",703800000,"y","235U"
31.6,0.016,"a",703800000,"y","235U"
34.7,0.037,"a",703800000,"y","235U"
41.4,0.03,"a",703800000,"y","235U"
41.95,0.06,"a",703800000,"y","235U"
51.22,0.02,"a",703800000,"y","235U"
54.1,0.03,"a",703800000,"y","235U"
54.25,0.03,"a",703800000,"y","235U"
60.5,0,"a",703800000,"y","235U"
64.37,0.01,"a",703800000,"y","235U"
72.7,0.11,"a",703800000,"y","235U"
73.72,0.01,"a",703800000,"y","235U"
74.8,0.06,"a",703800000,"y","235U"
94,0,"a",703800000,"y","235U"
95.7,0,"a",703800000,"y","235U"
96.09,0.086,"a",703800000,"y","235U"
109.16,1.54,"a",703800000,"y","235U"
115.45,0.07,"a",703800000,"y","235U"
120.35,0.026,"a",703800000,"y","235U"
136.55,0.012,"a",703800000,"y","235U"
140.76,0.22,"a",703800000,"y","235U"
142.4,0.005,"a",703800000,"y","235U"
143.764,10.96,"a",703800000,"y","235U"
147,0,"a",703800000,"y","235U"
150.93,0.076,"a",703800000,"y","235U"
163.358,5.08,"a",703800000,"y","235U"
173.3,0.01,"a",703800000,"y","235U"
182.1,0,"a",703800000,"y","235U"
182.52,0.34,"a",703800000,"y","235U"
185.712,57.2,"a",703800000,"y","235U"
194.94,0.63,"a",703800000,"y","235U"
198.928,0.042,"a",703800000,"y","235U"
199.6,0.1,"a",703800000,"y","235U"
202.111,1.08,"a",703800000,"y","235U"
205.309,5.01,"a",703800000,"y","235U"
215.28,0.027,"a",703800000,"y","235U"
221.399,0.12,"a",703800000,"y","235U"
228.785,0.008,"a",703800000,"y","235U"
233.469,0.029,"a",703800000,"y","235U"
240.875,0.075,"a",703800000,"y","235U"
246.84,0.053,"a",703800000,"y","235U"
251.5,0.04,"a",703800000,"y","235U"
266.45,0.006,"a",703800000,"y","235U"
275.129,0.042,"a",703800000,"y","235U"
275.428,0.007,"a",703800000,"y","235U"
279.5,0.27,"a",703800000,"y","235U"
281.441,0.006,"a",703800000,"y","235U"
282.92,0.005,"a",703800000,"y","235U"
289.56,0.007,"a",703800000,"y","235U"
291.2,0,"a",703800000,"y","235U"
291.65,0.038,"a",703800000,"y","235U"
294.3,0.033,"a",703800000,"y","235U"
301.741,0.005,"a",703800000,"y","235U"
310.69,0.004,"a",703800000,"y","235U"
317.062,0.001,"a",703800000,"y","235U"
325.8,0.0004,"a",703800000,"y","235U"
343.5,0.003,"a",703800000,"y","235U"
345.4,0.07,"a",703800000,"y","235U"
345.9,0.038,"a",703800000,"y","235U"
356.03,0.005,"a",703800000,"y","235U"
368.5,0.07,"a",703800000,"y","235U"
371.8,0.07,"a",703800000,"y","235U"
387.82,0.038,"a",703800000,"y","235U"
390.3,0.04,"a",703800000,"y","235U"
410.29,0.003,"a",703800000,"y","235U"
433,0.004,"a",703800000,"y","235U"
448.4,0.001,"a",703800000,"y","235U"
455.1,0.008,"a",703800000,"y","235U"
517.2,0.0004,"a",703800000,"y","235U"
742.5,0.0004,"a",703800000,"y","235U"
794.7,0.0006,"a",703800000,"y","235U"
9.21,0,"b-",25.52,"h","231Th"
10.25,0,"b-",25.52,"h","231Th"
17.193,0,"b-",25.52,"h","231Th"
18.053,0.33,"b-",25.52,"h","231Th"
19.1,0,"b-",25.52,"h","231Th"
25.646,14.5,"b-",25.52,"h","231Th"
26.55,0.54,"b-",25.52,"h","231Th"
29.3,0.035,"b-",25.52,"h","231Th"
32.73,0.073,"b-",25.52,"h","231Th"
33.32,0.03,"b-",25.52,"h","231Th"
38.9,0.11,"b-",25.52,"h","231Th"
41.55,0.016,"b-",25.52,"h","231Th"
42.22,0.052,"b-",25.52,"h","231Th"
42.838,0.058,"b-",25.52,"h","231Th"
44.08,0.0007,"b-",25.52,"h","231Th"
45.34,0.034,"b-",25.52,"h","231Th"
58.57,0.48,"b-",25.52,"h","231Th"
63.825,0.023,"b-",25.52,"h","231Th"
68.48,0.0057,"b-",25.52,"h","231Th"
72.751,0.251,"b-",25.52,"h","231Th"
77.685,0,"b-",25.52,"h","231Th"
81.227,0.89,"b-",25.52,"h","231Th"
82.087,0.4,"b-",25.52,"h","231Th"
84.216,6.6,"b-",25.52,"h","231Th"
85.8,0.0058,"b-",25.52,"h","231Th"
89.944,0.94,"b-",25.52,"h","231Th"
93.063,0.045,"b-",25.52,"h","231Th"
97.55,0.023,"b-",25.52,"h","231Th"
99.279,0.12,"b-",25.52,"h","231Th"
102.268,0.41,"b-",25.52,"h","231Th"
105.81,0.0071,"b-",25.52,"h","231Th"
106.587,0.017,"b-",25.52,"h","231Th"
106.85,0.03,"b-",25.52,"h","231Th"
115.59,0.001,"b-",25.52,"h","231Th"
116.823,0.0207,"b-",25.52,"h","231Th"
124.925,0.056,"b-",25.52,"h","231Th"
134.025,0.024,"b-",25.52,"h","231Th"
135.667,0.078,"b-",25.52,"h","231Th"
136.714,0.0042,"b-",25.52,"h","231Th"
140.555,0.00071,"b-",25.52,"h","231Th"
145.052,0.0058,"b-",25.52,"h","231Th"
145.912,0.032,"b-",25.52,"h","231Th"
163.105,0.155,"b-",25.52,"h","231Th"
164.95,0.0039,"b-",25.52,"h","231Th"
169.635,0.0012,"b-",25.52,"h","231Th"
173,0.04,"b-",25.52,"h","231Th"
174.16,0.0181,"b-",25.52,"h","231Th"
183.495,0.0329,"b-",25.52,"h","231Th"
188.75,0.0032,"b-",25.52,"h","231Th"
217.94,0.04,"b-",25.52,"h","231Th"
224.1,0.0089,"b-",25.52,"h","231Th"
235.993,0.0092,"b-",25.52,"h","231Th"
237.8,0.09,"b-",25.52,"h","231Th"
240.26,0.00028,"b-",25.52,"h","231Th"
242.524,0.00084,"b-",25.52,"h","231Th"
249.57,0.00078,"b-",25.52,"h","231Th"
250.43,0.00065,"b-",25.52,"h","231Th"
267.62,0.00116,"b-",25.52,"h","231Th"
274.15,3E-5,"b-",25.52,"h","231Th"
308.74,0.00039,"b-",25.52,"h","231Th"
311,0.0029,"b-",25.52,"h","231Th"
317.95,8E-5,"b-",25.52,"h","231Th"
320.209,0.00011,"b-",25.52,"h","231Th"
351.84,7E-5,"b-",25.52,"h","231Th"
10.9,0,"a",32760,"y","231Pa"
12.4,0,"a",32760,"y","231Pa"
14.1,0,"a",32760,"y","231Pa"
15.5,0,"a",32760,"y","231Pa"
16.5,0.31,"a",32760,"y","231Pa"
18.2,0,"a",32760,"y","231Pa"
19,0.37,"a",32760,"y","231Pa"
19.6,0,"a",32760,"y","231Pa"
22.7,0,"a",32760,"y","231Pa"
23.6,0.0048,"a",32760,"y","231Pa"
24.7,0.005,"a",32760,"y","231Pa"
25.51,0.117,"a",32760,"y","231Pa"
27,0,"a",32760,"y","231Pa"
27.36,10.3,"a",32760,"y","231Pa"
29.96,0.109,"a",32760,"y","231Pa"
31,0.01,"a",32760,"y","231Pa"
31.54,0.007,"a",32760,"y","231Pa"
34,0,"a",32760,"y","231Pa"
35.83,0.0161,"a",32760,"y","231Pa"
38.19,0.16,"a",32760,"y","231Pa"
39.73,0.0024,"a",32760,"y","231Pa"
39.97,0.013,"a",32760,"y","231Pa"
42.48,0.0059,"a",32760,"y","231Pa"
43.05,0.007,"a",32760,"y","231Pa"
44.15,0.065,"a",32760,"y","231Pa"
46.36,0.223,"a",32760,"y","231Pa"
50.9,0.00155,"a",32760,"y","231Pa"
52.73,0.085,"a",32760,"y","231Pa"
54.6,0.077,"a",32760,"y","231Pa"
56.76,0.0061,"a",32760,"y","231Pa"
57.18,0.0029,"a",32760,"y","231Pa"
57.18,0.027,"a",32760,"y","231Pa"
60.5,0.0065,"a",32760,"y","231Pa"
63.65,0.05,"a",32760,"y","231Pa"
70.5,0.007,"a",32760,"y","231Pa"
71.9,0.0019,"a",32760,"y","231Pa"
72.7,0.0037,"a",32760,"y","231Pa"
74.15,0.024,"a",32760,"y","231Pa"
77.34,0.0733,"a",32760,"y","231Pa"
96,0,"a",32760,"y","231Pa"
96.84,0.095,"a",32760,"y","231Pa"
100.84,0.03,"a",32760,"y","231Pa"
102.6,0.014,"a",32760,"y","231Pa"
106,0,"a",32760,"y","231Pa"
124.58,0.0048,"a",32760,"y","231Pa"
144.39,0.0119,"a",32760,"y","231Pa"
198.89,0.0049,"a",32760,"y","231Pa"
230,0.0017,"a",32760,"y","231Pa"
242.2,0.009,"a",32760,"y","231Pa"
243.1,0.048,"a",32760,"y","231Pa"
245.6,0.0078,"a",32760,"y","231Pa"
245.99,0.011,"a",32760,"y","231Pa"
255.77,0.112,"a",32760,"y","231Pa"
