"Eg(keV)","Ig(%)","Decay mode","Half life","unit","Parent"
49.55,0.064,"a",4468000000,"y","238U"
113.5,0.0102,"a",4468000000,"y","238U"
10,0,"b-",24.1,"d","234Th"
20.02,0.01,"b-",24.1,"d","234Th"
29.49,0.00158,"b-",24.1,"d","234Th"
57.75,0.007,"b-",24.1,"d","234Th"
62.86,0.021,"b-",24.1,"d","234Th"
63.29,4.8,"b-",24.1,"d","234Th"
73.92,0,"b-",24.1,"d","234Th"
73.92,0.0172,"b-",24.1,"d","234Th"
83.3,0.079,"b-",24.1,"d","234Th"
87.02,0.019,"b-",24.1,"d","234Th"
92,0,"b-",24.1,"d","234Th"
92.38,2.81,"b-",24.1,"d","234Th"
92.8,2.77,"b-",24.1,"d","234Th"
103.35,0.0042,"b-",24.1,"d","234Th"
103.71,0,"b-",24.1,"d","234Th"
108,0.0106,"b-",24.1,"d","234Th"
112.81,0.277,"b-",24.1,"d","234Th"
132.9,0,"b-",24.1,"d","234Th"
184.8,0.013,"b-",24.1,"d","234Th"
34.3,0,"b-",6.7,"h","234Pa"
41.82,0,"b-",6.7,"h","234Pa"
43.498,0.12,"b-",6.7,"h","234Pa"
45.45,0.027,"b-",6.7,"h","234Pa"
54.96,0.009,"b-",6.7,"h","234Pa"
54.96,0.009,"b-",6.7,"h","234Pa"
55.45,0.027,"b-",6.7,"h","234Pa"
58.2,0.009,"b-",6.7,"h","234Pa"
59.19,0.032,"b-",6.7,"h","234Pa"
62.7,1.5,"b-",6.7,"h","234Pa"
67.1,0.036,"b-",6.7,"h","234Pa"
69.46,0.018,"b-",6.7,"h","234Pa"
75,0,"b-",6.7,"h","234Pa"
79.84,0.062,"b-",6.7,"h","234Pa"
97.17,0.24,"b-",6.7,"h","234Pa"
99.853,3.2,"b-",6.7,"h","234Pa"
100.89,0.124,"b-",6.7,"h","234Pa"
103.77,0.24,"b-",6.7,"h","234Pa"
106.68,0.036,"b-",6.7,"h","234Pa"
125.46,0.78,"b-",6.7,"h","234Pa"
131.3,18,"b-",6.7,"h","234Pa"
134.61,0.113,"b-",6.7,"h","234Pa"
137.23,0.027,"b-",6.7,"h","234Pa"
140.15,0.5,"b-",6.7,"h","234Pa"
140.91,0.31,"b-",6.7,"h","234Pa"
143.78,0.32,"b-",6.7,"h","234Pa"
149.88,0.072,"b-",6.7,"h","234Pa"
152.72,6,"b-",6.7,"h","234Pa"
159.48,0.65,"b-",6.7,"h","234Pa"
164.94,0.051,"b-",6.7,"h","234Pa"
165.61,0.072,"b-",6.7,"h","234Pa"
170.85,0.5,"b-",6.7,"h","234Pa"
174.55,0.165,"b-",6.7,"h","234Pa"
179.8,0.044,"b-",6.7,"h","234Pa"
186.15,1.76,"b-",6.7,"h","234Pa"
193.73,0.49,"b-",6.7,"h","234Pa"
196.8,0.072,"b-",6.7,"h","234Pa"
199.95,0.072,"b-",6.7,"h","234Pa"
200.97,0.9,"b-",6.7,"h","234Pa"
203.12,1.23,"b-",6.7,"h","234Pa"
220,0.144,"b-",6.7,"h","234Pa"
221.15,0.051,"b-",6.7,"h","234Pa"
221.83,0.072,"b-",6.7,"h","234Pa"
226.5,4.2,"b-",6.7,"h","234Pa"
227.25,5.8,"b-",6.7,"h","234Pa"
232.21,0.175,"b-",6.7,"h","234Pa"
233.6,0,"b-",6.7,"h","234Pa"
235.11,0.113,"b-",6.7,"h","234Pa"
235.9,0,"b-",6.7,"h","234Pa"
